Nebraska, Maximum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,68.1,7.2
189604,63.4,2.5
189704,58.5,-2.4
189804,61.5,0.6
189904,61.8,0.9
190004,61.8,0.9
190104,59,-1.9
190204,62.2,1.3
190304,62.1,1.2
190404,59.6,-1.3
190504,57.7,-3.2
190604,64.7,3.8
190704,55.4,-5.5
190804,65.9,5.0
190904,56.9,-4.0
191004,67.8,6.9
191104,60.2,-0.7
191204,60.9,0.0
191304,63.8,2.9
191404,61.3,0.4
191504,66.3,5.4
191604,59.1,-1.8
191704,56.2,-4.7
191804,54,-6.9
191904,57,-3.9
192004,49.6,-11.3
192104,62.9,2.0
192204,59.5,-1.4
192304,60.8,-0.1
192404,63.7,2.8
192504,67,6.1
192604,62,1.1
192704,58.9,-2.0
192804,60,-0.9
192904,61.4,0.5
193004,65.8,4.9
193104,63,2.1
193204,63.9,3.0
193304,60.8,-0.1
193404,65.9,5.0
193504,55,-5.9
193604,59.6,-1.3
193704,59.8,-1.1
193804,61.8,0.9
193904,61.5,0.6
194004,59,-1.9
194104,60.1,-0.8
194204,65.5,4.6
194304,65.9,5.0
194404,52.6,-8.3
194504,56.7,-4.2
194604,69.4,8.5
194704,57.4,-3.5
194804,68.3,7.4
194904,62.9,2.0
195004,56.2,-4.7
195104,55.7,-5.2
195204,61,0.1
195304,55.1,-5.8
195404,66.6,5.7
195504,68.4,7.5
195604,57,-3.9
195704,54.9,-6.0
195804,56.8,-4.1
195904,60.9,0.0
196004,62.5,1.6
196104,56.4,-4.5
196204,64,3.1
196304,64.1,3.2
196404,60.5,-0.4
196504,63.8,2.9
196604,56.3,-4.6
196704,63.6,2.7
196804,61,0.1
196904,64.8,3.9
197004,59.6,-1.3
197104,62,1.1
197204,60.2,-0.7
197304,58.4,-2.5
197404,63.2,2.3
197504,56.6,-4.3
197604,62.5,1.6
197704,65.4,4.5
197804,59.9,-1.0
197904,59.7,-1.2
198004,62.4,1.5
198104,69.9,9.0
198204,59.2,-1.7
198304,52.2,-8.7
198404,53.5,-7.4
198504,66.9,6.0
198604,62.4,1.5
198704,67,6.1
198804,63.6,2.7
198904,66.7,5.8
199004,61.5,0.6
199104,62,1.1
199204,62.4,1.5
199304,56.6,-4.3
199404,62.5,1.6
199504,55.1,-5.8
199604,62.2,1.3
199704,54.4,-6.5
199804,60,-0.9
199904,57.9,-3.0
200004,63.9,3.0
200104,63.5,2.6
200204,64.3,3.4
200304,63.1,2.2
200404,65,4.1
200504,62.3,1.4
200604,67.9,7.0
200704,58.4,-2.5
200804,57.7,-3.2
200904,58.5,-2.4
201004,64.5,3.6
201104,59.4,-1.5
201204,66.9,6.0
201304,55.3,-5.6
201404,62.1,1.2
201504,63.9,3.0
