Utah, Maximum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,84.1,0.4
189608,81.5,-2.2
189708,83.3,-0.4
189808,86,2.3
189908,79,-4.7
190008,81.5,-2.2
190108,83.5,-0.2
190208,83,-0.7
190308,85.3,1.6
190408,81.7,-2.0
190508,84.2,0.5
190608,81,-2.7
190708,80.4,-3.3
190808,80.5,-3.2
190908,82.2,-1.5
191008,83.6,-0.1
191108,84,0.3
191208,81.6,-2.1
191308,83.4,-0.3
191408,84.1,0.4
191508,85.7,2.0
191608,80.3,-3.4
191708,83.4,-0.3
191808,81.2,-2.5
191908,85.6,1.9
192008,81.3,-2.4
192108,80.7,-3.0
192208,82.5,-1.2
192308,80.7,-3.0
192408,84.5,0.8
192508,80.2,-3.5
192608,83.6,-0.1
192708,80,-3.7
192808,83.4,-0.3
192908,83.5,-0.2
193008,81.3,-2.4
193108,84.8,1.1
193208,83.5,-0.2
193308,84.2,0.5
193408,86,2.3
193508,84.5,0.8
193608,83.7,0.0
193708,85.8,2.1
193808,84.2,0.5
193908,85.6,1.9
194008,87.1,3.4
194108,80.8,-2.9
194208,84.9,1.2
194308,83.6,-0.1
194408,85.6,1.9
194508,82.8,-0.9
194608,84.1,0.4
194708,81.6,-2.1
194808,84,0.3
194908,84.9,1.2
195008,84.3,0.6
195108,81.7,-2.0
195208,84.5,0.8
195308,82.9,-0.8
195408,83.3,-0.4
195508,84.2,0.5
195608,82.5,-1.2
195708,82.9,-0.8
195808,87.2,3.5
195908,83.3,-0.4
196008,85.8,2.1
196108,83.4,-0.3
196208,85.2,1.5
196308,83.1,-0.6
196408,82.9,-0.8
196508,81.2,-2.5
196608,85.4,1.7
196708,85.9,2.2
196808,76.9,-6.8
196908,87.3,3.6
197008,86.1,2.4
197108,84.9,1.2
197208,83.3,-0.4
197308,84.6,0.9
197408,84.3,0.6
197508,82.5,-1.2
197608,82.2,-1.5
197708,83.8,0.1
197808,84,0.3
197908,82.5,-1.2
198008,83.4,-0.3
198108,85.4,1.7
198208,84.1,0.4
198308,83.1,-0.6
198408,82.7,-1.0
198508,85.6,1.9
198608,85.8,2.1
198708,82.5,-1.2
198808,85,1.3
198908,82.7,-1.0
199008,84.2,0.5
199108,84.7,1.0
199208,85.1,1.4
199308,82,-1.7
199408,87.8,4.1
199508,86.7,3.0
199608,87.3,3.6
199708,83.6,-0.1
199808,86.2,2.5
199908,82.7,-1.0
200008,87,3.3
200108,87.2,3.5
200208,86.5,2.8
200308,86.9,3.2
200408,83.1,-0.6
200508,83.2,-0.5
200608,84.2,0.5
200708,87.2,3.5
200808,86.6,2.9
200908,85.3,1.6
201008,83.7,0.0
201108,87.6,3.9
201208,87.3,3.6
201308,84.6,0.9
201408,80.7,-3.0
201508,85.2,1.5
