Ohio, Maximum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,80.7,4.2
189609,72.8,-3.7
189709,82.3,5.8
189809,79.4,2.9
189909,75.8,-0.7
190009,80.9,4.4
190109,76.1,-0.4
190209,75.1,-1.4
190309,79.5,3.0
190409,77.1,0.6
190509,77.1,0.6
190609,80.4,3.9
190709,75.9,-0.6
190809,83.8,7.3
190909,75,-1.5
191009,77.1,0.6
191109,77.8,1.3
191209,78.2,1.7
191309,75.9,-0.6
191409,75.7,-0.8
191509,77.2,0.7
191609,75.6,-0.9
191709,74.1,-2.4
191809,69.2,-7.3
191909,78.7,2.2
192009,77.4,0.9
192109,80.1,3.6
192209,80.4,3.9
192309,75.4,-1.1
192409,70.8,-5.7
192509,80.5,4.0
192609,75.8,-0.7
192709,80.1,3.6
192809,72.9,-3.6
192909,76.5,0.0
193009,79,2.5
193109,80.6,4.1
193209,77.7,1.2
193309,79.1,2.6
193409,78.3,1.8
193509,75.5,-1.0
193609,80.2,3.7
193709,74.6,-1.9
193809,75.5,-1.0
193909,83.3,6.8
194009,74.6,-1.9
194109,81.1,4.6
194209,75.5,-1.0
194309,74.5,-2.0
194409,76.3,-0.2
194509,77.9,1.4
194609,78.8,2.3
194709,77,0.5
194809,78.1,1.6
194909,71.5,-5.0
195009,73.2,-3.3
195109,75.6,-0.9
195209,77.9,1.4
195309,79.2,2.7
195409,79.7,3.2
195509,79.9,3.4
195609,73.5,-3.0
195709,76.1,-0.4
195809,74.5,-2.0
195909,80.3,3.8
196009,78.8,2.3
196109,80.7,4.2
196209,72.5,-4.0
196309,76.3,-0.2
196409,77.5,1.0
196509,76.8,0.3
196609,72.8,-3.7
196709,73.4,-3.1
196809,76.2,-0.3
196909,74.3,-2.2
197009,80.1,3.6
197109,77.4,0.9
197209,75.5,-1.0
197309,78.7,2.2
197409,70.8,-5.7
197509,69.6,-6.9
197609,73.3,-3.2
197709,76.8,0.3
197809,79.9,3.4
197909,75.2,-1.3
198009,78,1.5
198109,72.6,-3.9
198209,73.7,-2.8
198309,78.5,2.0
198409,73.8,-2.7
198509,78,1.5
198609,77.6,1.1
198709,76.5,0.0
198809,74.9,-1.6
198909,73.6,-2.9
199009,74.6,-1.9
199109,76.2,-0.3
199209,74,-2.5
199309,72.3,-4.2
199409,75,-1.5
199509,74.3,-2.2
199609,73.7,-2.8
199709,74.4,-2.1
199809,80.9,4.4
199909,78.9,2.4
200009,74.2,-2.3
200109,73.7,-2.8
200209,81.1,4.6
200309,73.4,-3.1
200409,77.6,1.1
200509,79.7,3.2
200609,71.4,-5.1
200709,80.6,4.1
200809,79.3,2.8
200909,75.2,-1.3
201009,78.5,2.0
201109,73.3,-3.2
201209,74.8,-1.7
201309,76.3,-0.2
201409,75.7,-0.8
201509,80.1,3.6
