North Dakota, Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,71.2,-4.0
189606,76.6,1.4
189706,73.8,-1.4
189806,73.9,-1.3
189906,73.4,-1.8
190006,81.2,6.0
190106,72.5,-2.7
190206,68.8,-6.4
190306,75.2,0.0
190406,71.7,-3.5
190506,70,-5.2
190606,72.8,-2.4
190706,73.7,-1.5
190806,71.3,-3.9
190906,74.1,-1.1
191006,80.4,5.2
191106,79.3,4.1
191206,74.3,-0.9
191306,78.4,3.2
191406,73.6,-1.6
191506,68.2,-7.0
191606,68.7,-6.5
191706,73.8,-1.4
191806,75.6,0.4
191906,79.7,4.5
192006,74.1,-1.1
192106,80,4.8
192206,76.2,1.0
192306,78.2,3.0
192406,70.5,-4.7
192506,72.4,-2.8
192606,73.8,-1.4
192706,73.2,-2.0
192806,70.2,-5.0
192906,74.9,-0.3
193006,75.2,0.0
193106,81.8,6.6
193206,78.3,3.1
193306,85.1,9.9
193406,77.2,2.0
193506,71.8,-3.4
193606,81.1,5.9
193706,75.8,0.6
193806,76.8,1.6
193906,71.5,-3.7
194006,76.6,1.4
194106,74.8,-0.4
194206,70.9,-4.3
194306,71.2,-4.0
194406,72.9,-2.3
194506,68.7,-6.5
194606,76.6,1.4
194706,70.1,-5.1
194806,73.9,-1.3
194906,77,1.8
195006,75.5,0.3
195106,70.1,-5.1
195206,78.3,3.1
195306,73.4,-1.8
195406,72.1,-3.1
195506,73.2,-2.0
195606,81.4,6.2
195706,73.1,-2.1
195806,71.2,-4.0
195906,79.6,4.4
196006,73.2,-2.0
196106,84.4,9.2
196206,74.8,-0.4
196306,77.8,2.6
196406,74,-1.2
196506,73.9,-1.3
196606,75.9,0.7
196706,73.7,-1.5
196806,72.5,-2.7
196906,69,-6.2
197006,80,4.8
197106,76.2,1.0
197206,77.3,2.1
197306,77.2,2.0
197406,77.9,2.7
197506,74.3,-0.9
197606,78.1,2.9
197706,77.9,2.7
197806,76,0.8
197906,76.6,1.4
198006,78.1,2.9
198106,72.9,-2.3
198206,71.7,-3.5
198306,75.8,0.6
198406,75.1,-0.1
198506,70.7,-4.5
198606,79.1,3.9
198706,81.9,6.7
198806,89.2,14.0
198906,75.9,0.7
199006,76.9,1.7
199106,77.3,2.1
199206,74.1,-1.1
199306,70,-5.2
199406,75.2,0.0
199506,78.3,3.1
199606,77.5,2.3
199706,80.6,5.4
199806,70.1,-5.1
199906,73.9,-1.3
200006,72.2,-3.0
200106,74,-1.2
200206,78.1,2.9
200306,73.3,-1.9
200406,71.2,-4.0
200506,75.3,0.1
200606,78.1,2.9
200706,77.1,1.9
200806,72.7,-2.5
200906,72.9,-2.3
201006,74,-1.2
201106,73,-2.2
201206,78.3,3.1
201306,74.3,-0.9
201406,73,-2.2
201506,77.1,1.9
