Louisiana, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,57.3,-2.3
189601,56.8,-2.8
189701,55.4,-4.2
189801,62.9,3.3
189901,58.4,-1.2
190001,58.1,-1.5
190101,62.6,3.0
190201,58.2,-1.4
190301,56.9,-2.7
190401,58.1,-1.5
190501,53.9,-5.7
190601,60,0.4
190701,69,9.4
190801,60,0.4
190901,63.8,4.2
191001,62.8,3.2
191101,66.8,7.2
191201,55.6,-4.0
191301,64.2,4.6
191401,64.2,4.6
191501,57.2,-2.4
191601,65.5,5.9
191701,62.4,2.8
191801,53.4,-6.2
191901,56.9,-2.7
192001,58.7,-0.9
192101,65.4,5.8
192201,56.7,-2.9
192301,67.2,7.6
192401,56.1,-3.5
192501,59.5,-0.1
192601,56.8,-2.8
192701,64.6,5.0
192801,60.1,0.5
192901,62.2,2.6
193001,57.2,-2.4
193101,58.7,-0.9
193201,64.1,4.5
193301,65.2,5.6
193401,61.4,1.8
193501,63.8,4.2
193601,57.7,-1.9
193701,65.3,5.7
193801,60.4,0.8
193901,63.8,4.2
194001,47.6,-12.0
194101,62.1,2.5
194201,58,-1.6
194301,61.4,1.8
194401,58.9,-0.7
194501,59.3,-0.3
194601,58.1,-1.5
194701,58.4,-1.2
194801,52,-7.6
194901,62.9,3.3
195001,69.8,10.2
195101,62.5,2.9
195201,68.4,8.8
195301,65,5.4
195401,63,3.4
195501,59.6,0.0
195601,59.7,0.1
195701,62.4,2.8
195801,56,-3.6
195901,58,-1.6
196001,56.9,-2.7
196101,54.2,-5.4
196201,56.6,-3.0
196301,54.3,-5.3
196401,57.8,-1.8
196501,63.9,4.3
196601,52.4,-7.2
196701,59,-0.6
196801,56.6,-3.0
196901,59.8,0.2
197001,53.3,-6.3
197101,61.1,1.5
197201,63.6,4.0
197301,55.4,-4.2
197401,62.8,3.2
197501,63.9,4.3
197601,59.3,-0.3
197701,49.3,-10.3
197801,47.7,-11.9
197901,50,-9.6
198001,60.1,0.5
198101,56.9,-2.7
198201,61,1.4
198301,56.5,-3.1
198401,54,-5.6
198501,53.2,-6.4
198601,61.5,1.9
198701,56.8,-2.8
198801,54.6,-5.0
198901,64.4,4.8
199001,63.8,4.2
199101,55.7,-3.9
199201,57.6,-2.0
199301,59.5,-0.1
199401,56.9,-2.7
199501,60.4,0.8
199601,61,1.4
199701,58.2,-1.4
199801,62.6,3.0
199901,65.3,5.7
200001,63.4,3.8
200101,55.4,-4.2
200201,62.2,2.6
200301,56.3,-3.3
200401,60.7,1.1
200501,63.2,3.6
200601,67.1,7.5
200701,58.2,-1.4
200801,58.3,-1.3
200901,61.9,2.3
201001,56,-3.6
201101,57.1,-2.5
201201,66.5,6.9
201301,61.4,1.8
201401,55.7,-3.9
201501,57.5,-2.1
201601,59,-0.6
