Virginia, Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,47.4,0.7
189612,46,-0.7
189712,47.1,0.4
189812,45.6,-1.1
189912,46.1,-0.6
190012,46.4,-0.3
190112,44.1,-2.6
190212,44.8,-1.9
190312,40.9,-5.8
190412,42.5,-4.2
190512,45.8,-0.9
190612,47.3,0.6
190712,47.3,0.6
190812,47.7,1.0
190912,41.5,-5.2
191012,39.4,-7.3
191112,50.1,3.4
191212,49.5,2.8
191312,49.5,2.8
191412,39.8,-6.9
191512,43.6,-3.1
191612,46,-0.7
191712,35.9,-10.8
191812,49.1,2.4
191912,44.4,-2.3
192012,46,-0.7
192112,48.6,1.9
192212,49.8,3.1
192312,55,8.3
192412,47.7,1.0
192512,44.4,-2.3
192612,43.8,-2.9
192712,47.4,0.7
192812,47.6,0.9
192912,48,1.3
193012,42,-4.7
193112,54.8,8.1
193212,49.3,2.6
193312,51.4,4.7
193412,45.9,-0.8
193512,37.8,-8.9
193612,46.7,0.0
193712,44.5,-2.2
193812,45.9,-0.8
193912,48,1.3
194012,51.4,4.7
194112,50.9,4.2
194212,43.1,-3.6
194312,46.9,0.2
194412,42,-4.7
194512,38.8,-7.9
194612,53,6.3
194712,47.1,0.4
194812,48.9,2.2
194912,50.4,3.7
195012,42.4,-4.3
195112,49.2,2.5
195212,46.3,-0.4
195312,48.8,2.1
195412,44.5,-2.2
195512,42.7,-4.0
195612,56.2,9.5
195712,49.6,2.9
195812,41.8,-4.9
195912,48.9,2.2
196012,42.1,-4.6
196112,44.9,-1.8
196212,42,-4.7
196312,38,-8.7
196412,49.3,2.6
196512,50.7,4.0
196612,44.6,-2.1
196712,49.2,2.5
196812,43.7,-3.0
196912,41.3,-5.4
197012,48.5,1.8
197112,55.2,8.5
197212,50.8,4.1
197312,47,0.3
197412,48.1,1.4
197512,47.1,0.4
197612,44.2,-2.5
197712,44.9,-1.8
197812,50.5,3.8
197912,50,3.3
198012,47.3,0.6
198112,41.7,-5.0
198212,52.1,5.4
198312,43.1,-3.6
198412,56.2,9.5
198512,44.6,-2.1
198612,47.1,0.4
198712,49.1,2.4
198812,47.6,0.9
198912,36.8,-9.9
199012,53.2,6.5
199112,52,5.3
199212,45.8,-0.9
199312,44.4,-2.3
199412,52.5,5.8
199512,43.2,-3.5
199612,49.9,3.2
199712,47.3,0.6
199812,53,6.3
199912,50.7,4.0
200012,40,-6.7
200112,54.1,7.4
200212,45.2,-1.5
200312,46.7,0.0
200412,49,2.3
200512,44.6,-2.1
200612,55.1,8.4
200712,50.6,3.9
200812,50,3.3
200912,44.8,-1.9
201012,38.1,-8.6
201112,53.2,6.5
201212,52.5,5.8
201312,50.3,3.6
201412,49.4,2.7
201512,58.8,12.1
