Kansas, Maximum Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189507,86.4,-5.4
189607,90,-1.8
189707,93.1,1.3
189807,89.8,-2.0
189907,87.6,-4.2
190007,90.4,-1.4
190107,100,8.2
190207,88.6,-3.2
190307,90.6,-1.2
190407,86.7,-5.1
190507,86.3,-5.5
190607,85.9,-5.9
190707,90.5,-1.3
190807,87.1,-4.7
190907,89.7,-2.1
191007,93.4,1.6
191107,91.3,-0.5
191207,92.6,0.8
191307,96.2,4.4
191407,92.4,0.6
191507,84.6,-7.2
191607,95.3,3.5
191707,95.3,3.5
191807,91.1,-0.7
191907,92.6,0.8
192007,90.8,-1.0
192107,91.2,-0.6
192207,89.3,-2.5
192307,90.6,-1.2
192407,88.6,-3.2
192507,92.7,0.9
192607,92,0.2
192707,89.6,-2.2
192807,88.5,-3.3
192907,90.7,-1.1
193007,95.1,3.3
193107,93.8,2.0
193207,94.2,2.4
193307,94.8,3.0
193407,102.2,10.4
193507,97.3,5.5
193607,100.5,8.7
193707,95,3.2
193807,94.1,2.3
193907,97.7,5.9
194007,95.4,3.6
194107,91.6,-0.2
194207,93.2,1.4
194307,93.7,1.9
194407,89.6,-2.2
194507,89.4,-2.4
194607,95.5,3.7
194707,90.5,-1.3
194807,89.4,-2.4
194907,90.9,-0.9
195007,83.7,-8.1
195107,87.3,-4.5
195207,94.3,2.5
195307,91,-0.8
195407,99.8,8.0
195507,95.8,4.0
195607,93.1,1.3
195707,93.8,2.0
195807,86.8,-5.0
195907,88,-3.8
196007,88.8,-3.0
196107,90.3,-1.5
196207,89,-2.8
196307,94.2,2.4
196407,96.2,4.4
196507,90.8,-1.0
196607,95,3.2
196707,86.2,-5.6
196807,90.5,-1.3
196907,92.6,0.8
197007,93,1.2
197107,89.1,-2.7
197207,87.9,-3.9
197307,90.6,-1.2
197407,97,5.2
197507,91.4,-0.4
197607,91.2,-0.6
197707,93.8,2.0
197807,95.5,3.7
197907,89.4,-2.4
198007,100.8,9.0
198107,90.5,-1.3
198207,91.3,-0.5
198307,95.2,3.4
198407,92.6,0.8
198507,92.7,0.9
198607,93.3,1.5
198707,90.3,-1.5
198807,90.8,-1.0
198907,89.3,-2.5
199007,90.2,-1.6
199107,93.8,2.0
199207,87.4,-4.4
199307,88.6,-3.2
199407,88.7,-3.1
199507,91.3,-0.5
199607,88.7,-3.1
199707,90.7,-1.1
199807,90.6,-1.2
199907,92.4,0.6
200007,91.4,-0.4
200107,95.9,4.1
200207,93.8,2.0
200307,96,4.2
200407,86.6,-5.2
200507,92,0.2
200607,94.6,2.8
200707,89.7,-2.1
200807,91.2,-0.6
200907,88,-3.8
201007,90.9,-0.9
201107,98.7,6.9
201207,99.1,7.3
201307,89.7,-2.1
201407,87.9,-3.9
201507,90.8,-1.0
