Washington, Maximum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,76.1,-1.1
189608,75.5,-1.7
189708,81.8,4.6
189808,79.9,2.7
189908,68.8,-8.4
190008,71.5,-5.7
190108,81.1,3.9
190208,76.8,-0.4
190308,74.6,-2.6
190408,79,1.8
190508,76.4,-0.8
190608,77.9,0.7
190708,71.1,-6.1
190808,76.8,-0.4
190908,76.4,-0.8
191008,73.7,-3.5
191108,76,-1.2
191208,72.3,-4.9
191308,78,0.8
191408,79.5,2.3
191508,83,5.8
191608,77.4,0.2
191708,80.8,3.6
191808,73.8,-3.4
191908,78.1,0.9
192008,78.6,1.4
192108,77.2,0.0
192208,77.2,0.0
192308,79.3,2.1
192408,75.8,-1.4
192508,76.4,-0.8
192608,76.4,-0.8
192708,77.4,0.2
192808,76.9,-0.3
192908,80.5,3.3
193008,80.2,3.0
193108,79.3,2.1
193208,75.7,-1.5
193308,79.2,2.0
193408,79.3,2.1
193508,76.3,-0.9
193608,78.9,1.7
193708,74,-3.2
193808,76.1,-1.1
193908,80.9,3.7
194008,79,1.8
194108,75.5,-1.7
194208,80.4,3.2
194308,74.9,-2.3
194408,75.8,-1.4
194508,79.5,2.3
194608,78.4,1.2
194708,75.2,-2.0
194808,72,-5.2
194908,76.3,-0.9
195008,78.8,1.6
195108,77,-0.2
195208,77.3,0.1
195308,76.1,-1.1
195408,71.4,-5.8
195508,77.3,0.1
195608,76.9,-0.3
195708,73.4,-3.8
195808,82.4,5.2
195908,73.8,-3.4
196008,72.9,-4.3
196108,83,5.8
196208,73.5,-3.7
196308,76.9,-0.3
196408,71.9,-5.3
196508,76.1,-1.1
196608,77,-0.2
196708,85,7.8
196808,72.3,-4.9
196908,75.2,-2.0
197008,79.1,1.9
197108,82.2,5.0
197208,79.5,2.3
197308,76.2,-1.0
197408,78.1,0.9
197508,71.6,-5.6
197608,71.2,-6.0
197708,81,3.8
197808,74.2,-3.0
197908,77.4,0.2
198008,73.1,-4.1
198108,82.1,4.9
198208,76.4,-0.8
198308,77.8,0.6
198408,78.1,0.9
198508,75.7,-1.5
198608,82.7,5.5
198708,77.8,0.6
198808,77.9,0.7
198908,73.7,-3.5
199008,78.2,1.0
199108,78.6,1.4
199208,79.2,2.0
199308,74.7,-2.5
199408,78.5,1.3
199508,72.7,-4.5
199608,78.9,1.7
199708,79.7,2.5
199808,81.2,4.0
199908,78,0.8
200008,77.2,0.0
200108,79.3,2.1
200208,77.5,0.3
200308,80.2,3.0
200408,79.2,2.0
200508,80.3,3.1
200608,78.6,1.4
200708,76.4,-0.8
200808,76.6,-0.6
200908,78.2,1.0
201008,76.4,-0.8
201108,78.6,1.4
201208,80.6,3.4
201308,78.6,1.4
201408,80,2.8
201508,80.1,2.9
