New Jersey, Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,81.4,1.7
189606,77.7,-2.0
189706,76.2,-3.5
189806,80.2,0.5
189906,82.6,2.9
190006,80.2,0.5
190106,80.7,1.0
190206,78.3,-1.4
190306,71.5,-8.2
190406,78,-1.7
190506,78.2,-1.5
190606,79.9,0.2
190706,74,-5.7
190806,81.2,1.5
190906,79.3,-0.4
191006,76,-3.7
191106,78.6,-1.1
191206,78.8,-0.9
191306,80.7,1.0
191406,79.6,-0.1
191506,76.5,-3.2
191606,73.4,-6.3
191706,78.5,-1.2
191806,76.5,-3.2
191906,80.1,0.4
192006,78.8,-0.9
192106,82.2,2.5
192206,80,0.3
192306,83.8,4.1
192406,76.1,-3.6
192506,85.8,6.1
192606,75.5,-4.2
192706,76.1,-3.6
192806,75.6,-4.1
192906,80.8,1.1
193006,82.1,2.4
193106,79.8,0.1
193206,79.9,0.2
193306,82,2.3
193406,83.1,3.4
193506,79.3,-0.4
193606,79,-0.7
193706,80.3,0.6
193806,78.6,-1.1
193906,81.3,1.6
194006,79.2,-0.5
194106,79.9,0.2
194206,79.4,-0.3
194306,84.6,4.9
194406,81.2,1.5
194506,80.2,0.5
194606,78.6,-1.1
194706,78,-1.7
194806,78.7,-1.0
194906,83.1,3.4
195006,79.3,-0.4
195106,78.4,-1.3
195206,82.4,2.7
195306,81.6,1.9
195406,81.3,1.6
195506,77.9,-1.8
195606,81.1,1.4
195706,83.7,4.0
195806,76.2,-3.5
195906,81,1.3
196006,80,0.3
196106,80,0.3
196206,80.5,0.8
196306,80.6,0.9
196406,80.8,1.1
196506,80,0.3
196606,82.2,2.5
196706,82.3,2.6
196806,78.8,-0.9
196906,81,1.3
197006,78.8,-0.9
197106,80.9,1.2
197206,74.7,-5.0
197306,80.9,1.2
197406,76.6,-3.1
197506,78.8,-0.9
197606,82.1,2.4
197706,78,-1.7
197806,80,0.3
197906,76.7,-3.0
198006,79.3,-0.4
198106,80.6,0.9
198206,75.6,-4.1
198306,81.3,1.6
198406,82.7,3.0
198506,77,-2.7
198606,81.5,1.8
198706,81.9,2.2
198806,81.7,2.0
198906,80.5,0.8
199006,80.2,0.5
199106,83.1,3.4
199206,77.7,-2.0
199306,80.9,1.2
199406,83.5,3.8
199506,79.7,0.0
199606,80.6,0.9
199706,79.8,0.1
199806,77.9,-1.8
199906,82.2,2.5
200006,80.5,0.8
200106,81.7,2.0
200206,81.3,1.6
200306,76.8,-2.9
200406,79.2,-0.5
200506,82.7,3.0
200606,79.5,-0.2
200706,81.6,1.9
200806,84.5,4.8
200906,76.4,-3.3
201006,85.1,5.4
201106,82.5,2.8
201206,80.9,1.2
201306,81.4,1.7
201406,81.5,1.8
201506,79.8,0.1
