Maine, Maximum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,66,3.6
189605,64.7,2.3
189705,59.5,-2.9
189805,61.3,-1.1
189905,62.8,0.4
190005,59.2,-3.2
190105,61.5,-0.9
190205,59.2,-3.2
190305,65.8,3.4
190405,66,3.6
190505,61.1,-1.3
190605,58.4,-4.0
190705,56,-6.4
190805,63.4,1.0
190905,58.6,-3.8
191005,60.4,-2.0
191105,70.9,8.5
191205,63,0.6
191305,58.6,-3.8
191405,64.7,2.3
191505,59.5,-2.9
191605,61.3,-1.1
191705,52.9,-9.5
191805,65.8,3.4
191905,61.9,-0.5
192005,63.2,0.8
192105,66.3,3.9
192205,64.9,2.5
192305,60.4,-2.0
192405,57.7,-4.7
192505,58.4,-4.0
192605,58.1,-4.3
192705,56.9,-5.5
192805,59.9,-2.5
192905,63,0.6
193005,63.2,0.8
193105,64,1.6
193205,64.9,2.5
193305,64,1.6
193405,65.9,3.5
193505,59.7,-2.7
193605,63.1,0.7
193705,66.3,3.9
193805,61,-1.4
193905,63,0.6
194005,62.5,0.1
194105,64.8,2.4
194205,66,3.6
194305,62.3,-0.1
194405,69.1,6.7
194505,58.1,-4.3
194605,62.1,-0.3
194705,59.1,-3.3
194805,59.2,-3.2
194905,64.5,2.1
195005,66.1,3.7
195105,64.3,1.9
195205,59.8,-2.6
195305,64.3,1.9
195405,58.5,-3.9
195505,65.2,2.8
195605,57.2,-5.2
195705,64,1.6
195805,59.3,-3.1
195905,67.4,5.0
196005,68,5.6
196105,59.8,-2.6
196205,60.2,-2.2
196305,62.8,0.4
196405,66.3,3.9
196505,63.3,0.9
196605,60.8,-1.6
196705,54.1,-8.3
196805,61.7,-0.7
196905,60.7,-1.7
197005,62.5,0.1
197105,62.6,0.2
197205,63.9,1.5
197305,56.9,-5.5
197405,55.5,-6.9
197505,66.4,4.0
197605,62,-0.4
197705,66.1,3.7
197805,65.9,3.5
197905,62.5,0.1
198005,63.6,1.2
198105,65.1,2.7
198205,64.8,2.4
198305,58,-4.4
198405,60.6,-1.8
198505,63.2,0.8
198605,63.7,1.3
198705,64.1,1.7
198805,65.2,2.8
198905,65.9,3.5
199005,60.2,-2.2
199105,67,4.6
199205,65.6,3.2
199305,63.8,1.4
199405,59.8,-2.6
199505,61.4,-1.0
199605,60.2,-2.2
199705,57,-5.4
199805,68.9,6.5
199905,68.5,6.1
200005,60.4,-2.0
200105,68.4,6.0
200205,60.6,-1.8
200305,60.6,-1.8
200405,63.6,1.2
200505,56.1,-6.3
200605,63.7,1.3
200705,63.6,1.2
200805,62.2,-0.2
200905,62.9,0.5
201005,67.4,5.0
201105,61.1,-1.3
201205,64.2,1.8
201305,64.5,2.1
201405,62.2,-0.2
201505,68.7,6.3
