Oregon, Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,70.7,0.1
189606,71.2,0.6
189706,66.9,-3.7
189806,69.8,-0.8
189906,68.4,-2.2
190006,72.7,2.1
190106,65.6,-5.0
190206,69.7,-0.9
190306,72.2,1.6
190406,71.5,0.9
190506,68.3,-2.3
190606,66.4,-4.2
190706,67.2,-3.4
190806,68.3,-2.3
190906,71.1,0.5
191006,70.6,0.0
191106,69.6,-1.0
191206,70.6,0.0
191306,68.2,-2.4
191406,67.6,-3.0
191506,69.3,-1.3
191606,68.1,-2.5
191706,69.6,-1.0
191806,79.2,8.6
191906,71.6,1.0
192006,69.2,-1.4
192106,71.7,1.1
192206,76.2,5.6
192306,66.2,-4.4
192406,73.3,2.7
192506,71,0.4
192606,77.4,6.8
192706,71.1,0.5
192806,68.6,-2.0
192906,68.9,-1.7
193006,70.7,0.1
193106,70.4,-0.2
193206,73.7,3.1
193306,71.3,0.7
193406,70.7,0.1
193506,72.6,2.0
193606,72,1.4
193706,70.1,-0.5
193806,73.3,2.7
193906,68.8,-1.8
194006,77.9,7.3
194106,67.8,-2.8
194206,67.2,-3.4
194306,65.3,-5.3
194406,66.6,-4.0
194506,69.2,-1.4
194606,68.5,-2.1
194706,66.3,-4.3
194806,71.6,1.0
194906,72.6,2.0
195006,69.2,-1.4
195106,73.3,2.7
195206,67.3,-3.3
195306,63.7,-6.9
195406,65.5,-5.1
195506,71.7,1.1
195606,68.4,-2.2
195706,72.4,1.8
195806,70.8,0.2
195906,72.2,1.6
196006,75,4.4
196106,78,7.4
196206,71.8,1.2
196306,67.9,-2.7
196406,67.2,-3.4
196506,70,-0.6
196606,69.6,-1.0
196706,72.2,1.6
196806,72.4,1.8
196906,71,0.4
197006,74,3.4
197106,66.6,-4.0
197206,72.9,2.3
197306,72.6,2.0
197406,76.3,5.7
197506,68.8,-1.8
197606,67.9,-2.7
197706,75.7,5.1
197806,71.7,1.1
197906,73.5,2.9
198006,65.6,-5.0
198106,69.3,-1.3
198206,71,0.4
198306,68.3,-2.3
198406,66.9,-3.7
198506,74.2,3.6
198606,77.1,6.5
198706,75.4,4.8
198806,71.4,0.8
198906,73.6,3.0
199006,71.1,0.5
199106,66.2,-4.4
199206,75.7,5.1
199306,67.5,-3.1
199406,71.7,1.1
199506,68.5,-2.1
199606,72.1,1.5
199706,69.5,-1.1
199806,69.2,-1.4
199906,69.8,-0.8
200006,75.1,4.5
200106,70.5,-0.1
200206,74.1,3.5
200306,76.6,6.0
200406,73.4,2.8
200506,67.7,-2.9
200606,74.6,4.0
200706,73.1,2.5
200806,71.2,0.6
200906,70.8,0.2
201006,67.9,-2.7
201106,67.4,-3.2
201206,68.7,-1.9
201306,73.1,2.5
201406,71.9,1.3
201506,80.7,10.1
