California, Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,56.1,0.5
189602,59.4,3.8
189702,50.4,-5.2
189802,57.3,1.7
189902,55.9,0.3
190002,58.5,2.9
190102,54,-1.6
190202,55.6,0.0
190302,48.9,-6.7
190402,54.7,-0.9
190502,56.3,0.7
190602,57.5,1.9
190702,59.5,3.9
190802,52.4,-3.2
190902,51.4,-4.2
191002,52.9,-2.7
191102,49.6,-6.0
191202,58.8,3.2
191302,54.2,-1.4
191402,55.9,0.3
191502,52.1,-3.5
191602,57.7,2.1
191702,53.6,-2.0
191802,53.6,-2.0
191902,50.5,-5.1
192002,56.6,1.0
192102,57,1.4
192202,50.1,-5.5
192302,55.4,-0.2
192402,62.1,6.5
192502,57.3,1.7
192602,57.4,1.8
192702,54.2,-1.4
192802,57.7,2.1
192902,53.5,-2.1
193002,60.3,4.7
193102,56.4,0.8
193202,52.7,-2.9
193302,51.4,-4.2
193402,58.4,2.8
193502,55.5,-0.1
193602,53.4,-2.2
193702,51.8,-3.8
193802,52,-3.6
193902,50.9,-4.7
194002,54.8,-0.8
194102,55.7,0.1
194202,53.1,-2.5
194302,58,2.4
194402,51.7,-3.9
194502,55.5,-0.1
194602,53.8,-1.8
194702,59.5,3.9
194802,53.6,-2.0
194902,49.9,-5.7
195002,57.8,2.2
195102,54.8,-0.8
195202,54.2,-1.4
195302,58,2.4
195402,60.8,5.2
195502,53.2,-2.4
195602,51.7,-3.9
195702,57.3,1.7
195802,56.7,1.1
195902,53.3,-2.3
196002,53.8,-1.8
196102,58,2.4
196202,52,-3.6
196302,62.2,6.6
196402,57.2,1.6
196502,57.6,2.0
196602,52.5,-3.1
196702,58.6,3.0
196802,59.5,3.9
196902,49.4,-6.2
197002,59.3,3.7
197102,56.5,0.9
197202,58.2,2.6
197302,54.4,-1.2
197402,56.1,0.5
197502,53.5,-2.1
197602,56.4,0.8
197702,61.8,6.2
197802,55.2,-0.4
197902,53.1,-2.5
198002,58,2.4
198102,58.7,3.1
198202,57.2,1.6
198302,55.2,-0.4
198402,57.7,2.1
198502,57.2,1.6
198602,58,2.4
198702,56.9,1.3
198802,61.8,6.2
198902,53.2,-2.4
199002,53.8,-1.8
199102,64.2,8.6
199202,58.3,2.7
199302,52.6,-3.0
199402,53.7,-1.9
199502,62,6.4
199602,58,2.4
199702,57.7,2.1
199802,51,-4.6
199902,55.1,-0.5
200002,56,0.4
200102,52.6,-3.0
200202,60.7,5.1
200302,56.2,0.6
200402,53.6,-2.0
200502,56.1,0.5
200602,60.1,4.5
200702,57,1.4
200802,56.9,1.3
200902,55.1,-0.5
201002,56.1,0.5
201102,54.6,-1.0
201202,58,2.4
201302,57.6,2.0
201402,60.6,5.0
201502,65.1,9.5
