Kansas, Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,42.8,0.1
189612,51.1,8.4
189712,38.4,-4.3
189812,36.5,-6.2
189912,39.7,-3.0
190012,46.6,3.9
190112,41.5,-1.2
190212,35.7,-7.0
190312,46.1,3.4
190412,41.7,-1.0
190512,43.6,0.9
190612,46.2,3.5
190712,42.3,-0.4
190812,45.6,2.9
190912,30.1,-12.6
191012,43.5,0.8
191112,38.8,-3.9
191212,46.1,3.4
191312,39.4,-3.3
191412,31.1,-11.6
191512,44.8,2.1
191612,39.9,-2.8
191712,37,-5.7
191812,43.1,0.4
191912,36.5,-6.2
192012,43,0.3
192112,44.6,1.9
192212,46,3.3
192312,44.6,1.9
192412,33.8,-8.9
192512,43.2,0.5
192612,39.9,-2.8
192712,39.2,-3.5
192812,44.2,1.5
192912,45.5,2.8
193012,41.3,-1.4
193112,46.6,3.9
193212,37.3,-5.4
193312,50.7,8.0
193412,41.8,-0.9
193512,41.9,-0.8
193612,46,3.3
193712,39.9,-2.8
193812,47.1,4.4
193912,50.1,7.4
194012,44.4,1.7
194112,46.1,3.4
194212,39.8,-2.9
194312,39.5,-3.2
194412,38,-4.7
194512,37,-5.7
194612,49,6.3
194712,42.6,-0.1
194812,43.8,1.1
194912,45.7,3.0
195012,46.7,4.0
195112,42,-0.7
195212,40.1,-2.6
195312,43.2,0.5
195412,47.7,5.0
195512,41.7,-1.0
195612,48.1,5.4
195712,51.6,8.9
195812,42.6,-0.1
195912,48,5.3
196012,41,-1.7
196112,36.7,-6.0
196212,45.2,2.5
196312,36,-6.7
196412,41.9,-0.8
196512,48.4,5.7
196612,41.9,-0.8
196712,42.7,0.0
196812,37.9,-4.8
196912,41.9,-0.8
197012,48.4,5.7
197112,43.1,0.4
197212,35.6,-7.1
197312,40.6,-2.1
197412,43.5,0.8
197512,46.2,3.5
197612,47.3,4.6
197712,45.2,2.5
197812,41.5,-1.2
197912,49.1,6.4
198012,47.9,5.2
198112,42.5,-0.2
198212,45.6,2.9
198312,24.6,-18.1
198412,44.9,2.2
198512,38.2,-4.5
198612,44.3,1.6
198712,43.3,0.6
198812,50.2,7.5
198912,37.7,-5.0
199012,39.6,-3.1
199112,45.6,2.9
199212,38.9,-3.8
199312,47,4.3
199412,46.3,3.6
199512,43.3,0.6
199612,44.8,2.1
199712,39.9,-2.8
199812,46.5,3.8
199912,48.9,6.2
200012,34.7,-8.0
200112,50.3,7.6
200212,47.6,4.9
200312,46.5,3.8
200412,48.7,6.0
200512,41.9,-0.8
200612,47.4,4.7
200712,39,-3.7
200812,42.2,-0.5
200912,36.6,-6.1
201012,44,1.3
201112,43.2,0.5
201212,46.9,4.2
201312,41.6,-1.1
201412,43.1,0.4
201512,48.2,5.5
