Arizona, Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,49.1,-4.9
189612,56,2.0
189712,51.7,-2.3
189812,47.3,-6.7
189912,56.2,2.2
190012,56.5,2.5
190112,56.8,2.8
190212,52.2,-1.8
190312,55.8,1.8
190412,53.8,-0.2
190512,49.1,-4.9
190612,55,1.0
190712,57,3.0
190812,52.7,-1.3
190912,46.4,-7.6
191012,57.6,3.6
191112,49.6,-4.4
191212,49.2,-4.8
191312,49.5,-4.5
191412,47.9,-6.1
191512,53.3,-0.7
191612,51.2,-2.8
191712,62.9,8.9
191812,49.4,-4.6
191912,54.2,0.2
192012,52.6,-1.4
192112,56.5,2.5
192212,56.1,2.1
192312,49.3,-4.7
192412,49.4,-4.6
192512,54.1,0.1
192612,48.8,-5.2
192712,49.1,-4.9
192812,52.1,-1.9
192912,61,7.0
193012,52.5,-1.5
193112,47.5,-6.5
193212,46.9,-7.1
193312,58,4.0
193412,55.6,1.6
193512,54,0.0
193612,53.6,-0.4
193712,56.3,2.3
193812,55.9,1.9
193912,60.4,6.4
194012,55.1,1.1
194112,53.9,-0.1
194212,57.9,3.9
194312,52.5,-1.5
194412,54.8,0.8
194512,51.9,-2.1
194612,58,4.0
194712,51.2,-2.8
194812,53.2,-0.8
194912,52.8,-1.2
195012,63,9.0
195112,50.8,-3.2
195212,51.7,-2.3
195312,52.9,-1.1
195412,55.4,1.4
195512,58.9,4.9
195612,56.4,2.4
195712,57.6,3.6
195812,62.4,8.4
195912,53.9,-0.1
196012,52.1,-1.9
196112,50.5,-3.5
196212,56.8,2.8
196312,56,2.0
196412,54,0.0
196512,52.5,-1.5
196612,54.4,0.4
196712,47.4,-6.6
196812,51.4,-2.6
196912,56.7,2.7
197012,54.3,0.3
197112,48.7,-5.3
197212,51,-3.0
197312,57.6,3.6
197412,51.5,-2.5
197512,54.9,0.9
197612,56.2,2.2
197712,59.8,5.8
197812,48.7,-5.3
197912,57.7,3.7
198012,62.1,8.1
198112,59,5.0
198212,51.6,-2.4
198312,55.1,1.1
198412,51.3,-2.7
198512,56.4,2.4
198612,53.5,-0.5
198712,50.8,-3.2
198812,54,0.0
198912,57.3,3.3
199012,50.1,-3.9
199112,51.8,-2.2
199212,49.1,-4.9
199312,55.5,1.5
199412,54.6,0.6
199512,58.1,4.1
199612,57.3,3.3
199712,50.9,-3.1
199812,55.9,1.9
199912,56,2.0
200012,58.7,4.7
200112,52.9,-1.1
200212,52.7,-1.3
200312,56.3,2.3
200412,54.5,0.5
200512,58.6,4.6
200612,55.3,1.3
200712,51.4,-2.6
200812,54,0.0
200912,50.9,-3.1
201012,58.9,4.9
201112,51.6,-2.4
201212,54.6,0.6
201312,54.1,0.1
201412,55.2,1.2
201512,54.2,0.2
