New Mexico, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,45.8,-1.7
189601,50.3,2.8
189701,40.5,-7.0
189801,43.1,-4.4
189901,45.3,-2.2
190001,51.6,4.1
190101,50.2,2.7
190201,48.9,1.4
190301,47.2,-0.3
190401,46.5,-1.0
190501,46.4,-1.1
190601,46.1,-1.4
190701,48.2,0.7
190801,49.2,1.7
190901,53.7,6.2
191001,48.7,1.2
191101,52.8,5.3
191201,48.7,1.2
191301,43.5,-4.0
191401,50.7,3.2
191501,42.6,-4.9
191601,47.4,-0.1
191701,44.9,-2.6
191801,43.4,-4.1
191901,40.3,-7.2
192001,47.7,0.2
192101,50.8,3.3
192201,45.5,-2.0
192301,53.2,5.7
192401,45,-2.5
192501,44.8,-2.7
192601,42.2,-5.3
192701,52.8,5.3
192801,51.4,3.9
192901,47.3,-0.2
193001,42.2,-5.3
193101,46.6,-0.9
193201,41.3,-6.2
193301,45.4,-2.1
193401,50.7,3.2
193501,51.3,3.8
193601,46.5,-1.0
193701,41.2,-6.3
193801,48.3,0.8
193901,46,-1.5
194001,44.6,-2.9
194101,45.9,-1.6
194201,48.6,1.1
194301,49.3,1.8
194401,44.6,-2.9
194501,47.8,0.3
194601,44.1,-3.4
194701,44.6,-2.9
194801,45.7,-1.8
194901,37,-10.5
195001,51.6,4.1
195101,48.9,1.4
195201,51.2,3.7
195301,54.8,7.3
195401,51.5,4.0
195501,44.7,-2.8
195601,52.7,5.2
195701,49.1,1.6
195801,45.8,-1.7
195901,50.5,3.0
196001,43,-4.5
196101,46.4,-1.1
196201,44,-3.5
196301,44,-3.5
196401,46.4,-1.1
196501,50.5,3.0
196601,42.9,-4.6
196701,50.4,2.9
196801,46.4,-1.1
196901,52.8,5.3
197001,47.5,0.0
197101,50.2,2.7
197201,50.9,3.4
197301,43.1,-4.4
197401,47.6,0.1
197501,46.2,-1.3
197601,49,1.5
197701,43.9,-3.6
197801,46.4,-1.1
197901,40.3,-7.2
198001,48.5,1.0
198101,51.3,3.8
198201,48.7,1.2
198301,47.1,-0.4
198401,46.3,-1.2
198501,43.7,-3.8
198601,55.9,8.4
198701,46.2,-1.3
198801,44.3,-3.2
198901,49.1,1.6
199001,49,1.5
199101,45.3,-2.2
199201,43.8,-3.7
199301,47.9,0.4
199401,51.3,3.8
199501,48,0.5
199601,51.8,4.3
199701,45.2,-2.3
199801,51.1,3.6
199901,54.4,6.9
200001,54.5,7.0
200101,44.5,-3.0
200201,50.4,2.9
200301,55.8,8.3
200401,49.9,2.4
200501,52.4,4.9
200601,54.7,7.2
200701,42.8,-4.7
200801,46.5,-1.0
200901,53.5,6.0
201001,47.3,-0.2
201101,49.8,2.3
201201,53.3,5.8
201301,46.3,-1.2
201401,52.8,5.3
201501,47.8,0.3
201601,47.5,0.0
