Ohio, Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,85,4.4
189606,80.5,-0.1
189706,79.2,-1.4
189806,83.3,2.7
189906,83.3,2.7
190006,80.6,0.0
190106,82.4,1.8
190206,78.2,-2.4
190306,74.4,-6.2
190406,78.9,-1.7
190506,80.3,-0.3
190606,80.8,0.2
190706,76,-4.6
190806,81.4,0.8
190906,80.4,-0.2
191006,77.5,-3.1
191106,82.2,1.6
191206,78.6,-2.0
191306,83.2,2.6
191406,83.7,3.1
191506,77.2,-3.4
191606,75.1,-5.5
191706,77.7,-2.9
191806,80.6,0.0
191906,85.5,4.9
192006,79.7,-0.9
192106,84.7,4.1
192206,82,1.4
192306,82.8,2.2
192406,78.3,-2.3
192506,84.5,3.9
192606,77.4,-3.2
192706,75.3,-5.3
192806,74.1,-6.5
192906,78.9,-1.7
193006,82.9,2.3
193106,82.4,1.8
193206,82.4,1.8
193306,87.3,6.7
193406,88.7,8.1
193506,77.6,-3.0
193606,83.4,2.8
193706,79.4,-1.2
193806,79.1,-1.5
193906,82.3,1.7
194006,80.7,0.1
194106,81.3,0.7
194206,81.5,0.9
194306,85.3,4.7
194406,84.9,4.3
194506,78.3,-2.3
194606,80.1,-0.5
194706,78.6,-2.0
194806,81.1,0.5
194906,84.7,4.1
195006,79.4,-1.2
195106,80.1,-0.5
195206,86.1,5.5
195306,84.6,4.0
195406,83.5,2.9
195506,78,-2.6
195606,80.4,-0.2
195706,81.1,0.5
195806,76.2,-4.4
195906,81.8,1.2
196006,79.3,-1.3
196106,78.4,-2.2
196206,81.7,1.1
196306,81.9,1.3
196406,81.6,1.0
196506,80.6,0.0
196606,83.2,2.6
196706,83.2,2.6
196806,80.7,0.1
196906,78.7,-1.9
197006,80.6,0.0
197106,84.1,3.5
197206,75,-5.6
197306,82.2,1.6
197406,76.7,-3.9
197506,80.2,-0.4
197606,81.1,0.5
197706,78.5,-2.1
197806,80.7,0.1
197906,79.7,-0.9
198006,78.5,-2.1
198106,80.4,-0.2
198206,76.4,-4.2
198306,80.9,0.3
198406,83.8,3.2
198506,76.7,-3.9
198606,80.6,0.0
198706,82.5,1.9
198806,84.1,3.5
198906,78.7,-1.9
199006,78.9,-1.7
199106,84,3.4
199206,76.1,-4.5
199306,78.6,-2.0
199406,83.5,2.9
199506,81.2,0.6
199606,80.5,-0.1
199706,78.5,-2.1
199806,79.1,-1.5
199906,82.9,2.3
200006,80.3,-0.3
200106,79.4,-1.2
200206,82.8,2.2
200306,76.4,-4.2
200406,78.3,-2.3
200506,84,3.4
200606,78.8,-1.8
200706,83.2,2.6
200806,81.7,1.1
200906,80,-0.6
201006,82.4,1.8
201106,81.2,0.6
201206,83.1,2.5
201306,80,-0.6
201406,81.3,0.7
201506,79.2,-1.4
