New Mexico, Maximum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,83.4,-1.5
189608,85.3,0.4
189708,84,-0.9
189808,84.7,-0.2
189908,86.1,1.2
190008,86.9,2.0
190108,86.4,1.5
190208,85,0.1
190308,86.2,1.3
190408,83.4,-1.5
190508,85.7,0.8
190608,81,-3.9
190708,83.3,-1.6
190808,81.5,-3.4
190908,83.2,-1.7
191008,86.1,1.2
191108,86.4,1.5
191208,83.8,-1.1
191308,85.3,0.4
191408,84.2,-0.7
191508,82.4,-2.5
191608,82,-2.9
191708,84.9,0.0
191808,84.2,-0.7
191908,86.5,1.6
192008,82,-2.9
192108,83.3,-1.6
192208,88.2,3.3
192308,82.4,-2.5
192408,87.7,2.8
192508,81.8,-3.1
192608,86.7,1.8
192708,83.3,-1.6
192808,82.1,-2.8
192908,83.1,-1.8
193008,85.6,0.7
193108,83.2,-1.7
193208,84.9,0.0
193308,84.5,-0.4
193408,87.7,2.8
193508,84.4,-0.5
193608,86.7,1.8
193708,88.6,3.7
193808,87.4,2.5
193908,85.4,0.5
194008,84.2,-0.7
194108,83.6,-1.3
194208,83.8,-1.1
194308,88.3,3.4
194408,86.4,1.5
194508,86.7,1.8
194608,84.9,0.0
194708,84.6,-0.3
194808,87.2,2.3
194908,85.5,0.6
195008,85.6,0.7
195108,86.5,1.6
195208,88.3,3.4
195308,86.5,1.6
195408,84.9,0.0
195508,84.3,-0.6
195608,85.5,0.6
195708,83.5,-1.4
195808,87.2,2.3
195908,84.4,-0.5
196008,87.3,2.4
196108,84,-0.9
196208,88.9,4.0
196308,83.5,-1.4
196408,86.1,1.2
196508,84.1,-0.8
196608,83.3,-1.6
196708,82.1,-2.8
196808,81.6,-3.3
196908,87.6,2.7
197008,86.4,1.5
197108,81.6,-3.3
197208,82.5,-2.4
197308,86.1,1.2
197408,82.1,-2.8
197508,85.7,0.8
197608,84.7,-0.2
197708,86.6,1.7
197808,85.2,0.3
197908,83.4,-1.5
198008,85.8,0.9
198108,83.3,-1.6
198208,85.1,0.2
198308,86.7,1.8
198408,82.5,-2.4
198508,86.8,1.9
198608,85.3,0.4
198708,83.5,-1.4
198808,82.2,-2.7
198908,83.9,-1.0
199008,82.3,-2.6
199108,82.9,-2.0
199208,84.2,-0.7
199308,83.6,-1.3
199408,88.2,3.3
199508,88,3.1
199608,84.4,-0.5
199708,85.3,0.4
199808,85.6,0.7
199908,84.4,-0.5
200008,88.1,3.2
200108,85.6,0.7
200208,88.6,3.7
200308,87.9,3.0
200408,83.5,-1.4
200508,84.2,-0.7
200608,81.8,-3.1
200708,87.9,3.0
200808,84.5,-0.4
200908,87.8,2.9
201008,86.6,1.7
201108,90.6,5.7
201208,88.6,3.7
201308,86.1,1.2
201408,83.8,-1.1
201508,88,3.1
