Missouri, Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,43.3,0.8
189612,48.5,6.0
189712,37.5,-5.0
189812,38.2,-4.3
189912,39.8,-2.7
190012,44.8,2.3
190112,37.3,-5.2
190212,37.7,-4.8
190312,40.2,-2.3
190412,42.1,-0.4
190512,41.7,-0.8
190612,43.7,1.2
190712,44.3,1.8
190812,47.7,5.2
190912,32.5,-10.0
191012,40.4,-2.1
191112,43.9,1.4
191212,46.1,3.6
191312,43.7,1.2
191412,32.3,-10.2
191512,42.1,-0.4
191612,41.2,-1.3
191712,33.8,-8.7
191812,48.4,5.9
191912,37.9,-4.6
192012,44.4,1.9
192112,46.1,3.6
192212,46.5,4.0
192312,50.1,7.6
192412,37.7,-4.8
192512,41,-1.5
192612,41.1,-1.4
192712,40.9,-1.6
192812,45.2,2.7
192912,44.6,2.1
193012,41.6,-0.9
193112,50.4,7.9
193212,40.4,-2.1
193312,48.9,6.4
193412,39.2,-3.3
193512,38.2,-4.3
193612,46.8,4.3
193712,38.1,-4.4
193812,44.7,2.2
193912,48.2,5.7
194012,46.4,3.9
194112,46.9,4.4
194212,39.3,-3.2
194312,39.5,-3.0
194412,35.6,-6.9
194512,35.3,-7.2
194612,49.4,6.9
194712,46.8,4.3
194812,45.5,3.0
194912,47.5,5.0
195012,40.1,-2.4
195112,41.3,-1.2
195212,42.7,0.2
195312,45.5,3.0
195412,44,1.5
195512,41.9,-0.6
195612,46.5,4.0
195712,49.2,6.7
195812,40.7,-1.8
195912,46.4,3.9
196012,40.1,-2.4
196112,38.3,-4.2
196212,42.1,-0.4
196312,33.4,-9.1
196412,41.4,-1.1
196512,50.9,8.4
196612,42.6,0.1
196712,42.9,0.4
196812,40.4,-2.1
196912,39.1,-3.4
197012,47.1,4.6
197112,46.8,4.3
197212,37,-5.5
197312,40.7,-1.8
197412,41.9,-0.6
197512,44,1.5
197612,42.4,-0.1
197712,40.4,-2.1
197812,43,0.5
197912,46.9,4.4
198012,44.6,2.1
198112,39.7,-2.8
198212,47.4,4.9
198312,26.5,-16.0
198412,49.5,7.0
198512,35.4,-7.1
198612,42.4,-0.1
198712,44,1.5
198812,47.2,4.7
198912,34.1,-8.4
199012,42.6,0.1
199112,46.1,3.6
199212,42.9,0.4
199312,44,1.5
199412,46.9,4.4
199512,41.2,-1.3
199612,43.9,1.4
199712,40.8,-1.7
199812,46.4,3.9
199912,46.8,4.3
200012,30.1,-12.4
200112,48.3,5.8
200212,45.9,3.4
200312,44.8,2.3
200412,44.9,2.4
200512,39.3,-3.2
200612,47.8,5.3
200712,41.8,-0.7
200812,41.9,-0.6
200912,38.8,-3.7
201012,38.1,-4.4
201112,46.5,4.0
201212,48.4,5.9
201312,40.3,-2.2
201412,43.2,0.7
201512,51.7,9.2
