South Dakota, Maximum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,69,-0.1
189605,71.9,2.8
189705,72.7,3.6
189805,65,-4.1
189905,65.9,-3.2
190005,76.6,7.5
190105,75,5.9
190205,71.4,2.3
190305,68.5,-0.6
190405,68.9,-0.2
190505,63.1,-6.0
190605,67.3,-1.8
190705,60.9,-8.2
190805,66.4,-2.7
190905,67,-2.1
191005,65.8,-3.3
191105,73.9,4.8
191205,69.5,0.4
191305,65.5,-3.6
191405,69.5,0.4
191505,62.5,-6.6
191605,66.9,-2.2
191705,64.5,-4.6
191805,70.9,1.8
191905,68.5,-0.6
192005,66.5,-2.6
192105,67.7,-1.4
192205,69.4,0.3
192305,68.9,-0.2
192405,64.3,-4.8
192505,70.9,1.8
192605,75.8,6.7
192705,62.8,-6.3
192805,75.2,6.1
192905,67,-2.1
193005,65.5,-3.6
193105,69.7,0.6
193205,71.9,2.8
193305,65.9,-3.2
193405,85.5,16.4
193505,60.2,-8.9
193605,76.6,7.5
193705,72.4,3.3
193805,65.9,-3.2
193905,78,8.9
194005,71.5,2.4
194105,75.7,6.6
194205,62.6,-6.5
194305,67,-2.1
194405,73.5,4.4
194505,65.3,-3.8
194605,65,-4.1
194705,66.8,-2.3
194805,69.6,0.5
194905,73.2,4.1
195005,64.1,-5.0
195105,69.4,0.3
195205,69.5,0.4
195305,65.3,-3.8
195405,65.8,-3.3
195505,75.4,6.3
195605,69.2,0.1
195705,64.7,-4.4
195805,75.8,6.7
195905,67.5,-1.6
196005,70.1,1.0
196105,66,-3.1
196205,69.2,0.1
196305,69.5,0.4
196405,72.4,3.3
196505,69.8,0.7
196605,70.9,1.8
196705,63.7,-5.4
196805,64.5,-4.6
196905,73.3,4.2
197005,71.4,2.3
197105,67.2,-1.9
197205,68.5,-0.6
197305,69.8,0.7
197405,67.2,-1.9
197505,69.6,0.5
197605,71.5,2.4
197705,76.3,7.2
197805,68.8,-0.3
197905,66.2,-2.9
198005,74.1,5.0
198105,68,-1.1
198205,66.9,-2.2
198305,65.6,-3.5
198405,67.9,-1.2
198505,76.4,7.3
198605,68.6,-0.5
198705,74.1,5.0
198805,74.2,5.1
198905,70.3,1.2
199005,66.4,-2.7
199105,68.7,-0.4
199205,74.5,5.4
199305,68.6,-0.5
199405,74,4.9
199505,62.8,-6.3
199605,61.9,-7.2
199705,65.5,-3.6
199805,72.2,3.1
199905,67.6,-1.5
200005,71.1,2.0
200105,70.1,1.0
200205,66.2,-2.9
200305,66.8,-2.3
200405,68.6,-0.5
200505,66.2,-2.9
200605,72.3,3.2
200705,72.8,3.7
200805,65.1,-4.0
200905,69.9,0.8
201005,65.4,-3.7
201105,63.8,-5.3
201205,71.8,2.7
201305,68.5,-0.6
201405,67.8,-1.3
201505,65.4,-3.7
