North Carolina, Maximum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,67.4,-2.9
189604,74,3.7
189704,70.1,-0.2
189804,65.4,-4.9
189904,67.3,-3.0
190004,69,-1.3
190104,62.6,-7.7
190204,67.5,-2.8
190304,67.4,-2.9
190404,66.5,-3.8
190504,69.3,-1.0
190604,73.3,3.0
190704,61.8,-8.5
190804,73.4,3.1
190904,70.6,0.3
191004,71.3,1.0
191104,65.9,-4.4
191204,71.3,1.0
191304,69.4,-0.9
191404,70,-0.3
191504,72.3,2.0
191604,69.2,-1.1
191704,72.6,2.3
191804,66.5,-3.8
191904,70.7,0.4
192004,68.1,-2.2
192104,72.1,1.8
192204,71.4,1.1
192304,68.9,-1.4
192404,68.9,-1.4
192504,73.6,3.3
192604,69.3,-1.0
192704,70.1,-0.2
192804,66.7,-3.6
192904,72.9,2.6
193004,71.9,1.6
193104,68.2,-2.1
193204,70.2,-0.1
193304,70.2,-0.1
193404,71.2,0.9
193504,67.3,-3.0
193604,67.7,-2.6
193704,68.9,-1.4
193804,71.7,1.4
193904,70.2,-0.1
194004,68.4,-1.9
194104,73.2,2.9
194204,74.7,4.4
194304,69.6,-0.7
194404,70.4,0.1
194504,73.9,3.6
194604,71.6,1.3
194704,72.5,2.2
194804,73.1,2.8
194904,68.4,-1.9
195004,69.3,-1.0
195104,69.1,-1.2
195204,70.5,0.2
195304,70.9,0.6
195404,74.6,4.3
195504,73.8,3.5
195604,68.5,-1.8
195704,74.1,3.8
195804,68.9,-1.4
195904,71.6,1.3
196004,74.2,3.9
196104,64.6,-5.7
196204,68.4,-1.9
196304,72.5,2.2
196404,69.8,-0.5
196504,70.1,-0.2
196604,67.6,-2.7
196704,74.1,3.8
196804,70.6,0.3
196904,71.1,0.8
197004,72.1,1.8
197104,70.9,0.6
197204,70.4,0.1
197304,68.1,-2.2
197404,72.1,1.8
197504,67.8,-2.5
197604,74.6,4.3
197704,74.6,4.3
197804,71.4,1.1
197904,70.9,0.6
198004,71.5,1.2
198104,75,4.7
198204,67.4,-2.9
198304,64.9,-5.4
198404,66.2,-4.1
198504,75.1,4.8
198604,74.2,3.9
198704,66.6,-3.7
198804,70,-0.3
198904,68.8,-1.5
199004,71,0.7
199104,71.9,1.6
199204,69.9,-0.4
199304,68.2,-2.1
199404,74.8,4.5
199504,72.8,2.5
199604,69.8,-0.5
199704,67,-3.3
199804,70.1,-0.2
199904,72.5,2.2
200004,68.5,-1.8
200104,72.7,2.4
200204,75,4.7
200304,69,-1.3
200404,71.4,1.1
200504,70,-0.3
200604,75.3,5.0
200704,70.3,0.0
200804,69.8,-0.5
200904,71.5,1.2
201004,75.6,5.3
201104,73.7,3.4
201204,71.4,1.1
201304,70.3,0.0
201404,72,1.7
201504,71.2,0.9
