Utah, Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,76.2,-2.6
189606,83.3,4.5
189706,78.4,-0.4
189806,80.3,1.5
189906,78.3,-0.5
190006,83.9,5.1
190106,76.9,-1.9
190206,82.2,3.4
190306,79,0.2
190406,76.8,-2.0
190506,79.1,0.3
190606,75.9,-2.9
190706,71.1,-7.7
190806,73.9,-4.9
190906,80.6,1.8
191006,81.9,3.1
191106,77.6,-1.2
191206,77.7,-1.1
191306,76.7,-2.1
191406,75.2,-3.6
191506,75.5,-3.3
191606,78.3,-0.5
191706,78.3,-0.5
191806,84.8,6.0
191906,82.7,3.9
192006,77.2,-1.6
192106,79.5,0.7
192206,82.2,3.4
192306,75.1,-3.7
192406,82.2,3.4
192506,74.8,-4.0
192606,82.5,3.7
192706,78.6,-0.2
192806,77,-1.8
192906,78.2,-0.6
193006,80.6,1.8
193106,82,3.2
193206,77.1,-1.7
193306,83.6,4.8
193406,78.1,-0.7
193506,81.5,2.7
193606,81.8,3.0
193706,77.7,-1.1
193806,79.7,0.9
193906,78.5,-0.3
194006,84.5,5.7
194106,75,-3.8
194206,78.7,-0.1
194306,75.3,-3.5
194406,73.6,-5.2
194506,73,-5.8
194606,81.6,2.8
194706,73.7,-5.1
194806,77.7,-1.1
194906,76,-2.8
195006,79,0.2
195106,76.1,-2.7
195206,78.2,-0.6
195306,80,1.2
195406,77.6,-1.2
195506,76.7,-2.1
195606,82.8,4.0
195706,78.3,-0.5
195806,81.7,2.9
195906,83.2,4.4
196006,82.8,4.0
196106,84.5,5.7
196206,78.6,-0.2
196306,75,-3.8
196406,75,-3.8
196506,73.7,-5.1
196606,79.4,0.6
196706,72.4,-6.4
196806,79.5,0.7
196906,74.2,-4.6
197006,77.8,-1.0
197106,79.3,0.5
197206,79.3,0.5
197306,78.4,-0.4
197406,84.8,6.0
197506,74.8,-4.0
197606,78.3,-0.5
197706,83.9,5.1
197806,80.2,1.4
197906,79.7,0.9
198006,79.7,0.9
198106,82.2,3.4
198206,77.1,-1.7
198306,75.8,-3.0
198406,76.1,-2.7
198506,82.2,3.4
198606,83.3,4.5
198706,82,3.2
198806,83.3,4.5
198906,78.7,-0.1
199006,82.4,3.6
199106,77.7,-1.1
199206,79,0.2
199306,75.5,-3.3
199406,85,6.2
199506,73.6,-5.2
199606,83.6,4.8
199706,79.1,0.3
199806,74.1,-4.7
199906,78.5,-0.3
200006,82.8,4.0
200106,83.2,4.4
200206,85.1,6.3
200306,81,2.2
200406,81,2.2
200506,75.9,-2.9
200606,84.7,5.9
200706,84.5,5.7
200806,80.7,1.9
200906,75.5,-3.3
201006,80.1,1.3
201106,78.6,-0.2
201206,85.4,6.6
201306,85.4,6.6
201406,81.4,2.6
201506,85,6.2
