Alabama, Maximum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,80.6,-2.4
189605,87.9,4.9
189705,82.2,-0.8
189805,88.1,5.1
189905,88.6,5.6
190005,84.4,1.4
190105,84,1.0
190205,88.3,5.3
190305,81,-2.0
190405,84.2,1.2
190505,85.4,2.4
190605,82.1,-0.9
190705,79.2,-3.8
190805,84,1.0
190905,81.4,-1.6
191005,81.9,-1.1
191105,86.6,3.6
191205,84.9,1.9
191305,84.6,1.6
191405,85.4,2.4
191505,86.1,3.1
191605,86.3,3.3
191705,79.7,-3.3
191805,85.3,2.3
191905,79.8,-3.2
192005,80.9,-2.1
192105,82.3,-0.7
192205,82.1,-0.9
192305,79.8,-3.2
192405,79.5,-3.5
192505,82.6,-0.4
192605,83.4,0.4
192705,84.9,1.9
192805,81.5,-1.5
192905,82.1,-0.9
193005,84.4,1.4
193105,80.7,-2.3
193205,81.3,-1.7
193305,87.7,4.7
193405,83,0.0
193505,83.8,0.8
193605,85.7,2.7
193705,84.4,1.4
193805,84,1.0
193905,81.5,-1.5
194005,81.7,-1.3
194105,86.8,3.8
194205,83.5,0.5
194305,85.7,2.7
194405,85.1,2.1
194505,81,-2.0
194605,80.8,-2.2
194705,81.5,-1.5
194805,84.5,1.5
194905,85,2.0
195005,85,2.0
195105,84.5,1.5
195205,84.3,1.3
195305,85.2,2.2
195405,78.3,-4.7
195505,86,3.0
195605,85.6,2.6
195705,83.1,0.1
195805,83.2,0.2
195905,85.1,2.1
196005,80.9,-2.1
196105,80.3,-2.7
196205,89.8,6.8
196305,84.1,1.1
196405,84,1.0
196505,86.8,3.8
196605,80.6,-2.4
196705,81.3,-1.7
196805,81.3,-1.7
196905,82.1,-0.9
197005,84.5,1.5
197105,79.5,-3.5
197205,80.6,-2.4
197305,80.3,-2.7
197405,83.4,0.4
197505,83.3,0.3
197605,76.6,-6.4
197705,85.2,2.2
197805,81.6,-1.4
197905,80.7,-2.3
198005,81.1,-1.9
198105,80,-3.0
198205,84.7,1.7
198305,80.5,-2.5
198405,81.3,-1.7
198505,82.4,-0.6
198605,83.3,0.3
198705,84.5,1.5
198805,82.9,-0.1
198905,80,-3.0
199005,81.1,-1.9
199105,82.2,-0.8
199205,81.1,-1.9
199305,80.3,-2.7
199405,80.6,-2.4
199505,83.7,0.7
199605,85.4,2.4
199705,79.3,-3.7
199805,86.3,3.3
199905,82.3,-0.7
200005,86.3,3.3
200105,83.4,0.4
200205,82.3,-0.7
200305,81.7,-1.3
200405,84.1,1.1
200505,81.2,-1.8
200605,82.4,-0.6
200705,85.3,2.3
200805,82.1,-0.9
200905,80.3,-2.7
201005,84.3,1.3
201105,83,0.0
201205,85.3,2.3
201305,79.6,-3.4
201405,82.2,-0.8
201505,83.8,0.8
