Nebraska, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,28.6,-5.0
189601,40.1,6.5
189701,30.8,-2.8
189801,36.1,2.5
189901,34.7,1.1
190001,41.4,7.8
190101,38.4,4.8
190201,36,2.4
190301,35.9,2.3
190401,34,0.4
190501,26.5,-7.1
190601,41.1,7.5
190701,27.4,-6.2
190801,41.4,7.8
190901,33,-0.6
191001,30,-3.6
191101,38,4.4
191201,22.7,-10.9
191301,35,1.4
191401,40.9,7.3
191501,29.1,-4.5
191601,24.7,-8.9
191701,33.7,0.1
191801,23.9,-9.7
191901,40.2,6.6
192001,36.3,2.7
192101,38.6,5.0
192201,31.5,-2.1
192301,41.3,7.7
192401,28.7,-4.9
192501,30,-3.6
192601,34.3,0.7
192701,35.8,2.2
192801,39.9,6.3
192901,25.7,-7.9
193001,20.6,-13.0
193101,43.4,9.8
193201,28.1,-5.5
193301,44.6,11.0
193401,42.3,8.7
193501,38.6,5.0
193601,27.1,-6.5
193701,19.9,-13.7
193801,37.6,4.0
193901,40.6,7.0
194001,20.2,-13.4
194101,34.3,0.7
194201,34.2,0.6
194301,34.7,1.1
194401,40.1,6.5
194501,35.8,2.2
194601,40.7,7.1
194701,39.4,5.8
194801,33.6,0.0
194901,20.7,-12.9
195001,30.5,-3.1
195101,34.4,0.8
195201,35.6,2.0
195301,39.4,5.8
195401,34.2,0.6
195501,32.8,-0.8
195601,31.4,-2.2
195701,26.8,-6.8
195801,38.4,4.8
195901,33.5,-0.1
196001,29.3,-4.3
196101,38.6,5.0
196201,31.1,-2.5
196301,23.9,-9.7
196401,41.4,7.8
196501,38.6,5.0
196601,27.6,-6.0
196701,36.8,3.2
196801,34.2,0.6
196901,26.2,-7.4
197001,30.3,-3.3
197101,31.5,-2.1
197201,32.1,-1.5
197301,33,-0.6
197401,29,-4.6
197501,35.2,1.6
197601,33.6,0.0
197701,28.2,-5.4
197801,22.4,-11.2
197901,17.6,-16.0
198001,32.4,-1.2
198101,43,9.4
198201,26.7,-6.9
198301,36,2.4
198401,32,-1.6
198501,30.1,-3.5
198601,43.8,10.2
198701,41,7.4
198801,28.9,-4.7
198901,44.6,11.0
199001,44.5,10.9
199101,31.2,-2.4
199201,42.6,9.0
199301,27.8,-5.8
199401,32.3,-1.3
199501,35.7,2.1
199601,30.9,-2.7
199701,32.8,-0.8
199801,37.4,3.8
199901,37.7,4.1
200001,40.7,7.1
200101,38.4,4.8
200201,42.2,8.6
200301,39.3,5.7
200401,35.7,2.1
200501,32.8,-0.8
200601,50.1,16.5
200701,31.8,-1.8
200801,32.3,-1.3
200901,38,4.4
201001,31.5,-2.1
201101,31.1,-2.5
201201,44.2,10.6
201301,37.1,3.5
201401,38.7,5.1
201501,39.5,5.9
201601,35.4,1.8
