Indiana, Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,28.4,-10.2
189602,39,0.4
189702,38.7,0.1
189802,39.1,0.5
189902,29.1,-9.5
190002,34.2,-4.4
190102,30.7,-7.9
190202,30,-8.6
190302,36.9,-1.7
190402,32.5,-6.1
190502,29,-9.6
190602,38,-0.6
190702,36.9,-1.7
190802,34.9,-3.7
190902,43.5,4.9
191002,35.1,-3.5
191102,42.1,3.5
191202,29.9,-8.7
191302,34.8,-3.8
191402,30.8,-7.8
191502,43.5,4.9
191602,35.8,-2.8
191702,35.9,-2.7
191802,41.3,2.7
191902,40.3,1.7
192002,35.5,-3.1
192102,41.9,3.3
192202,40.8,2.2
192302,33.4,-5.2
192402,35.7,-2.9
192502,46,7.4
192602,40.5,1.9
192702,46.4,7.8
192802,38.4,-0.2
192902,33.1,-5.5
193002,47.9,9.3
193102,45,6.4
193202,46.7,8.1
193302,39.7,1.1
193402,32.9,-5.7
193502,40.1,1.5
193602,31,-7.6
193702,38.3,-0.3
193802,45.6,7.0
193902,40.3,1.7
194002,36.2,-2.4
194102,34.5,-4.1
194202,33.6,-5.0
194302,43.6,5.0
194402,42.6,4.0
194502,39.5,0.9
194602,43,4.4
194702,31.4,-7.2
194802,39.8,1.2
194902,43,4.4
195002,38.7,0.1
195102,38.5,-0.1
195202,42.8,4.2
195302,44.9,6.3
195402,48.3,9.7
195502,39.7,1.1
195602,40.2,1.6
195702,43.3,4.7
195802,31.6,-7.0
195902,39.7,1.1
196002,34.8,-3.8
196102,43.5,4.9
196202,38.3,-0.3
196302,32.4,-6.2
196402,37.9,-0.7
196502,38,-0.6
196602,37.8,-0.8
196702,35.3,-3.3
196802,34.8,-3.8
196902,37.7,-0.9
197002,36.9,-1.7
197102,36.7,-1.9
197202,36.8,-1.8
197302,38.8,0.2
197402,39.7,1.1
197502,37.8,-0.8
197602,48.3,9.7
197702,36.7,-1.9
197802,26.2,-12.4
197902,27.5,-11.1
198002,31.8,-6.8
198102,40.8,2.2
198202,33.9,-4.7
198302,43.1,4.5
198402,45.1,6.5
198502,33.9,-4.7
198602,37.8,-0.8
198702,42.7,4.1
198802,35.7,-2.9
198902,33.7,-4.9
199002,45.6,7.0
199102,42.6,4.0
199202,45.4,6.8
199302,35.4,-3.2
199402,37.1,-1.5
199502,38.8,0.2
199602,39.3,0.7
199702,42.5,3.9
199802,47.2,8.6
199902,45.2,6.6
200002,45.8,7.2
200102,41.9,3.3
200202,44.7,6.1
200302,33.5,-5.1
200402,38.8,0.2
200502,42.8,4.2
200602,41,2.4
200702,28.7,-9.9
200802,36,-2.6
200902,41.9,3.3
201002,33,-5.6
201102,39.5,0.9
201202,43.9,5.3
201302,38.1,-0.5
201402,31.2,-7.4
201502,29.1,-9.5
201602,42.6,4.0
