Oregon, Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,36.9,-2.0
189612,41,2.1
189712,38,-0.9
189812,33.7,-5.2
189912,37.4,-1.5
190012,41.8,2.9
190112,39.6,0.7
190212,38.1,-0.8
190312,38.6,-0.3
190412,39.2,0.3
190512,37,-1.9
190612,41.4,2.5
190712,40.6,1.7
190812,35.3,-3.6
190912,32.8,-6.1
191012,38.8,-0.1
191112,37.7,-1.2
191212,38.3,-0.6
191312,36.8,-2.1
191412,32.3,-6.6
191512,38.8,-0.1
191612,34.3,-4.6
191712,45.8,6.9
191812,37.1,-1.8
191912,31.8,-7.1
192012,37.9,-1.0
192112,36.6,-2.3
192212,35.1,-3.8
192312,37.9,-1.0
192412,31.2,-7.7
192512,41.3,2.4
192612,37.4,-1.5
192712,35.7,-3.2
192812,37.2,-1.7
192912,43.9,5.0
193012,36.1,-2.8
193112,35.2,-3.7
193212,33.7,-5.2
193312,44.6,5.7
193412,39.2,0.3
193512,37.8,-1.1
193612,40.4,1.5
193712,42.4,3.5
193812,41.2,2.3
193912,44.6,5.7
194012,41.6,2.7
194112,40,1.1
194212,40.1,1.2
194312,39.2,0.3
194412,37.1,-1.8
194512,37.8,-1.1
194612,41.6,2.7
194712,39.9,1.0
194812,33,-5.9
194912,38.7,-0.2
195012,44,5.1
195112,35.2,-3.7
195212,38.4,-0.5
195312,41.6,2.7
195412,39,0.1
195512,39.3,0.4
195612,41.3,2.4
195712,42.6,3.7
195812,45.8,6.9
195912,40.6,1.7
196012,39.9,1.0
196112,38.4,-0.5
196212,43,4.1
196312,40.2,1.3
196412,38.2,-0.7
196512,38.8,-0.1
196612,40.7,1.8
196712,37.6,-1.3
196812,37.5,-1.4
196912,41.3,2.4
197012,36.9,-2.0
197112,36.3,-2.6
197212,33.7,-5.2
197312,42.1,3.2
197412,40.5,1.6
197512,42.2,3.3
197612,43.2,4.3
197712,41.7,2.8
197812,35.3,-3.6
197912,43.3,4.4
198012,43.8,4.9
198112,41.6,2.7
198212,38.2,-0.7
198312,33.5,-5.4
198412,35.2,-3.7
198512,34.8,-4.1
198612,39.7,0.8
198712,37.6,-1.3
198812,39,0.1
198912,44.1,5.2
199012,33.2,-5.7
199112,41.5,2.6
199212,35.6,-3.3
199312,40.4,1.5
199412,38.5,-0.4
199512,40.5,1.6
199612,40.3,1.4
199712,40,1.1
199812,37.5,-1.4
199912,41.8,2.9
200012,40.9,2.0
200112,37.8,-1.1
200212,41.9,3.0
200312,40,1.1
200412,42.6,3.7
200512,38.9,0.0
200612,41,2.1
200712,37.2,-1.7
200812,38.1,-0.8
200912,36.6,-2.3
201012,39.6,0.7
201112,42.6,3.7
201212,38,-0.9
201312,39.1,0.2
201412,42.2,3.3
201512,38.7,-0.2
