New Mexico, Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,44.1,-7.9
189602,51,-1.0
189702,49.1,-2.9
189802,56,4.0
189902,46.7,-5.3
190002,52.5,0.5
190102,50.5,-1.5
190202,54.1,2.1
190302,43.6,-8.4
190402,58.6,6.6
190502,43.2,-8.8
190602,51,-1.0
190702,58.2,6.2
190802,50.5,-1.5
190902,51.7,-0.3
191002,50.5,-1.5
191102,47.6,-4.4
191202,50.7,-1.3
191302,46.9,-5.1
191402,51.6,-0.4
191502,48.9,-3.1
191602,56.4,4.4
191702,51.1,-0.9
191802,54.9,2.9
191902,46.4,-5.6
192002,52.8,0.8
192102,53.8,1.8
192202,51.9,-0.1
192302,49,-3.0
192402,53.4,1.4
192502,56.2,4.2
192602,55.9,3.9
192702,54.8,2.8
192802,49.4,-2.6
192902,45.4,-6.6
193002,58.1,6.1
193102,49.9,-2.1
193202,54.2,2.2
193302,46.7,-5.3
193402,56.6,4.6
193502,51.6,-0.4
193602,51.2,-0.8
193702,50.6,-1.4
193802,52.3,0.3
193902,43.9,-8.1
194002,49.9,-2.1
194102,52.1,0.1
194202,48.3,-3.7
194302,57.1,5.1
194402,50.5,-1.5
194502,54.9,2.9
194602,54,2.0
194702,54,2.0
194802,47.9,-4.1
194902,48.9,-3.1
195002,57.4,5.4
195102,52.8,0.8
195202,51,-1.0
195302,50.9,-1.1
195402,60.4,8.4
195502,48.6,-3.4
195602,47.2,-4.8
195702,58.7,6.7
195802,53.3,1.3
195902,50.9,-1.1
196002,45.7,-6.3
196102,52.8,0.8
196202,55.9,3.9
196302,53.4,1.4
196402,44,-8.0
196502,49.8,-2.2
196602,46,-6.0
196702,54.5,2.5
196802,52.7,0.7
196902,51.1,-0.9
197002,54.9,2.9
197102,52.2,0.2
197202,56.8,4.8
197302,47.3,-4.7
197402,52.7,0.7
197502,49.3,-2.7
197602,58.1,6.1
197702,53.4,1.4
197802,48.3,-3.7
197902,50.2,-1.8
198002,53.4,1.4
198102,56.8,4.8
198202,50.6,-1.4
198302,50.5,-1.5
198402,53.8,1.8
198502,49.2,-2.8
198602,54.3,2.3
198702,49.7,-2.3
198802,54.2,2.2
198902,51.5,-0.5
199002,51.6,-0.4
199102,55.8,3.8
199202,52.2,0.2
199302,50.6,-1.4
199402,52.5,0.5
199502,59,7.0
199602,57.6,5.6
199702,49.7,-2.3
199802,49.8,-2.2
199902,59.8,7.8
200002,59.8,7.8
200102,53.4,1.4
200202,52.8,0.8
200302,51.5,-0.5
200402,48.5,-3.5
200502,50.3,-1.7
200602,57.1,5.1
200702,53.6,1.6
200802,54.8,2.8
200902,58.4,6.4
201002,47,-5.0
201102,51.1,-0.9
201202,52.1,0.1
201302,51,-1.0
201402,56.9,4.9
201502,56.3,4.3
