South Dakota, Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,23,-7.9
189602,36.9,6.0
189702,25.7,-5.2
189802,36.1,5.2
189902,16.6,-14.3
190002,26.4,-4.5
190102,26.8,-4.1
190202,26.8,-4.1
190302,22.6,-8.3
190402,22.5,-8.4
190502,24.2,-6.7
190602,33.1,2.2
190702,32.9,2.0
190802,30.9,0.0
190902,29.2,-1.7
191002,21.4,-9.5
191102,31.3,0.4
191202,28.4,-2.5
191302,26.6,-4.3
191402,21.5,-9.4
191502,29.7,-1.2
191602,27.4,-3.5
191702,21,-9.9
191802,30.7,-0.2
191902,24.2,-6.7
192002,31.6,0.7
192102,40.5,9.6
192202,19.2,-11.7
192302,27.1,-3.8
192402,35.1,4.2
192502,34.9,4.0
192602,37.3,6.4
192702,35.2,4.3
192802,35.7,4.8
192902,20.1,-10.8
193002,42.5,11.6
193102,43.9,13.0
193202,31.1,0.2
193302,28.6,-2.3
193402,38.9,8.0
193502,40.4,9.5
193602,5.1,-25.8
193702,25.9,-5.0
193802,28.7,-2.2
193902,21.7,-9.2
194002,28.3,-2.6
194102,30.6,-0.3
194202,29.9,-1.0
194302,37.7,6.8
194402,28.7,-2.2
194502,32.3,1.4
194602,36.9,6.0
194702,26.9,-4.0
194802,26.7,-4.2
194902,24.3,-6.6
195002,30.1,-0.8
195102,37.2,6.3
195202,32.1,1.2
195302,31.6,0.7
195402,48.8,17.9
195502,25,-5.9
195602,26.7,-4.2
195702,34.2,3.3
195802,28.3,-2.6
195902,25.6,-5.3
196002,23.6,-7.3
196102,36.8,5.9
196202,27.3,-3.6
196302,35.8,4.9
196402,36.8,5.9
196502,30.9,0.0
196602,25.2,-5.7
196702,31,0.1
196802,30.8,-0.1
196902,27.9,-3.0
197002,36.3,5.4
197102,27.9,-3.0
197202,27,-3.9
197302,35.1,4.2
197402,37.2,6.3
197502,24.8,-6.1
197602,41.9,11.0
197702,38.9,8.0
197802,18.2,-12.7
197902,19.7,-11.2
198002,30.8,-0.1
198102,37.6,6.7
198202,30.1,-0.8
198302,40.7,9.8
198402,40.6,9.7
198502,29.4,-1.5
198602,25.7,-5.2
198702,41.9,11.0
198802,30.9,0.0
198902,21,-9.9
199002,36.7,5.8
199102,43.1,12.2
199202,41.3,10.4
199302,23.1,-7.8
199402,22.5,-8.4
199502,37.2,6.3
199602,34.2,3.3
199702,32.1,1.2
199802,40.8,9.9
199902,43.5,12.6
200002,42,11.1
200102,22.4,-8.5
200202,42.3,11.4
200302,29.9,-1.0
200402,33.2,2.3
200502,41.5,10.6
200602,34.3,3.4
200702,24.5,-6.4
200802,30.9,0.0
200902,33.9,3.0
201002,24,-6.9
201102,26.6,-4.3
201202,37.6,6.7
201302,33.8,2.9
201402,25.3,-5.6
201502,32,1.1
