Indiana, Maximum Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189507,84.9,-1.2
189607,85.1,-1.0
189707,87.4,1.3
189807,87.8,1.7
189907,86.9,0.8
190007,85.7,-0.4
190107,93.7,7.6
190207,86.7,0.6
190307,86.6,0.5
190407,84,-2.1
190507,83.8,-2.3
190607,85.3,-0.8
190707,84.7,-1.4
190807,86.8,0.7
190907,82.2,-3.9
191007,85.3,-0.8
191107,87.5,1.4
191207,84.2,-1.9
191307,89.4,3.3
191407,90.7,4.6
191507,82.5,-3.6
191607,91.3,5.2
191707,84.2,-1.9
191807,84.2,-1.9
191907,90.8,4.7
192007,84.5,-1.6
192107,92.5,6.4
192207,85.2,-0.9
192307,86.8,0.7
192407,83,-3.1
192507,85.6,-0.5
192607,87.7,1.6
192707,85.5,-0.6
192807,85.4,-0.7
192907,86.2,0.1
193007,91.1,5.0
193107,90.5,4.4
193207,88.2,2.1
193307,89.2,3.1
193407,92.9,6.8
193507,88.3,2.2
193607,94.9,8.8
193707,86.3,0.2
193807,86.1,0.0
193907,85.5,-0.6
194007,88,1.9
194107,88,1.9
194207,86.7,0.6
194307,87.2,1.1
194407,89.6,3.5
194507,84.2,-1.9
194607,86.9,0.8
194707,81.8,-4.3
194807,86,-0.1
194907,88.4,2.3
195007,82.8,-3.3
195107,84.7,-1.4
195207,89.4,3.3
195307,87.7,1.6
195407,90.1,4.0
195507,89.9,3.8
195607,83.9,-2.2
195707,85.9,-0.2
195807,82.5,-3.6
195907,86,-0.1
196007,83.5,-2.6
196107,84.2,-1.9
196207,83.2,-2.9
196307,84.6,-1.5
196407,85.6,-0.5
196507,83.6,-2.5
196607,89.5,3.4
196707,82.7,-3.4
196807,85.1,-1.0
196907,85.2,-0.9
197007,84.5,-1.6
197107,82.5,-3.6
197207,83.6,-2.5
197307,85.3,-0.8
197407,86.9,0.8
197507,85.1,-1.0
197607,84.5,-1.6
197707,88.1,2.0
197807,84.4,-1.7
197907,82.2,-3.9
198007,88.4,2.3
198107,84.1,-2.0
198207,85,-1.1
198307,89.8,3.7
198407,83,-3.1
198507,84.9,-1.2
198607,86.6,0.5
198707,85.5,-0.6
198807,89,2.9
198907,84.4,-1.7
199007,83.1,-3.0
199107,87.2,1.1
199207,81.8,-4.3
199307,85.6,-0.5
199407,83.9,-2.2
199507,85.9,-0.2
199607,82.6,-3.5
199707,84.9,-1.2
199807,83.6,-2.5
199907,88.7,2.6
200007,82.1,-4.0
200107,84.8,-1.3
200207,88.3,2.2
200307,83.6,-2.5
200407,81.8,-4.3
200507,85.8,-0.3
200607,85.4,-0.7
200707,83.5,-2.6
200807,84,-2.1
200907,79,-7.1
201007,86.9,0.8
201107,89.6,3.5
201207,92.8,6.7
201307,82,-4.1
201407,80.1,-6.0
201507,82.7,-3.4
