Indiana, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,30.3,-4.8
189601,35.1,0.0
189701,31.8,-3.3
189801,38.8,3.7
189901,35.2,0.1
190001,38.6,3.5
190101,37.1,2.0
190201,35.4,0.3
190301,34,-1.1
190401,29.1,-6.0
190501,30,-5.1
190601,42.5,7.4
190701,40.4,5.3
190801,37.6,2.5
190901,38.3,3.2
191001,33.9,-1.2
191101,39.2,4.1
191201,24,-11.1
191301,41.5,6.4
191401,39.9,4.8
191501,32.3,-2.8
191601,43,7.9
191701,37.4,2.3
191801,21.8,-13.3
191901,41.2,6.1
192001,29.5,-5.6
192101,40.1,5.0
192201,34.7,-0.4
192301,39.1,4.0
192401,31.6,-3.5
192501,34.8,-0.3
192601,35.4,0.3
192701,33.9,-1.2
192801,35.9,0.8
192901,33.2,-1.9
193001,32.1,-3.0
193101,39.4,4.3
193201,44.3,9.2
193301,45.1,10.0
193401,41,5.9
193501,37.6,2.5
193601,28.9,-6.2
193701,40.1,5.0
193801,36,0.9
193901,40.7,5.6
194001,22.7,-12.4
194101,35.8,0.7
194201,35.9,0.8
194301,36.7,1.6
194401,41.1,6.0
194501,29.5,-5.6
194601,38,2.9
194701,39.8,4.7
194801,29.4,-5.7
194901,40.9,5.8
195001,45.3,10.2
195101,37,1.9
195201,40.6,5.5
195301,39.1,4.0
195401,37.9,2.8
195501,34.8,-0.3
195601,35,-0.1
195701,30.6,-4.5
195801,34.3,-0.8
195901,33.3,-1.8
196001,37,1.9
196101,32.7,-2.4
196201,31.3,-3.8
196301,27.5,-7.6
196401,39.6,4.5
196501,37.2,2.1
196601,30.5,-4.6
196701,38.8,3.7
196801,31.8,-3.3
196901,32.1,-3.0
197001,27.8,-7.3
197101,31.5,-3.6
197201,35.6,0.5
197301,37.3,2.2
197401,36.9,1.8
197501,38.9,3.8
197601,32,-3.1
197701,19.4,-15.7
197801,25,-10.1
197901,25,-10.1
198001,34.8,-0.3
198101,31.7,-3.4
198201,28.5,-6.6
198301,35.8,0.7
198401,29.3,-5.8
198501,27.9,-7.2
198601,37.1,2.0
198701,33.7,-1.4
198801,32.8,-2.3
198901,43.2,8.1
199001,44.8,9.7
199101,32.9,-2.2
199201,37.5,2.4
199301,37.5,2.4
199401,28,-7.1
199501,35.3,0.2
199601,33.8,-1.3
199701,31.6,-3.5
199801,40.9,5.8
199901,36.2,1.1
200001,35.7,0.6
200101,34.6,-0.5
200201,42.8,7.7
200301,29.8,-5.3
200401,32.5,-2.6
200501,37.3,2.2
200601,46.8,11.7
200701,39.2,4.1
200801,36.7,1.6
200901,29.7,-5.4
201001,30.4,-4.7
201101,31,-4.1
201201,41.1,6.0
201301,38.6,3.5
201401,29.1,-6.0
201501,33.5,-1.6
201601,35.7,0.6
