Delaware, Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,82.5,1.2
189606,78.7,-2.6
189706,77.2,-4.1
189806,81.7,0.4
189906,83.6,2.3
190006,81.5,0.2
190106,82,0.7
190206,81.3,0.0
190306,74.1,-7.2
190406,79.6,-1.7
190506,80.2,-1.1
190606,80.5,-0.8
190706,73.9,-7.4
190806,81.5,0.2
190906,80.3,-1.0
191006,77.1,-4.2
191106,81.3,0.0
191206,79.6,-1.7
191306,81.5,0.2
191406,83.3,2.0
191506,78,-3.3
191606,76.3,-5.0
191706,80.6,-0.7
191806,78.8,-2.5
191906,80.5,-0.8
192006,80.7,-0.6
192106,83.9,2.6
192206,81.2,-0.1
192306,84.5,3.2
192406,77.8,-3.5
192506,88,6.7
192606,78.8,-2.5
192706,77.3,-4.0
192806,78.7,-2.6
192906,81.5,0.2
193006,83.5,2.2
193106,80.9,-0.4
193206,81.2,-0.1
193306,83.9,2.6
193406,84.9,3.6
193506,80.7,-0.6
193606,80.8,-0.5
193706,81.9,0.6
193806,80.1,-1.2
193906,83.6,2.3
194006,82,0.7
194106,80.2,-1.1
194206,81.8,0.5
194306,86.6,5.3
194406,83,1.7
194506,83,1.7
194606,80.3,-1.0
194706,79.8,-1.5
194806,81.1,-0.2
194906,83.3,2.0
195006,81.4,0.1
195106,80.7,-0.6
195206,84.7,3.4
195306,82,0.7
195406,83.1,1.8
195506,78.5,-2.8
195606,81.9,0.6
195706,84.5,3.2
195806,78.7,-2.6
195906,84,2.7
196006,82,0.7
196106,81.1,-0.2
196206,81.2,-0.1
196306,82,0.7
196406,83.6,2.3
196506,80.6,-0.7
196606,82.9,1.6
196706,82.2,0.9
196806,81.8,0.5
196906,83.4,2.1
197006,80.9,-0.4
197106,81.6,0.3
197206,76.6,-4.7
197306,82.5,1.2
197406,77.6,-3.7
197506,80.5,-0.8
197606,84,2.7
197706,79.5,-1.8
197806,81.9,0.6
197906,77.8,-3.5
198006,80.5,-0.8
198106,82.8,1.5
198206,78,-3.3
198306,82,0.7
198406,83.7,2.4
198506,79.7,-1.6
198606,84.6,3.3
198706,84.5,3.2
198806,83.7,2.4
198906,83,1.7
199006,82.2,0.9
199106,83.8,2.5
199206,78.5,-2.8
199306,82,0.7
199406,85.2,3.9
199506,80.7,-0.6
199606,82.2,0.9
199706,80.2,-1.1
199806,81,-0.3
199906,81.7,0.4
200006,83,1.7
200106,83.4,2.1
200206,83.9,2.6
200306,79.3,-2.0
200406,81.2,-0.1
200506,82.3,1.0
200606,81.4,0.1
200706,83.3,2.0
200806,86.4,5.1
200906,79.8,-1.5
201006,88.1,6.8
201106,85.2,3.9
201206,84.3,3.0
201306,83,1.7
201406,83.3,2.0
201506,82.4,1.1
