Rhode Island, Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,76.5,1.6
189606,72.9,-2.0
189706,70.9,-4.0
189806,73.9,-1.0
189906,78.4,3.5
190006,75.9,1.0
190106,76.1,1.2
190206,73.4,-1.5
190306,66.6,-8.3
190406,72,-2.9
190506,72.9,-2.0
190606,74.9,0.0
190706,71.6,-3.3
190806,77.6,2.7
190906,75.3,0.4
191006,72.4,-2.5
191106,73.8,-1.1
191206,75.8,0.9
191306,74.7,-0.2
191406,74.4,-0.5
191506,72.6,-2.3
191606,69.8,-5.1
191706,73.1,-1.8
191806,71.9,-3.0
191906,75.3,0.4
192006,72.3,-2.6
192106,76.3,1.4
192206,75.3,0.4
192306,77.1,2.2
192406,73,-1.9
192506,78.7,3.8
192606,70.5,-4.4
192706,71.9,-3.0
192806,70.7,-4.2
192906,76.4,1.5
193006,79.5,4.6
193106,74,-0.9
193206,74.1,-0.8
193306,76.1,1.2
193406,76.3,1.4
193506,73.5,-1.4
193606,73.7,-1.2
193706,74.4,-0.5
193806,73.4,-1.5
193906,74.5,-0.4
194006,73.5,-1.4
194106,75.7,0.8
194206,74.8,-0.1
194306,80.1,5.2
194406,75.3,0.4
194506,74.7,-0.2
194606,74.5,-0.4
194706,72.1,-2.8
194806,71.9,-3.0
194906,78.9,4.0
195006,75.4,0.5
195106,72.7,-2.2
195206,77.2,2.3
195306,78.6,3.7
195406,75.3,0.4
195506,73.8,-1.1
195606,76.4,1.5
195706,79.5,4.6
195806,70.7,-4.2
195906,72.9,-2.0
196006,76,1.1
196106,75.8,0.9
196206,75.1,0.2
196306,76.7,1.8
196406,75.7,0.8
196506,76,1.1
196606,76.4,1.5
196706,75.7,0.8
196806,72.6,-2.3
196906,76.1,1.2
197006,73.2,-1.7
197106,77.5,2.6
197206,71.3,-3.6
197306,77,2.1
197406,73.6,-1.3
197506,73.5,-1.4
197606,77.7,2.8
197706,73.7,-1.2
197806,76.2,1.3
197906,74.5,-0.4
198006,73.8,-1.1
198106,77,2.1
198206,70.7,-4.2
198306,78.5,3.6
198406,77.3,2.4
198506,71.9,-3.0
198606,74.8,-0.1
198706,76.5,1.6
198806,76,1.1
198906,76.1,1.2
199006,76,1.1
199106,78.6,3.7
199206,75.3,0.4
199306,76.9,2.0
199406,77.8,2.9
199506,76.5,1.6
199606,76,1.1
199706,77.1,2.2
199806,73,-1.9
199906,79.6,4.7
200006,76,1.1
200106,78.7,3.8
200206,75,0.1
200306,72.9,-2.0
200406,75.2,0.3
200506,78.3,3.4
200606,75,0.1
200706,76.6,1.7
200806,78.9,4.0
200906,71.2,-3.7
201006,78.6,3.7
201106,76,1.1
201206,75.3,0.4
201306,77.5,2.6
201406,77.1,2.2
201506,74,-0.9
