South Dakota, Maximum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,66.2,8.7
189604,56.4,-1.1
189704,55.4,-2.1
189804,58.2,0.7
189904,55.8,-1.7
190004,62.7,5.2
190104,59.8,2.3
190204,56.3,-1.2
190304,58.5,1.0
190404,55.4,-2.1
190504,56,-1.5
190604,62.3,4.8
190704,50.7,-6.8
190804,63,5.5
190904,51.3,-6.2
191004,66.2,8.7
191104,57,-0.5
191204,61.1,3.6
191304,61.5,4.0
191404,57,-0.5
191504,64.9,7.4
191604,54.9,-2.6
191704,50.6,-6.9
191804,53.5,-4.0
191904,55,-2.5
192004,45.9,-11.6
192104,60.7,3.2
192204,56.4,-1.1
192304,57.5,0.0
192404,57.8,0.3
192504,64.8,7.3
192604,61.4,3.9
192704,54.4,-3.1
192804,53.7,-3.8
192904,57.5,0.0
193004,63,5.5
193104,61.7,4.2
193204,60,2.5
193304,57.2,-0.3
193404,61.7,4.2
193504,50.1,-7.4
193604,53.9,-3.6
193704,53.9,-3.6
193804,59.2,1.7
193904,59.1,1.6
194004,53,-4.5
194104,57.8,0.3
194204,63.2,5.7
194304,64,6.5
194404,52.4,-5.1
194504,55,-2.5
194604,66.9,9.4
194704,53.6,-3.9
194804,63.3,5.8
194904,63.6,6.1
195004,47.7,-9.8
195104,53,-4.5
195204,61.7,4.2
195304,49.5,-8.0
195404,59.7,2.2
195504,66.8,9.3
195604,52.2,-5.3
195704,53.1,-4.4
195804,56.2,-1.3
195904,58,0.5
196004,57.5,0.0
196104,53.9,-3.6
196204,60.2,2.7
196304,57.7,0.2
196404,58.4,0.9
196504,56.5,-1.0
196604,51.3,-6.2
196704,57.2,-0.3
196804,57.6,0.1
196904,61.9,4.4
197004,52.3,-5.2
197104,59.8,2.3
197204,54.4,-3.1
197304,55.7,-1.8
197404,59.4,1.9
197504,48.2,-9.3
197604,61.5,4.0
197704,64,6.5
197804,53.4,-4.1
197904,53.6,-3.9
198004,63.7,6.2
198104,66.5,9.0
198204,54.9,-2.6
198304,51.1,-6.4
198404,54.4,-3.1
198504,64.9,7.4
198604,55.7,-1.8
198704,66.5,9.0
198804,62.2,4.7
198904,58.8,1.3
199004,59.4,1.9
199104,59.3,1.8
199204,57,-0.5
199304,54.3,-3.2
199404,58.9,1.4
199504,49,-8.5
199604,55.4,-2.1
199704,50.7,-6.8
199804,59.7,2.2
199904,55.7,-1.8
200004,58.3,0.8
200104,58,0.5
200204,57.9,0.4
200304,60.5,3.0
200404,62.9,5.4
200504,61.3,3.8
200604,63.6,6.1
200704,54.7,-2.8
200804,55.7,-1.8
200904,53.6,-3.9
201004,61.8,4.3
201104,53.4,-4.1
201204,63.5,6.0
201304,48.3,-9.2
201404,56.9,-0.6
201504,62.1,4.6
