Colorado, Maximum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,75.7,3.5
189609,70.1,-2.1
189709,75.2,3.0
189809,72.3,0.1
189909,74.9,2.7
190009,70.2,-2.0
190109,72.7,0.5
190209,72.3,0.1
190309,70,-2.2
190409,72.2,0.0
190509,73.4,1.2
190609,69.9,-2.3
190709,72.4,0.2
190809,74.4,2.2
190909,69.8,-2.4
191009,74.3,2.1
191109,73.7,1.5
191209,64.8,-7.4
191309,67.8,-4.4
191409,74.3,2.1
191509,70,-2.2
191609,70.8,-1.4
191709,72.1,-0.1
191809,68.2,-4.0
191909,73.6,1.4
192009,71,-1.2
192109,74.4,2.2
192209,75.5,3.3
192309,68.5,-3.7
192409,71.3,-0.9
192509,71.2,-1.0
192609,72.2,0.0
192709,69.3,-2.9
192809,73.4,1.2
192909,67.6,-4.6
193009,71.7,-0.5
193109,75.5,3.3
193209,72.8,0.6
193309,76,3.8
193409,71.7,-0.5
193509,72.9,0.7
193609,72.2,0.0
193709,74.3,2.1
193809,72.4,0.2
193909,74.5,2.3
194009,72.2,0.0
194109,69.5,-2.7
194209,71.8,-0.4
194309,74.4,2.2
194409,74.9,2.7
194509,71.8,-0.4
194609,73.6,1.4
194709,76,3.8
194809,77,4.8
194909,73.5,1.3
195009,68.6,-3.6
195109,72.9,0.7
195209,75,2.8
195309,76.5,4.3
195409,74.7,2.5
195509,74.5,2.3
195609,77.8,5.6
195709,71.5,-0.7
195809,73.6,1.4
195909,70.2,-2.0
196009,74.4,2.2
196109,65.6,-6.6
196209,72.3,0.1
196309,75,2.8
196409,71.4,-0.8
196509,64,-8.2
196609,72.6,0.4
196709,71,-1.2
196809,71.4,-0.8
196909,72.5,0.3
197009,69.7,-2.5
197109,68.7,-3.5
197209,70.4,-1.8
197309,68.4,-3.8
197409,70.7,-1.5
197509,70.7,-1.5
197609,70.3,-1.9
197709,74.7,2.5
197809,74.1,1.9
197909,76.3,4.1
198009,74,1.8
198109,73.9,1.7
198209,69.5,-2.7
198309,75.7,3.5
198409,71.1,-1.1
198509,67.6,-4.6
198609,68,-4.2
198709,72,-0.2
198809,71.1,-1.1
198909,72.1,-0.1
199009,75.3,3.1
199109,72,-0.2
199209,74,1.8
199309,70.2,-2.0
199409,74.2,2.0
199509,71.5,-0.7
199609,69.1,-3.1
199709,73,0.8
199809,77.6,5.4
199909,69.5,-2.7
200009,74.9,2.7
200109,76.2,4.0
200209,72,-0.2
200309,72.1,-0.1
200409,72.1,-0.1
200509,75.3,3.1
200609,67.5,-4.7
200709,74.4,2.2
200809,72.2,0.0
200909,71.9,-0.3
201009,78,5.8
201109,73,0.8
201209,74.8,2.6
201309,73.7,1.5
201409,74.3,2.1
201509,77.9,5.7
