Oklahoma, Maximum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,89.8,4.2
189609,86.5,0.9
189709,90,4.4
189809,87.3,1.7
189909,87,1.4
190009,86.1,0.5
190109,86.4,0.8
190209,80.9,-4.7
190309,84.6,-1.0
190409,86.8,1.2
190509,87.8,2.2
190609,84.7,-0.9
190709,88.7,3.1
190809,85.2,-0.4
190909,89.2,3.6
191009,91.1,5.5
191109,91.5,5.9
191209,84.4,-1.2
191309,81.3,-4.3
191409,87.2,1.6
191509,84.3,-1.3
191609,85.7,0.1
191709,85.4,-0.2
191809,81.3,-4.3
191909,86.4,0.8
192009,85.2,-0.4
192109,90.3,4.7
192209,90.6,5.0
192309,84.7,-0.9
192409,84.1,-1.5
192509,87.5,1.9
192609,84.1,-1.5
192709,85.1,-0.5
192809,86.2,0.6
192909,84.2,-1.4
193009,90.1,4.5
193109,93.3,7.7
193209,85.4,-0.2
193309,89.4,3.8
193409,83,-2.6
193509,82.4,-3.2
193609,86.2,0.6
193709,85.9,0.3
193809,89.4,3.8
193909,95.2,9.6
194009,84.9,-0.7
194109,85.5,-0.1
194209,82.8,-2.8
194309,86,0.4
194409,85.5,-0.1
194509,86,0.4
194609,83.8,-1.8
194709,91.4,5.8
194809,88.7,3.1
194909,81.8,-3.8
195009,80.4,-5.2
195109,85.2,-0.4
195209,89.7,4.1
195309,91.3,5.7
195409,93.8,8.2
195509,87.8,2.2
195609,93,7.4
195709,82.9,-2.7
195809,84.5,-1.1
195909,85.7,0.1
196009,87.4,1.8
196109,81.7,-3.9
196209,82.3,-3.3
196309,87.5,1.9
196409,83.2,-2.4
196509,85.1,-0.5
196609,81,-4.6
196709,80.3,-5.3
196809,84,-1.6
196909,84.5,-1.1
197009,85.3,-0.3
197109,83.7,-1.9
197209,86.2,0.6
197309,81,-4.6
197409,75.5,-10.1
197509,81.4,-4.2
197609,83.3,-2.3
197709,87.7,2.1
197809,88.8,3.2
197909,86,0.4
198009,88.5,2.9
198109,85.8,0.2
198209,86.6,1.0
198309,88.3,2.7
198409,84,-1.6
198509,85.1,-0.5
198609,83.5,-2.1
198709,83.2,-2.4
198809,85,-0.6
198909,80,-5.6
199009,88.1,2.5
199109,80.5,-5.1
199209,83.3,-2.3
199309,82.4,-3.2
199409,83.4,-2.2
199509,81.1,-4.5
199609,80.1,-5.5
199709,86,0.4
199809,92.4,6.8
199909,82.5,-3.1
200009,91.1,5.5
200109,83,-2.6
200209,87,1.4
200309,80.4,-5.2
200409,86.9,1.3
200509,89.5,3.9
200609,82.7,-2.9
200709,85.3,-0.3
200809,81.7,-3.9
200909,80.6,-5.0
201009,87.1,1.5
201109,85.9,0.3
201209,87.7,2.1
201309,89.1,3.5
201409,84.8,-0.8
201509,88.9,3.3
