South Dakota, Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,32.6,2.5
189612,33.7,3.6
189712,26.8,-3.3
189812,29.1,-1.0
189912,29.3,-0.8
190012,35.8,5.7
190112,28.4,-1.7
190212,24,-6.1
190312,29.5,-0.6
190412,31.6,1.5
190512,33.4,3.3
190612,31.3,1.2
190712,37,6.9
190812,28.9,-1.2
190912,15.9,-14.2
191012,30.5,0.4
191112,28.3,-1.8
191212,37,6.9
191312,36.6,6.5
191412,22.4,-7.7
191512,32.5,2.4
191612,21.7,-8.4
191712,22.2,-7.9
191812,33.4,3.3
191912,23.7,-6.4
192012,30.9,0.8
192112,31.7,1.6
192212,25.6,-4.5
192312,38.5,8.4
192412,19.7,-10.4
192512,30.9,0.8
192612,28.3,-1.8
192712,14.6,-15.5
192812,36.9,6.8
192912,28.4,-1.7
193012,33.9,3.8
193112,32,1.9
193212,26.4,-3.7
193312,31.6,1.5
193412,29.4,-0.7
193512,29.7,-0.4
193612,29.9,-0.2
193712,28.7,-1.4
193812,34.6,4.5
193912,41.7,11.6
194012,34.6,4.5
194112,37.3,7.2
194212,29.4,-0.7
194312,37.6,7.5
194412,30.6,0.5
194512,23.8,-6.3
194612,33.2,3.1
194712,31,0.9
194812,29.4,-0.7
194912,29.2,-0.9
195012,30.4,0.3
195112,21.2,-8.9
195212,33.1,3.0
195312,34.1,4.0
195412,34.8,4.7
195512,21.8,-8.3
195612,36.2,6.1
195712,40.9,10.8
195812,30.6,0.5
195912,37.4,7.3
196012,29,-1.1
196112,27.4,-2.7
196212,35.1,5.0
196312,25.5,-4.6
196412,23.2,-6.9
196512,37.4,7.3
196612,31.6,1.5
196712,29.8,-0.3
196812,22.6,-7.5
196912,31.4,1.3
197012,27,-3.1
197112,26.9,-3.2
197212,23,-7.1
197312,28.1,-2.0
197412,35,4.9
197512,32.5,2.4
197612,31.8,1.7
197712,24.4,-5.7
197812,23.7,-6.4
197912,41.4,11.3
198012,33.7,3.6
198112,27.9,-2.2
198212,34.9,4.8
198312,10.9,-19.2
198412,27.1,-3.0
198512,23.4,-6.7
198612,38.5,8.4
198712,35.7,5.6
198812,35.4,5.3
198912,23.4,-6.7
199012,27.3,-2.8
199112,38.3,8.2
199212,27.1,-3.0
199312,32.7,2.6
199412,32.7,2.6
199512,31.4,1.3
199612,20.3,-9.8
199712,37.2,7.1
199812,37.7,7.6
199912,40.9,10.8
200012,20.3,-9.8
200112,34.5,4.4
200212,38.3,8.2
200312,35.6,5.5
200412,38.1,8.0
200512,28.5,-1.6
200612,38.8,8.7
200712,29.7,-0.4
200812,24.8,-5.3
200912,21.8,-8.3
201012,26.7,-3.4
201112,37.7,7.6
201212,31.3,1.2
201312,24.2,-5.9
201412,33.7,3.6
201512,32.5,2.4
