Colorado, Maximum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,80,0.3
189608,81.2,1.5
189708,79.6,-0.1
189808,82,2.3
189908,79.8,0.1
190008,81.9,2.2
190108,80.7,1.0
190208,80.8,1.1
190308,80.3,0.6
190408,77.9,-1.8
190508,81.2,1.5
190608,78.3,-1.4
190708,78,-1.7
190808,77,-2.7
190908,79.9,0.2
191008,79.1,-0.6
191108,78.9,-0.8
191208,77.7,-2.0
191308,82.6,2.9
191408,79.1,-0.6
191508,75.9,-3.8
191608,76.4,-3.3
191708,77.1,-2.6
191808,79.5,-0.2
191908,82.2,2.5
192008,76,-3.7
192108,77.8,-1.9
192208,81.6,1.9
192308,75.8,-3.9
192408,81.5,1.8
192508,76.1,-3.6
192608,81.3,1.6
192708,74,-5.7
192808,78.7,-1.0
192908,79.4,-0.3
193008,78.8,-0.9
193108,80.8,1.1
193208,80.7,1.0
193308,78.8,-0.9
193408,82.6,2.9
193508,81.2,1.5
193608,81.4,1.7
193708,84.2,4.5
193808,82.6,2.9
193908,81,1.3
194008,80.7,1.0
194108,79.1,-0.6
194208,80,0.3
194308,81.3,1.6
194408,81.8,2.1
194508,79.8,0.1
194608,79.3,-0.4
194708,80.7,1.0
194808,80.6,0.9
194908,80.4,0.7
195008,78.1,-1.6
195108,79,-0.7
195208,80.1,0.4
195308,78.7,-1.0
195408,80.7,1.0
195508,80.9,1.2
195608,78.3,-1.4
195708,78.9,-0.8
195808,82.5,2.8
195908,80.4,0.7
196008,82.8,3.1
196108,79.3,-0.4
196208,82,2.3
196308,78.2,-1.5
196408,78.8,-0.9
196508,77,-2.7
196608,78.5,-1.2
196708,77.8,-1.9
196808,75.5,-4.2
196908,82.1,2.4
197008,82.2,2.5
197108,80.3,0.6
197208,78.6,-1.1
197308,81.2,1.5
197408,77.9,-1.8
197508,80.5,0.8
197608,79.1,-0.6
197708,79,-0.7
197808,79.8,0.1
197908,78.1,-1.6
198008,80.9,1.2
198108,78.2,-1.5
198208,80,0.3
198308,82.7,3.0
198408,79.8,0.1
198508,81.6,1.9
198608,80.1,0.4
198708,77.7,-2.0
198808,81.5,1.8
198908,78.4,-1.3
199008,79.5,-0.2
199108,79.5,-0.2
199208,77.4,-2.3
199308,77.4,-2.3
199408,82.4,2.7
199508,84,4.3
199608,80.8,1.1
199708,78.1,-1.6
199808,80.5,0.8
199908,78.6,-1.1
200008,84.2,4.5
200108,81.6,1.9
200208,82.3,2.6
200308,83.3,3.6
200408,77.8,-1.9
200508,79.4,-0.3
200608,79.1,-0.6
200708,83.2,3.5
200808,79.5,-0.2
200908,80.3,0.6
201008,80.9,1.2
201108,84.5,4.8
201208,83.2,3.5
201308,81.1,1.4
201408,78.4,-1.3
201508,81.8,2.1
