Utah, Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,29.2,-8.0
189612,39.7,2.5
189712,30.6,-6.6
189812,31.6,-5.6
189912,33,-4.2
190012,38.5,1.3
190112,38.6,1.4
190212,35,-2.2
190312,37.8,0.6
190412,39.3,2.1
190512,32,-5.2
190612,39.6,2.4
190712,39.7,2.5
190812,34.7,-2.5
190912,26.9,-10.3
191012,38.2,1.0
191112,33.7,-3.5
191212,34.6,-2.6
191312,33,-4.2
191412,32.8,-4.4
191512,37.8,0.6
191612,34,-3.2
191712,47.4,10.2
191812,34.8,-2.4
191912,32.3,-4.9
192012,35.5,-1.7
192112,42.2,5.0
192212,38.7,1.5
192312,35.5,-1.7
192412,30,-7.2
192512,39.3,2.1
192612,34.4,-2.8
192712,33.1,-4.1
192812,33.1,-4.1
192912,44.4,7.2
193012,30.9,-6.3
193112,30.1,-7.1
193212,29,-8.2
193312,43.2,6.0
193412,38.4,1.2
193512,38.5,1.3
193612,37.7,0.5
193712,41.1,3.9
193812,39.1,1.9
193912,46,8.8
194012,38.1,0.9
194112,39.2,2.0
194212,42.1,4.9
194312,37.8,0.6
194412,39.8,2.6
194512,35.1,-2.1
194612,41.8,4.6
194712,35.5,-1.7
194812,35.4,-1.8
194912,36.2,-1.0
195012,42.3,5.1
195112,32.5,-4.7
195212,36.7,-0.5
195312,36.3,-0.9
195412,36.3,-0.9
195512,41.5,4.3
195612,38.1,0.9
195712,41.2,4.0
195812,46,8.8
195912,39.3,2.1
196012,38.5,1.3
196112,33.9,-3.3
196212,41.4,4.2
196312,36.5,-0.7
196412,37.4,0.2
196512,37.3,0.1
196612,34.4,-2.8
196712,30.5,-6.7
196812,34.6,-2.6
196912,40.4,3.2
197012,36.8,-0.4
197112,32.2,-5.0
197212,30.8,-6.4
197312,39.2,2.0
197412,36,-1.2
197512,38.9,1.7
197612,41.4,4.2
197712,43.8,6.6
197812,30.6,-6.6
197912,40.1,2.9
198012,45.7,8.5
198112,42.5,5.3
198212,35.4,-1.8
198312,35,-2.2
198412,34.9,-2.3
198512,35.1,-2.1
198612,39.7,2.5
198712,35.1,-2.1
198812,36.3,-0.9
198912,41,3.8
199012,31.2,-6.0
199112,35.9,-1.3
199212,33.4,-3.8
199312,38.3,1.1
199412,38.6,1.4
199512,42.7,5.5
199612,39.2,2.0
199712,36.4,-0.8
199812,38.4,1.2
199912,40.3,3.1
200012,41,3.8
200112,34.8,-2.4
200212,39.3,2.1
200312,40.1,2.9
200412,39.9,2.7
200512,40.2,3.0
200612,38.4,1.2
200712,34.2,-3.0
200812,37.5,0.3
200912,32.1,-5.1
201012,41.3,4.1
201112,37.7,0.5
201212,37.2,0.0
201312,33.7,-3.5
201412,40.9,3.7
201512,36.7,-0.5
