Maryland, Maximum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,71.4,-2.3
189605,77.9,4.2
189705,71.5,-2.2
189805,72.5,-1.2
189905,74.2,0.5
190005,75.4,1.7
190105,71,-2.7
190205,74.9,1.2
190305,75.1,1.4
190405,75.2,1.5
190505,75.2,1.5
190605,75.6,1.9
190705,68.8,-4.9
190805,73.1,-0.6
190905,73.3,-0.4
191005,70.8,-2.9
191105,80.4,6.7
191205,74.9,1.2
191305,74,0.3
191405,77.3,3.6
191505,71.4,-2.3
191605,74.9,1.2
191705,67.9,-5.8
191805,79,5.3
191905,72.9,-0.8
192005,69.6,-4.1
192105,71.3,-2.4
192205,75.8,2.1
192305,73.5,-0.2
192405,68.2,-5.5
192505,71.5,-2.2
192605,75,1.3
192705,71.4,-2.3
192805,71.6,-2.1
192905,72.8,-0.9
193005,77.3,3.6
193105,73.1,-0.6
193205,73,-0.7
193305,75.1,1.4
193405,75.6,1.9
193505,70.1,-3.6
193605,77.6,3.9
193705,75.5,1.8
193805,71.4,-2.3
193905,77,3.3
194005,72.5,-1.2
194105,77.8,4.1
194205,77.2,3.5
194305,75.8,2.1
194405,80.2,6.5
194505,71.1,-2.6
194605,73.1,-0.6
194705,73.8,0.1
194805,72.5,-1.2
194905,74.3,0.6
195005,71.6,-2.1
195105,73.9,0.2
195205,72.2,-1.5
195305,77.1,3.4
195405,71,-2.7
195505,76.3,2.6
195605,73.4,-0.3
195705,76.1,2.4
195805,72.4,-1.3
195905,77.6,3.9
196005,71.2,-2.5
196105,69.7,-4.0
196205,77.3,3.6
196305,73.4,-0.3
196405,76.5,2.8
196505,78.7,5.0
196605,72.6,-1.1
196705,67.8,-5.9
196805,70.3,-3.4
196905,75,1.3
197005,76.5,2.8
197105,70.7,-3.0
197205,72.2,-1.5
197305,69.9,-3.8
197405,72.4,-1.3
197505,75.1,1.4
197605,71.8,-1.9
197705,76.9,3.2
197805,70.5,-3.2
197905,73.3,-0.4
198005,75.4,1.7
198105,72.1,-1.6
198205,76.4,2.7
198305,71.8,-1.9
198405,72,-1.7
198505,75.7,2.0
198605,77,3.3
198705,75.8,2.1
198805,73.4,-0.3
198905,71.1,-2.6
199005,71,-2.7
199105,80.6,6.9
199205,70.3,-3.4
199305,75.3,1.6
199405,71,-2.7
199505,72.6,-1.1
199605,70.4,-3.3
199705,71.4,-2.3
199805,75.5,1.8
199905,75.4,1.7
200005,76.1,2.4
200105,74,0.3
200205,74,0.3
200305,68.4,-5.3
200405,79.8,6.1
200505,70,-3.7
200605,74,0.3
200705,77,3.3
200805,71.9,-1.8
200905,73.4,-0.3
201005,76.6,2.9
201105,76.2,2.5
201205,78,4.3
201305,73.5,-0.2
201405,75.4,1.7
201505,79,5.3
