Oklahoma, Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,40.6,-12.9
189602,55.3,1.8
189702,53.6,0.1
189802,57.2,3.7
189902,40.5,-13.0
190002,49.2,-4.3
190102,48.6,-4.9
190202,47.9,-5.6
190302,44.6,-8.9
190402,57.7,4.2
190502,38.1,-15.4
190602,53.4,-0.1
190702,57.8,4.3
190802,54.7,1.2
190902,58.7,5.2
191002,49.2,-4.3
191102,55.5,2.0
191202,48.7,-4.8
191302,44.1,-9.4
191402,50.5,-3.0
191502,54.2,0.7
191602,52.7,-0.8
191702,53.2,-0.3
191802,57.6,4.1
191902,50.6,-2.9
192002,54.5,1.0
192102,57.5,4.0
192202,56.1,2.6
192302,49.4,-4.1
192402,52.7,-0.8
192502,61.5,8.0
192602,60.6,7.1
192702,58.9,5.4
192802,54,0.5
192902,40.1,-13.4
193002,63.3,9.8
193102,57.5,4.0
193202,61.1,7.6
193302,51.7,-1.8
193402,54.4,0.9
193502,55.9,2.4
193602,45.4,-8.1
193702,52.3,-1.2
193802,55.9,2.4
193902,50.5,-3.0
194002,50.9,-2.6
194102,49.6,-3.9
194202,51.2,-2.3
194302,60.2,6.7
194402,54,0.5
194502,51.2,-2.3
194602,59.9,6.4
194702,50,-3.5
194802,46.1,-7.4
194902,50.1,-3.4
195002,58.6,5.1
195102,55.5,2.0
195202,57.6,4.1
195302,57.1,3.6
195402,66.3,12.8
195502,53.2,-0.3
195602,52.6,-0.9
195702,55.9,2.4
195802,46.4,-7.1
195902,52.8,-0.7
196002,45.5,-8.0
196102,54.7,1.2
196202,58.8,5.3
196302,56.1,2.6
196402,49.4,-4.1
196502,53.2,-0.3
196602,49.4,-4.1
196702,54.3,0.8
196802,49.7,-3.8
196902,52.8,-0.7
197002,56,2.5
197102,51.4,-2.1
197202,56.6,3.1
197302,50.9,-2.6
197402,59.3,5.8
197502,47.1,-6.4
197602,65.7,12.2
197702,59,5.5
197802,37.6,-15.9
197902,44,-9.5
198002,50.3,-3.2
198102,56.7,3.2
198202,48.1,-5.4
198302,50.4,-3.1
198402,59,5.5
198502,47.2,-6.3
198602,55.8,2.3
198702,55,1.5
198802,52.7,-0.8
198902,41.7,-11.8
199002,57.3,3.8
199102,62.1,8.6
199202,59.9,6.4
199302,48.9,-4.6
199402,51.4,-2.1
199502,58.4,4.9
199602,58.8,5.3
199702,52.7,-0.8
199802,55,1.5
199902,62.3,8.8
200002,61.6,8.1
200102,52,-1.5
200202,53.7,0.2
200302,49.1,-4.4
200402,50,-3.5
200502,55.7,2.2
200602,54.6,1.1
200702,50.6,-2.9
200802,54,0.5
200902,61.2,7.7
201002,43.9,-9.6
201102,52.6,-0.9
201202,54.7,1.2
201302,53.1,-0.4
201402,48,-5.5
201502,50.3,-3.2
201602,61.3,7.8
