Nevada, Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,39.4,-2.8
189612,46.7,4.5
189712,39.2,-3.0
189812,37.9,-4.3
189912,39.5,-2.7
190012,44.9,2.7
190112,45.1,2.9
190212,42.2,0.0
190312,43.3,1.1
190412,43.6,1.4
190512,35.5,-6.7
190612,42.2,0.0
190712,44.6,2.4
190812,39.9,-2.3
190912,33.4,-8.8
191012,44.2,2.0
191112,39.3,-2.9
191212,42.4,0.2
191312,40.3,-1.9
191412,35.8,-6.4
191512,42.2,0.0
191612,38.3,-3.9
191712,51.9,9.7
191812,39,-3.2
191912,40.2,-2.0
192012,41,-1.2
192112,45.6,3.4
192212,42.5,0.3
192312,40,-2.2
192412,36.2,-6.0
192512,44.9,2.7
192612,39.4,-2.8
192712,39.1,-3.1
192812,39.2,-3.0
192912,51.8,9.6
193012,39.4,-2.8
193112,36.1,-6.1
193212,35.9,-6.3
193312,47.9,5.7
193412,43.2,1.0
193512,42.7,0.5
193612,41.9,-0.3
193712,45.9,3.7
193812,45.1,2.9
193912,49.5,7.3
194012,44.3,2.1
194112,42.4,0.2
194212,45.9,3.7
194312,42.2,0.0
194412,41.4,-0.8
194512,39.9,-2.3
194612,44.3,2.1
194712,40.2,-2.0
194812,37.8,-4.4
194912,42,-0.2
195012,48.7,6.5
195112,36.8,-5.4
195212,41.7,-0.5
195312,42.6,0.4
195412,40.9,-1.3
195512,44,1.8
195612,46,3.8
195712,46,3.8
195812,51.2,9.0
195912,44.1,1.9
196012,44.1,1.9
196112,40.6,-1.6
196212,47.6,5.4
196312,43.9,1.7
196412,42.8,0.6
196512,39.7,-2.5
196612,40.4,-1.8
196712,37.2,-5.0
196812,39.2,-3.0
196912,44.1,1.9
197012,38.4,-3.8
197112,35.8,-6.4
197212,36.2,-6.0
197312,44,1.8
197412,40.2,-2.0
197512,46.3,4.1
197612,47,4.8
197712,47,4.8
197812,37.2,-5.0
197912,47.2,5.0
198012,49.6,7.4
198112,47.4,5.2
198212,40.2,-2.0
198312,41,-1.2
198412,37.5,-4.7
198512,40.9,-1.3
198612,45.2,3.0
198712,38.4,-3.8
198812,40.1,-2.1
198912,47.4,5.2
199012,35.9,-6.3
199112,43.4,1.2
199212,37.1,-5.1
199312,42.5,0.3
199412,41.5,-0.7
199512,46,3.8
199612,43.3,1.1
199712,40.2,-2.0
199812,42.2,0.0
199912,45.9,3.7
200012,47,4.8
200112,39.8,-2.4
200212,44,1.8
200312,42.8,0.6
200412,43.7,1.5
200512,44,1.8
200612,43,0.8
200712,39.1,-3.1
200812,41.7,-0.5
200912,37.4,-4.8
201012,44.2,2.0
201112,44.1,1.9
201212,40.8,-1.4
201312,40.8,-1.4
201412,44.8,2.6
201512,41.2,-1.0
