Alabama, Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,88.4,-0.9
189606,87.9,-1.4
189706,94,4.7
189806,92.7,3.4
189906,92.3,3.0
190006,85.2,-4.1
190106,91.1,1.8
190206,94.6,5.3
190306,85.1,-4.2
190406,91.3,2.0
190506,91.4,2.1
190606,91.1,1.8
190706,88.2,-1.1
190806,90.4,1.1
190906,89,-0.3
191006,86.9,-2.4
191106,93.9,4.6
191206,85.8,-3.5
191306,91.1,1.8
191406,96.4,7.1
191506,90.8,1.5
191606,89,-0.3
191706,90.9,1.6
191806,92.2,2.9
191906,88.9,-0.4
192006,88.7,-0.6
192106,93.2,3.9
192206,89.9,0.6
192306,87.4,-1.9
192406,90.6,1.3
192506,93.3,4.0
192606,89.4,0.1
192706,88.3,-1.0
192806,86,-3.3
192906,88.5,-0.8
193006,89.9,0.6
193106,93.8,4.5
193206,90.1,0.8
193306,91.8,2.5
193406,91.1,1.8
193506,88.3,-1.0
193606,94.6,5.3
193706,91.3,2.0
193806,88.2,-1.1
193906,88.6,-0.7
194006,87.6,-1.7
194106,89.6,0.3
194206,89.2,-0.1
194306,93,3.7
194406,93.3,4.0
194506,90.4,1.1
194606,87,-2.3
194706,87.8,-1.5
194806,91.5,2.2
194906,87.7,-1.6
195006,89,-0.3
195106,90.4,1.1
195206,95,5.7
195306,92.8,3.5
195406,92.6,3.3
195506,85.8,-3.5
195606,88.3,-1.0
195706,88.7,-0.6
195806,89.2,-0.1
195906,87.3,-2.0
196006,89.5,0.2
196106,84.9,-4.4
196206,88.6,-0.7
196306,88.4,-0.9
196406,90.7,1.4
196506,86.6,-2.7
196606,86.7,-2.6
196706,87.8,-1.5
196806,91,1.7
196906,90.6,1.3
197006,86.3,-3.0
197106,90.2,0.9
197206,87.4,-1.9
197306,87.8,-1.5
197406,85.1,-4.2
197506,87.3,-2.0
197606,85.9,-3.4
197706,92.6,3.3
197806,89.3,0.0
197906,86.8,-2.5
198006,89.4,0.1
198106,91.1,1.8
198206,88,-1.3
198306,84.6,-4.7
198406,90.2,0.9
198506,89,-0.3
198606,90.3,1.0
198706,87.9,-1.4
198806,91.2,1.9
198906,85.6,-3.7
199006,89.8,0.5
199106,86.8,-2.5
199206,85.4,-3.9
199306,89.1,-0.2
199406,87.4,-1.9
199506,86.7,-2.6
199606,87.4,-1.9
199706,82.9,-6.4
199806,92.3,3.0
199906,86.2,-3.1
200006,89.4,0.1
200106,86.1,-3.2
200206,88.5,-0.8
200306,85.5,-3.8
200406,85.7,-3.6
200506,86.6,-2.7
200606,91.4,2.1
200706,91.8,2.5
200806,90.6,1.3
200906,90.7,1.4
201006,91.6,2.3
201106,94,4.7
201206,88.4,-0.9
201306,87.7,-1.6
201406,87.8,-1.5
201506,89.6,0.3
