New Hampshire, Maximum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,74.9,-1.0
189608,76,0.1
189708,74.1,-1.8
189808,76.7,0.8
189908,76.2,0.3
190008,76.6,0.7
190108,76.1,0.2
190208,72,-3.9
190308,68.5,-7.4
190408,73.3,-2.6
190508,73.5,-2.4
190608,78.9,3.0
190708,74.3,-1.6
190808,73.5,-2.4
190908,74.9,-1.0
191008,74.2,-1.7
191108,75.2,-0.7
191208,70.7,-5.2
191308,76.8,0.9
191408,74.4,-1.5
191508,72.1,-3.8
191608,77.7,1.8
191708,77,1.1
191808,77.2,1.3
191908,73.2,-2.7
192008,78.5,2.6
192108,74.5,-1.4
192208,74.9,-1.0
192308,74.5,-1.4
192408,75.9,0.0
192508,76,0.1
192608,73.9,-2.0
192708,71.7,-4.2
192808,77.2,1.3
192908,73.5,-2.4
193008,73.8,-2.1
193108,75,-0.9
193208,78.2,2.3
193308,75.2,-0.7
193408,73.3,-2.6
193508,77.5,1.6
193608,75.7,-0.2
193708,80.4,4.5
193808,78.3,2.4
193908,79.6,3.7
194008,75.9,0.0
194108,74.8,-1.1
194208,75.8,-0.1
194308,73.5,-2.4
194408,81.1,5.2
194508,76.5,0.6
194608,72,-3.9
194708,80.2,4.3
194808,78.7,2.8
194908,79.8,3.9
195008,76.4,0.5
195108,74.2,-1.7
195208,77.4,1.5
195308,76.8,0.9
195408,73.1,-2.8
195508,79.8,3.9
195608,75.3,-0.6
195708,74.6,-1.3
195808,76.9,1.0
195908,78.8,2.9
196008,77.1,1.2
196108,76.2,0.3
196208,74.9,-1.0
196308,73,-2.9
196408,71.7,-4.2
196508,76.4,0.5
196608,76.7,0.8
196708,76.3,0.4
196808,74.6,-1.3
196908,78.1,2.2
197008,78.5,2.6
197108,76.7,0.8
197208,74.3,-1.6
197308,79.8,3.9
197408,78,2.1
197508,76.2,0.3
197608,75.1,-0.8
197708,75.9,0.0
197808,76.4,0.5
197908,73.7,-2.2
198008,77.6,1.7
198108,75.3,-0.6
198208,73.7,-2.2
198308,78.2,2.3
198408,78.7,2.8
198508,75.3,-0.6
198608,73.6,-2.3
198708,74.7,-1.2
198808,78.7,2.8
198908,75.2,-0.7
199008,77.6,1.7
199108,77.7,1.8
199208,73.8,-2.1
199308,78.1,2.2
199408,75.1,-0.8
199508,78.2,2.3
199608,77.5,1.6
199708,75.5,-0.4
199808,78.3,2.4
199908,76.2,0.3
200008,74.4,-1.5
200108,81.5,5.6
200208,81.3,5.4
200308,78.1,2.2
200408,76.2,0.3
200508,78.8,2.9
200608,74.9,-1.0
200708,78.2,2.3
200808,74.4,-1.5
200908,78,2.1
201008,77.7,1.8
201108,77,1.1
201208,80.4,4.5
201308,76.5,0.6
201408,75.2,-0.7
201508,78.9,3.0
