Maryland, Maximum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,61.6,-1.8
189604,65.5,2.1
189704,63.1,-0.3
189804,58.9,-4.5
189904,64.5,1.1
190004,62.3,-1.1
190104,57.4,-6.0
190204,61.5,-1.9
190304,61.8,-1.6
190404,58.9,-4.5
190504,63.7,0.3
190604,66,2.6
190704,56.8,-6.6
190804,66,2.6
190904,63,-0.4
191004,66.8,3.4
191104,58.5,-4.9
191204,65.2,1.8
191304,63.8,0.4
191404,61.9,-1.5
191504,69.4,6.0
191604,61.4,-2.0
191704,62.9,-0.5
191804,61.2,-2.2
191904,62.4,-1.0
192004,60.8,-2.6
192104,69,5.6
192204,64,0.6
192304,62.4,-1.0
192404,60.4,-3.0
192504,66.4,3.0
192604,61.1,-2.3
192704,60.1,-3.3
192804,60.6,-2.8
192904,66,2.6
193004,61.3,-2.1
193104,62.2,-1.2
193204,62.2,-1.2
193304,63,-0.4
193404,62.8,-0.6
193504,58.8,-4.6
193604,60.2,-3.2
193704,61.1,-2.3
193804,65.6,2.2
193904,61.3,-2.1
194004,57.9,-5.5
194104,69.1,5.7
194204,68,4.6
194304,60,-3.4
194404,61.5,-1.9
194504,67.4,4.0
194604,63.9,0.5
194704,66.2,2.8
194804,64.1,0.7
194904,63,-0.4
195004,60.6,-2.8
195104,63.5,0.1
195204,64.2,0.8
195304,62.7,-0.7
195404,68.4,5.0
195504,66.7,3.3
195604,61.5,-1.9
195704,67.2,3.8
195804,63.6,0.2
195904,66.6,3.2
196004,70.1,6.7
196104,58.6,-4.8
196204,63.6,0.2
196304,65.6,2.2
196404,61,-2.4
196504,60.3,-3.1
196604,58.2,-5.2
196704,65.4,2.0
196804,65.6,2.2
196904,66.4,3.0
197004,62.6,-0.8
197104,64,0.6
197204,62.1,-1.3
197304,61.8,-1.6
197404,66.8,3.4
197504,57.9,-5.5
197604,67.8,4.4
197704,68,4.6
197804,63.5,0.1
197904,61.1,-2.3
198004,64.2,0.8
198104,67.6,4.2
198204,62.1,-1.3
198304,59.8,-3.6
198404,60.6,-2.8
198504,69.8,6.4
198604,64.3,0.9
198704,61.5,-1.9
198804,61.6,-1.8
198904,62.4,-1.0
199004,64.6,1.2
199104,66.1,2.7
199204,63.1,-0.3
199304,63,-0.4
199404,70.1,6.7
199504,65.4,2.0
199604,64.6,1.2
199704,61.6,-1.8
199804,66.7,3.3
199904,65.6,2.2
200004,63,-0.4
200104,66.4,3.0
200204,68.4,5.0
200304,63.6,0.2
200404,64.4,1.0
200504,66.6,3.2
200604,68.7,5.3
200704,61.4,-2.0
200804,66.4,3.0
200904,66.2,2.8
201004,70,6.6
201104,67.1,3.7
201204,66,2.6
201304,65.8,2.4
201404,64.2,0.8
201504,65.7,2.3
