Montana, Maximum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,78.5,-0.7
189608,77.5,-1.7
189708,81.4,2.2
189808,81.5,2.3
189908,73.7,-5.5
190008,76.5,-2.7
190108,80.4,1.2
190208,77.2,-2.0
190308,75.3,-3.9
190408,78.4,-0.8
190508,81,1.8
190608,76.3,-2.9
190708,74.6,-4.6
190808,75.6,-3.6
190908,80.9,1.7
191008,75.2,-4.0
191108,72.6,-6.6
191208,72.5,-6.7
191308,79.5,0.3
191408,77.9,-1.3
191508,80.5,1.3
191608,77.3,-1.9
191708,79.1,-0.1
191808,75.5,-3.7
191908,81.6,2.4
192008,80.3,1.1
192108,81,1.8
192208,81.8,2.6
192308,75.7,-3.5
192408,76.6,-2.6
192508,78.6,-0.6
192608,76.8,-2.4
192708,74.6,-4.6
192808,75.8,-3.4
192908,84.9,5.7
193008,81.9,2.7
193108,81.3,2.1
193208,79,-0.2
193308,78.6,-0.6
193408,81.5,2.3
193508,79.5,0.3
193608,81,1.8
193708,81.9,2.7
193808,79.7,0.5
193908,81.5,2.3
194008,83.5,4.3
194108,78.2,-1.0
194208,79.1,-0.1
194308,80.1,0.9
194408,75.9,-3.3
194508,81.1,1.9
194608,78.4,-0.8
194708,79.8,0.6
194808,79.8,0.6
194908,83.4,4.2
195008,76.7,-2.5
195108,75.1,-4.1
195208,79.2,0.0
195308,80.4,1.2
195408,76.6,-2.6
195508,83.3,4.1
195608,76.8,-2.4
195708,78.5,-0.7
195808,83.1,3.9
195908,78.9,-0.3
196008,77.2,-2.0
196108,85.8,6.6
196208,77.8,-1.4
196308,81.3,2.1
196408,75.8,-3.4
196508,76.8,-2.4
196608,77.7,-1.5
196708,83.8,4.6
196808,74,-5.2
196908,84.8,5.6
197008,84.3,5.1
197108,87.1,7.9
197208,80.1,0.9
197308,82.2,3.0
197408,73.8,-5.4
197508,74.4,-4.8
197608,78.3,-0.9
197708,74.1,-5.1
197808,76.9,-2.3
197908,79.1,-0.1
198008,73.5,-5.7
198108,83,3.8
198208,80.6,1.4
198308,85.1,5.9
198408,83.4,4.2
198508,74.6,-4.6
198608,81.1,1.9
198708,73.9,-5.3
198808,82.1,2.9
198908,76.9,-2.3
199008,80.9,1.7
199108,84.5,5.3
199208,76.8,-2.4
199308,72.8,-6.4
199408,82.7,3.5
199508,80.4,1.2
199608,83.4,4.2
199708,79.7,0.5
199808,83.8,4.6
199908,81.3,2.1
200008,83.3,4.1
200108,86,6.8
200208,75.5,-3.7
200308,86,6.8
200408,76.4,-2.8
200508,79.8,0.6
200608,81.7,2.5
200708,81.5,2.3
200808,81.7,2.5
200908,77.7,-1.5
201008,78.4,-0.8
201108,82.9,3.7
201208,83.6,4.4
201308,82.4,3.2
201408,78,-1.2
201508,81.7,2.5
