Arkansas, Maximum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,74.5,2.4
189604,77.9,5.8
189704,71.2,-0.9
189804,69,-3.1
189904,70.1,-2.0
190004,73,0.9
190104,68.9,-3.2
190204,71.6,-0.5
190304,71.4,-0.7
190404,66.9,-5.2
190504,69.8,-2.3
190604,74.9,2.8
190704,64.2,-7.9
190804,73.1,1.0
190904,71.7,-0.4
191004,70.2,-1.9
191104,70.3,-1.8
191204,71.1,-1.0
191304,71.9,-0.2
191404,70.8,-1.3
191504,74.8,2.7
191604,69.6,-2.5
191704,71.2,-0.9
191804,70.2,-1.9
191904,72.7,0.6
192004,70.2,-1.9
192104,70.6,-1.5
192204,73.5,1.4
192304,72.1,0.0
192404,72.2,0.1
192504,77.8,5.7
192604,69.7,-2.4
192704,74.7,2.6
192804,67.1,-5.0
192904,73.1,1.0
193004,76.9,4.8
193104,70.4,-1.7
193204,74.9,2.8
193304,71.5,-0.6
193404,73.6,1.5
193504,69.5,-2.6
193604,72.6,0.5
193704,72.7,0.6
193804,72.1,0.0
193904,70.1,-2.0
194004,70.5,-1.6
194104,74.2,2.1
194204,73.3,1.2
194304,74.5,2.4
194404,70.2,-1.9
194504,72.9,0.8
194604,75.9,3.8
194704,72.4,0.3
194804,78,5.9
194904,70.6,-1.5
195004,69.6,-2.5
195104,69.3,-2.8
195204,69.3,-2.8
195304,69.3,-2.8
195404,77.5,5.4
195504,76.1,4.0
195604,71.2,-0.9
195704,71.6,-0.5
195804,70.2,-1.9
195904,71.7,-0.4
196004,75.1,3.0
196104,69.6,-2.5
196204,69.7,-2.4
196304,74.8,2.7
196404,74.5,2.4
196504,77.7,5.6
196604,71.6,-0.5
196704,75.6,3.5
196804,71.9,-0.2
196904,72.5,0.4
197004,74.2,2.1
197104,73.3,1.2
197204,74,1.9
197304,67.2,-4.9
197404,73.2,1.1
197504,70.9,-1.2
197604,73.1,1.0
197704,75.6,3.5
197804,75.3,3.2
197904,71.1,-1.0
198004,71.1,-1.0
198104,78.1,6.0
198204,68.1,-4.0
198304,64.7,-7.4
198404,69.8,-2.3
198504,74.1,2.0
198604,73.9,1.8
198704,74.9,2.8
198804,73.4,1.3
198904,73.4,1.3
199004,71.1,-1.0
199104,72.8,0.7
199204,72.5,0.4
199304,66.6,-5.5
199404,75.3,3.2
199504,72.1,0.0
199604,71,-1.1
199704,67.4,-4.7
199804,71.8,-0.3
199904,74,1.9
200004,70.9,-1.2
200104,76.5,4.4
200204,74.7,2.6
200304,74.4,2.3
200404,72.1,0.0
200504,72.7,0.6
200604,78.6,6.5
200704,69.3,-2.8
200804,70.2,-1.9
200904,70.8,-1.3
201004,75.7,3.6
201104,75.6,3.5
201204,75.9,3.8
201304,70.3,-1.8
201404,71.2,-0.9
201504,72.8,0.7
