Montana, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,20.2,-6.2
189601,26.2,-0.2
189701,26.7,0.3
189801,28.4,2.0
189901,25.4,-1.0
190001,35.4,9.0
190101,28.1,1.7
190201,28.8,2.4
190301,31,4.6
190401,29.7,3.3
190501,22.9,-3.5
190601,31.8,5.4
190701,13.1,-13.3
190801,34,7.6
190901,21,-5.4
191001,27.2,0.8
191101,23.1,-3.3
191201,24,-2.4
191301,23.1,-3.3
191401,33.5,7.1
191501,26.5,0.1
191601,6.7,-19.7
191701,22.9,-3.5
191801,22.1,-4.3
191901,37.5,11.1
192001,27.7,1.3
192101,33.8,7.4
192201,21.5,-4.9
192301,30.9,4.5
192401,22.4,-4.0
192501,28.7,2.3
192601,31.9,5.5
192701,25.2,-1.2
192801,28.5,2.1
192901,14.7,-11.7
193001,11,-15.4
193101,36.1,9.7
193201,24.9,-1.5
193301,30,3.6
193401,36.2,9.8
193501,25.9,-0.5
193601,22.8,-3.6
193701,8,-18.4
193801,31.4,5.0
193901,34.8,8.4
194001,20.2,-6.2
194101,32.2,5.8
194201,29,2.6
194301,18.1,-8.3
194401,35.4,9.0
194501,31.1,4.7
194601,32.9,6.5
194701,29.1,2.7
194801,31.8,5.4
194901,14.7,-11.7
195001,8,-18.4
195101,23.1,-3.3
195201,21.5,-4.9
195301,36.6,10.2
195401,21,-5.4
195501,28.5,2.1
195601,24.5,-1.9
195701,15.6,-10.8
195801,37.3,10.9
195901,25.9,-0.5
196001,25.4,-1.0
196101,34.1,7.7
196201,24.9,-1.5
196301,19.8,-6.6
196401,32,5.6
196501,27.9,1.5
196601,21.9,-4.5
196701,31.3,4.9
196801,27.3,0.9
196901,12.5,-13.9
197001,23.1,-3.3
197101,22.9,-3.5
197201,20.3,-6.1
197301,29.2,2.8
197401,25.5,-0.9
197501,28.8,2.4
197601,30.6,4.2
197701,22.8,-3.6
197801,18.6,-7.8
197901,12.1,-14.3
198001,23.1,-3.3
198101,38.2,11.8
198201,19,-7.4
198301,35.6,9.2
198401,32.3,5.9
198501,24.8,-1.6
198601,37,10.6
198701,34.1,7.7
198801,28.2,1.8
198901,31.3,4.9
199001,34,7.6
199101,25.2,-1.2
199201,38.6,12.2
199301,22.3,-4.1
199401,29.8,3.4
199501,32.1,5.7
199601,21.6,-4.8
199701,24.3,-2.1
199801,28.9,2.5
199901,31.5,5.1
200001,32.1,5.7
200101,34.2,7.8
200201,31.9,5.5
200301,34.9,8.5
200401,26.1,-0.3
200501,28.4,2.0
200601,39.7,13.3
200701,32.3,5.9
200801,29.5,3.1
200901,31.1,4.7
201001,29.5,3.1
201101,28,1.6
201201,35.3,8.9
201301,31.2,4.8
201401,34.5,8.1
201501,34.6,8.2
201601,32.3,5.9
