Oregon, Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,39.8,-2.4
189602,45.3,3.1
189702,38.9,-3.3
189802,43.8,1.6
189902,36.3,-5.9
190002,40.7,-1.5
190102,37.9,-4.3
190202,42.6,0.4
190302,36.4,-5.8
190402,39.1,-3.1
190502,41.3,-0.9
190602,41,-1.2
190702,47.2,5.0
190802,42.2,0.0
190902,41.5,-0.7
191002,36.1,-6.1
191102,35.4,-6.8
191202,42.4,0.2
191302,38.1,-4.1
191402,40.3,-1.9
191502,42.4,0.2
191602,42.6,0.4
191702,37.9,-4.3
191802,39.4,-2.8
191902,37.8,-4.4
192002,44,1.8
192102,41.6,-0.6
192202,35.4,-6.8
192302,38.1,-4.1
192402,47,4.8
192502,44.7,2.5
192602,46.3,4.1
192702,41.7,-0.5
192802,42.5,0.3
192902,35.2,-7.0
193002,45.1,2.9
193102,43.2,1.0
193202,38,-4.2
193302,34.9,-7.3
193402,49,6.8
193502,42.9,0.7
193602,35.4,-6.8
193702,37.6,-4.6
193802,40.1,-2.1
193902,37.8,-4.4
194002,43,0.8
194102,45.2,3.0
194202,39.4,-2.8
194302,44.2,2.0
194402,40.4,-1.8
194502,42.9,0.7
194602,41.3,-0.9
194702,47.4,5.2
194802,39.9,-2.3
194902,37.9,-4.3
195002,41.1,-1.1
195102,41.9,-0.3
195202,40,-2.2
195302,44.6,2.4
195402,46.7,4.5
195502,39.3,-2.9
195602,35.6,-6.6
195702,42.5,0.3
195802,47.1,4.9
195902,41.4,-0.8
196002,40.7,-1.5
196102,45.6,3.4
196202,40.7,-1.5
196302,50.4,8.2
196402,43.3,1.1
196502,45.6,3.4
196602,41.6,-0.6
196702,47,4.8
196802,48.5,6.3
196902,38.1,-4.1
197002,48.1,5.9
197102,44,1.8
197202,42.9,0.7
197302,45,2.8
197402,43.2,1.0
197502,40.5,-1.7
197602,42.6,0.4
197702,48.4,6.2
197802,44.1,1.9
197902,40,-2.2
198002,44.7,2.5
198102,44.9,2.7
198202,41.2,-1.0
198302,44.8,2.6
198402,42.4,0.2
198502,39.9,-2.3
198602,44.4,2.2
198702,44.7,2.5
198802,48.5,6.3
198902,34.9,-7.3
199002,42,-0.2
199102,51.3,9.1
199202,49.7,7.5
199302,37.9,-4.3
199402,41.6,-0.6
199502,50.8,8.6
199602,43.9,1.7
199702,43.8,1.6
199802,42.8,0.6
199902,40.6,-1.6
200002,44.6,2.4
200102,41.8,-0.4
200202,45.4,3.2
200302,44.2,2.0
200402,42.7,0.5
200502,47.4,5.2
200602,44,1.8
200702,44.6,2.4
200802,44.9,2.7
200902,44,1.8
201002,45.5,3.3
201102,41.3,-0.9
201202,43.6,1.4
201302,44.1,1.9
201402,42.8,0.6
201502,51,8.8
