Idaho, Maximum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,61.7,-0.3
189605,54.3,-7.7
189705,70.2,8.2
189805,62.9,0.9
189905,56.4,-5.6
190005,65.3,3.3
190105,65.8,3.8
190205,61.8,-0.2
190305,60,-2.0
190405,61.9,-0.1
190505,58.3,-3.7
190605,60.4,-1.6
190705,62,0.0
190805,55.7,-6.3
190905,58.7,-3.3
191005,65,3.0
191105,57.8,-4.2
191205,59.9,-2.1
191305,62.6,0.6
191405,66.2,4.2
191505,57.5,-4.5
191605,56.3,-5.7
191705,57,-5.0
191805,59.9,-2.1
191905,65,3.0
192005,59.5,-2.5
192105,61.3,-0.7
192205,60.6,-1.4
192305,60.7,-1.3
192405,69.5,7.5
192505,65.9,3.9
192605,63.4,1.4
192705,56.4,-5.6
192805,69.1,7.1
192905,62.2,0.2
193005,60.1,-1.9
193105,66.2,4.2
193205,61.2,-0.8
193305,56.3,-5.7
193405,71,9.0
193505,59.8,-2.2
193605,68.8,6.8
193705,66.6,4.6
193805,60,-2.0
193905,66.9,4.9
194005,68.7,6.7
194105,63.1,1.1
194205,56.7,-5.3
194305,58.7,-3.3
194405,63.6,1.6
194505,61.6,-0.4
194605,62.3,0.3
194705,67.5,5.5
194805,61.6,-0.4
194905,65.4,3.4
195005,59.7,-2.3
195105,62.2,0.2
195205,63.5,1.5
195305,56.7,-5.3
195405,66.2,4.2
195505,59.1,-2.9
195605,63.8,1.8
195705,61.8,-0.2
195805,71.1,9.1
195905,56.8,-5.2
196005,60.2,-1.8
196105,62.9,0.9
196205,58.3,-3.7
196305,63.6,1.6
196405,60.2,-1.8
196505,58.6,-3.4
196605,68.2,6.2
196705,61.4,-0.6
196805,60.3,-1.7
196905,67.5,5.5
197005,62,0.0
197105,62.4,0.4
197205,64.1,2.1
197305,65,3.0
197405,59.3,-2.7
197505,57.2,-4.8
197605,65.3,3.3
197705,56.1,-5.9
197805,57.2,-4.8
197905,63.2,1.2
198005,59.7,-2.3
198105,58.7,-3.3
198205,60,-2.0
198305,60.7,-1.3
198405,59.3,-2.7
198505,64.9,2.9
198605,63,1.0
198705,65.9,3.9
198805,62.9,0.9
198905,61.3,-0.7
199005,59.2,-2.8
199105,57.5,-4.5
199205,70.2,8.2
199305,67.1,5.1
199405,65.7,3.7
199505,59.7,-2.3
199605,57.3,-4.7
199705,66.2,4.2
199805,60.6,-1.4
199905,59.1,-2.9
200005,62.5,0.5
200105,67.5,5.5
200205,61.8,-0.2
200305,62.8,0.8
200405,60.6,-1.4
200505,61.6,-0.4
200605,66,4.0
200705,66.3,4.3
200805,61.7,-0.3
200905,64.7,2.7
201005,55.3,-6.7
201105,57.2,-4.8
201205,62.2,0.2
201305,64.4,2.4
201405,65.2,3.2
201505,63.9,1.9
