Louisiana, Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,89.1,-1.0
189606,91.2,1.1
189706,91.7,1.6
189806,89.7,-0.4
189906,90.7,0.6
190006,88.5,-1.6
190106,92.9,2.8
190206,93.4,3.3
190306,85.8,-4.3
190406,90.5,0.4
190506,90.7,0.6
190606,92.4,2.3
190706,89.4,-0.7
190806,90.5,0.4
190906,89.5,-0.6
191006,88,-2.1
191106,94.3,4.2
191206,86.6,-3.5
191306,89,-1.1
191406,94.3,4.2
191506,92.3,2.2
191606,89.9,-0.2
191706,91.7,1.6
191806,93.2,3.1
191906,87.2,-2.9
192006,88.3,-1.8
192106,89.9,-0.2
192206,89.9,-0.2
192306,88.4,-1.7
192406,91.8,1.7
192506,91.9,1.8
192606,90.5,0.4
192706,88.6,-1.5
192806,87.2,-2.9
192906,90,-0.1
193006,91.3,1.2
193106,91.5,1.4
193206,91.6,1.5
193306,90.7,0.6
193406,92.3,2.2
193506,88.9,-1.2
193606,93.9,3.8
193706,91.1,1.0
193806,90.1,0.0
193906,90.1,0.0
194006,87.1,-3.0
194106,88.4,-1.7
194206,88.9,-1.2
194306,92.4,2.3
194406,92.5,2.4
194506,89.8,-0.3
194606,87.4,-2.7
194706,90.3,0.2
194806,92.9,2.8
194906,90.6,0.5
195006,88.8,-1.3
195106,91.1,1.0
195206,93.3,3.2
195306,94.5,4.4
195406,92.2,2.1
195506,88.7,-1.4
195606,88.7,-1.4
195706,88.7,-1.4
195806,90.3,0.2
195906,88.6,-1.5
196006,92.2,2.1
196106,86.3,-3.8
196206,89.1,-1.0
196306,91.6,1.5
196406,90.4,0.3
196506,89.9,-0.2
196606,89,-1.1
196706,90.1,0.0
196806,89.5,-0.6
196906,90.9,0.8
197006,88.7,-1.4
197106,91.2,1.1
197206,90.7,0.6
197306,89.1,-1.0
197406,87.6,-2.5
197506,88.5,-1.6
197606,87.5,-2.6
197706,92.8,2.7
197806,90.6,0.5
197906,89.3,-0.8
198006,91.9,1.8
198106,90.5,0.4
198206,90.7,0.6
198306,86.4,-3.7
198406,89,-1.1
198506,90.8,0.7
198606,89.6,-0.5
198706,88.5,-1.6
198806,90.2,0.1
198906,86.4,-3.7
199006,91.9,1.8
199106,89.1,-1.0
199206,88.1,-2.0
199306,88.8,-1.3
199406,89.2,-0.9
199506,89.5,-0.6
199606,88.9,-1.2
199706,87.8,-2.3
199806,93.3,3.2
199906,88.9,-1.2
200006,89.5,-0.6
200106,87.5,-2.6
200206,88.8,-1.3
200306,88.6,-1.5
200406,87.8,-2.3
200506,90.8,0.7
200606,91.4,1.3
200706,89.9,-0.2
200806,91,0.9
200906,92.3,2.2
201006,93,2.9
201106,94.8,4.7
201206,91.3,1.2
201306,90.2,0.1
201406,88.3,-1.8
201506,89.5,-0.6
