Louisiana, Maximum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,90.6,2.7
189609,88.8,0.9
189709,89.4,1.5
189809,87,-0.9
189909,87.6,-0.3
190009,91.5,3.6
190109,85.9,-2.0
190209,86,-1.9
190309,87.1,-0.8
190409,90,2.1
190509,89,1.1
190609,89.4,1.5
190709,89.2,1.3
190809,86.3,-1.6
190909,89.3,1.4
191009,91,3.1
191109,92.5,4.6
191209,89.9,2.0
191309,83.7,-4.2
191409,87.6,-0.3
191509,89.4,1.5
191609,87.9,0.0
191709,86.1,-1.8
191809,85.2,-2.7
191909,87.5,-0.4
192009,89.7,1.8
192109,91.9,4.0
192209,88.7,0.8
192309,86.9,-1.0
192409,88.7,0.8
192509,92.5,4.6
192609,90.7,2.8
192709,89.8,1.9
192809,85.6,-2.3
192909,88.1,0.2
193009,87.2,-0.7
193109,91.8,3.9
193209,87.6,-0.3
193309,92.4,4.5
193409,87.4,-0.5
193509,86.6,-1.3
193609,91.3,3.4
193709,88,0.1
193809,88.6,0.7
193909,91.4,3.5
194009,86.5,-1.4
194109,88.3,0.4
194209,85.4,-2.5
194309,84.6,-3.3
194409,88.4,0.5
194509,89.3,1.4
194609,86,-1.9
194709,90.6,2.7
194809,86.2,-1.7
194909,87,-0.9
195009,86.4,-1.5
195109,88.2,0.3
195209,88.2,0.3
195309,90.6,2.7
195409,92.4,4.5
195509,89.5,1.6
195609,89.4,1.5
195709,83.8,-4.1
195809,86.7,-1.2
195909,87.6,-0.3
196009,88.2,0.3
196109,86.3,-1.6
196209,89,1.1
196309,87.9,0.0
196409,87.6,-0.3
196509,87.2,-0.7
196609,86.2,-1.7
196709,83.8,-4.1
196809,85.2,-2.7
196909,88,0.1
197009,88.7,0.8
197109,86.4,-1.5
197209,90.7,2.8
197309,86.2,-1.7
197409,82.5,-5.4
197509,84.2,-3.7
197609,86.7,-1.2
197709,88.8,0.9
197809,87.4,-0.5
197909,85,-2.9
198009,92.4,4.5
198109,87.2,-0.7
198209,87,-0.9
198309,86.2,-1.7
198409,85.8,-2.1
198509,86.9,-1.0
198609,90,2.1
198709,87.8,-0.1
198809,87.2,-0.7
198909,85.1,-2.8
199009,89.9,2.0
199109,85.9,-2.0
199209,85.9,-2.0
199309,89.4,1.5
199409,86.5,-1.4
199509,89.3,1.4
199609,85.8,-2.1
199709,89.9,2.0
199809,89.4,1.5
199909,88.1,0.2
200009,89.5,1.6
200109,85.1,-2.8
200209,87.5,-0.4
200309,86.2,-1.7
200409,88.6,0.7
200509,92.6,4.7
200609,87.4,-0.5
200709,88.3,0.4
200809,84.6,-3.3
200909,85.9,-2.0
201009,91.2,3.3
201109,87.6,-0.3
201209,87.6,-0.3
201309,90.9,3.0
201409,87.5,-0.4
201509,89.1,1.2
