South Carolina, Maximum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,88.5,-0.7
189608,90.7,1.5
189708,88.5,-0.7
189808,88,-1.2
189908,92,2.8
190008,95.1,5.9
190108,88.1,-1.1
190208,89.5,0.3
190308,90.4,1.2
190408,87.3,-1.9
190508,88,-1.2
190608,89.5,0.3
190708,89.3,0.1
190808,88.4,-0.8
190908,89.2,0.0
191008,88.2,-1.0
191108,90,0.8
191208,90.1,0.9
191308,89.1,-0.1
191408,88.5,-0.7
191508,88.2,-1.0
191608,89.5,0.3
191708,88.8,-0.4
191808,91,1.8
191908,88.1,-1.1
192008,86.9,-2.3
192108,88.2,-1.0
192208,86.4,-2.8
192308,88.9,-0.3
192408,91.7,2.5
192508,92.2,3.0
192608,91.1,1.9
192708,86.4,-2.8
192808,89,-0.2
192908,89.7,0.5
193008,89.3,0.1
193108,89.5,0.3
193208,88.8,-0.4
193308,89.4,0.2
193408,89.9,0.7
193508,89.6,0.4
193608,90.3,1.1
193708,89,-0.2
193808,92.3,3.1
193908,88.7,-0.5
194008,87.9,-1.3
194108,90.5,1.3
194208,88.6,-0.6
194308,91.5,2.3
194408,88,-1.2
194508,87.8,-1.4
194608,87.3,-1.9
194708,89.3,0.1
194808,88.6,-0.6
194908,88,-1.2
195008,88.3,-0.9
195108,91.7,2.5
195208,89,-0.2
195308,90.7,1.5
195408,94.9,5.7
195508,90.3,1.1
195608,91.5,2.3
195708,89.7,0.5
195808,90.2,1.0
195908,90.5,1.3
196008,89.4,0.2
196108,87.1,-2.1
196208,89.5,0.3
196308,90.7,1.5
196408,86.5,-2.7
196508,89.5,0.3
196608,87.6,-1.6
196708,86.4,-2.8
196808,92,2.8
196908,85.5,-3.7
197008,88.2,-1.0
197108,86.8,-2.4
197208,88.4,-0.8
197308,88.2,-1.0
197408,86.8,-2.4
197508,90.7,1.5
197608,87.3,-1.9
197708,89,-0.2
197808,89.9,0.7
197908,90.5,1.3
198008,93.9,4.7
198108,85.4,-3.8
198208,87.7,-1.5
198308,93.3,4.1
198408,88.6,-0.6
198508,87,-2.2
198608,87.9,-1.3
198708,92.3,3.1
198808,91.1,1.9
198908,87.4,-1.8
199008,90.5,1.3
199108,87.4,-1.8
199208,86.1,-3.1
199308,90.8,1.6
199408,86.7,-2.5
199508,89.3,0.1
199608,87,-2.2
199708,88.7,-0.5
199808,90.5,1.3
199908,93.6,4.4
200008,89.1,-0.1
200108,90.6,1.4
200208,90.8,1.6
200308,88.6,-0.6
200408,86.4,-2.8
200508,89.6,0.4
200608,91.2,2.0
200708,95.8,6.6
200808,89.2,0.0
200908,90.1,0.9
201008,91,1.8
201108,92.7,3.5
201208,87.1,-2.1
201308,85.9,-3.3
201408,88.5,-0.7
201508,89.6,0.4
