Utah, Maximum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,68.1,-0.2
189605,63.7,-4.6
189705,73.8,5.5
189805,64,-4.3
189905,64,-4.3
190005,71,2.7
190105,71.2,2.9
190205,68.8,0.5
190305,65.4,-2.9
190405,68,-0.3
190505,62.7,-5.6
190605,66.8,-1.5
190705,63.8,-4.5
190805,62.1,-6.2
190905,65.1,-3.2
191005,71.7,3.4
191105,68.3,0.0
191205,64.9,-3.4
191305,70.8,2.5
191405,70.7,2.4
191505,63.7,-4.6
191605,65.9,-2.4
191705,59.3,-9.0
191805,66.5,-1.8
191905,72.7,4.4
192005,67.5,-0.8
192105,66.5,-1.8
192205,67.5,-0.8
192305,68.2,-0.1
192405,71.6,3.3
192505,73.1,4.8
192605,69,0.7
192705,68,-0.3
192805,71.2,2.9
192905,68.3,0.0
193005,64.2,-4.1
193105,69,0.7
193205,68.4,0.1
193305,61.8,-6.5
193405,76.7,8.4
193505,62.7,-5.6
193605,73.7,5.4
193705,72.9,4.6
193805,65.9,-2.4
193905,71.4,3.1
194005,74.8,6.5
194105,69.4,1.1
194205,65.8,-2.5
194305,68.1,-0.2
194405,68.1,-0.2
194505,69.2,0.9
194605,66.6,-1.7
194705,72.4,4.1
194805,70.3,2.0
194905,67.5,-0.8
195005,65.6,-2.7
195105,67.6,-0.7
195205,70.2,1.9
195305,61.9,-6.4
195405,72.8,4.5
195505,67.5,-0.8
195605,70.5,2.2
195705,63.1,-5.2
195805,74.2,5.9
195905,66.3,-2.0
196005,69.4,1.1
196105,69.7,1.4
196205,66.6,-1.7
196305,73,4.7
196405,66.7,-1.6
196505,63.5,-4.8
196605,73.4,5.1
196705,65.7,-2.6
196805,66.7,-1.6
196905,74.3,6.0
197005,69.9,1.6
197105,64.9,-3.4
197205,70.9,2.6
197305,69.5,1.2
197405,72.5,4.2
197505,63.5,-4.8
197605,70.6,2.3
197705,63.5,-4.8
197805,65.5,-2.8
197905,67.8,-0.5
198005,63.2,-5.1
198105,65.9,-2.4
198205,66.7,-1.6
198305,64.1,-4.2
198405,72.5,4.2
198505,70.3,2.0
198605,68.4,0.1
198705,69,0.7
198805,69,0.7
198905,70,1.7
199005,67.6,-0.7
199105,65.5,-2.8
199205,72.3,4.0
199305,70.7,2.4
199405,71.8,3.5
199505,62.1,-6.2
199605,70.9,2.6
199705,72.4,4.1
199805,66.9,-1.4
199905,66.5,-1.8
200005,73.8,5.5
200105,74.2,5.9
200205,71.5,3.2
200305,71.5,3.2
200405,71,2.7
200505,69.6,1.3
200605,73.8,5.5
200705,72.3,4.0
200805,66.7,-1.6
200905,72.8,4.5
201005,63.7,-4.6
201105,63.4,-4.9
201205,73.1,4.8
201305,70,1.7
201405,70.3,2.0
201505,65.4,-2.9
