Michigan, Maximum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,69,3.1
189605,72.4,6.5
189705,61.5,-4.4
189805,65.7,-0.2
189905,66.4,0.5
190005,67.6,1.7
190105,65,-0.9
190205,66.4,0.5
190305,68.4,2.5
190405,65.2,-0.7
190505,63.1,-2.8
190605,64.5,-1.4
190705,57,-8.9
190805,65.4,-0.5
190905,63.1,-2.8
191005,60.8,-5.1
191105,71.6,5.7
191205,66.1,0.2
191305,64.3,-1.6
191405,69,3.1
191505,60.2,-5.7
191605,63.8,-2.1
191705,58,-7.9
191805,69.1,3.2
191905,63.9,-2.0
192005,64.6,-1.3
192105,68.7,2.8
192205,71.1,5.2
192305,65.8,-0.1
192405,57.9,-8.0
192505,62.9,-3.0
192605,67.3,1.4
192705,61.4,-4.5
192805,65.7,-0.2
192905,62.3,-3.6
193005,67.2,1.3
193105,65.2,-0.7
193205,66.5,0.6
193305,66.6,0.7
193405,72.7,6.8
193505,60.9,-5.0
193605,70.9,5.0
193705,67.3,1.4
193805,65.8,-0.1
193905,69.6,3.7
194005,62.4,-3.5
194105,70.6,4.7
194205,66.3,0.4
194305,63.1,-2.8
194405,70,4.1
194505,59.3,-6.6
194605,64.2,-1.7
194705,59.2,-6.7
194805,64.2,-1.7
194905,68.8,2.9
195005,66.7,0.8
195105,69.8,3.9
195205,64.9,-1.0
195305,67.2,1.3
195405,61.4,-4.5
195505,70.5,4.6
195605,63.7,-2.2
195705,64.1,-1.8
195805,66.8,0.9
195905,70.8,4.9
196005,64.2,-1.7
196105,63.7,-2.2
196205,70.9,5.0
196305,64.5,-1.4
196405,71.1,5.2
196505,70.7,4.8
196605,60.7,-5.2
196705,60.5,-5.4
196805,62.6,-3.3
196905,66.3,0.4
197005,65.6,-0.3
197105,65.1,-0.8
197205,70,4.1
197305,61.2,-4.7
197405,61.7,-4.2
197505,71.5,5.6
197605,63.3,-2.6
197705,75.6,9.7
197805,68,2.1
197905,63.3,-2.6
198005,69.2,3.3
198105,65,-0.9
198205,71.6,5.7
198305,60.4,-5.5
198405,61.8,-4.1
198505,69.4,3.5
198605,68.5,2.6
198705,70.9,5.0
198805,71.9,6.0
198905,65.6,-0.3
199005,63.2,-2.7
199105,71.6,5.7
199205,68.3,2.4
199305,65.6,-0.3
199405,66,0.1
199505,64.9,-1.0
199605,62.6,-3.3
199705,58.3,-7.6
199805,73.7,7.8
199905,70.4,4.5
200005,68.1,2.2
200105,68.7,2.8
200205,60.9,-5.0
200305,64.4,-1.5
200405,64.8,-1.1
200505,63.6,-2.3
200605,67.2,1.3
200705,71.1,5.2
200805,63.8,-2.1
200905,66.1,0.2
201005,70.3,4.4
201105,65.7,-0.2
201205,71.9,6.0
201305,69,3.1
201405,66.1,0.2
201505,69.3,3.4
