Tennessee, Maximum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,85.7,3.3
189609,82.4,0.0
189709,87.7,5.3
189809,84.6,2.2
189909,82.4,0.0
190009,86.3,3.9
190109,79.1,-3.3
190209,79.1,-3.3
190309,83.7,1.3
190409,84.5,2.1
190509,83.9,1.5
190609,83.7,1.3
190709,82.5,0.1
190809,84.4,2.0
190909,80.6,-1.8
191009,85.1,2.7
191109,87.9,5.5
191209,84.9,2.5
191309,82.4,0.0
191409,81.7,-0.7
191509,84,1.6
191609,81.4,-1.0
191709,80.4,-2.0
191809,77.2,-5.2
191909,85.4,3.0
192009,82.5,0.1
192109,88.1,5.7
192209,86.5,4.1
192309,82.1,-0.3
192409,77.9,-4.5
192509,92.9,10.5
192609,86.6,4.2
192709,86.7,4.3
192809,79.8,-2.6
192909,81.1,-1.3
193009,84.4,2.0
193109,89.2,6.8
193209,81.4,-1.0
193309,87.5,5.1
193409,81.6,-0.8
193509,83.4,1.0
193609,86.1,3.7
193709,80.8,-1.6
193809,82.6,0.2
193909,89,6.6
194009,82.6,0.2
194109,87.6,5.2
194209,80.7,-1.7
194309,78.8,-3.6
194409,81.6,-0.8
194509,84.5,2.1
194609,80.9,-1.5
194709,84.7,2.3
194809,81.8,-0.6
194909,78.5,-3.9
195009,77.4,-5.0
195109,82.1,-0.3
195209,81.7,-0.7
195309,85.9,3.5
195409,89.2,6.8
195509,87.2,4.8
195609,82.2,-0.2
195709,80.4,-2.0
195809,82.2,-0.2
195909,82.8,0.4
196009,83,0.6
196109,83.7,1.3
196209,79.8,-2.6
196309,81.5,-0.9
196409,82.2,-0.2
196509,81.9,-0.5
196609,78.6,-3.8
196709,77.4,-5.0
196809,81,-1.4
196909,79.9,-2.5
197009,85.6,3.2
197109,82.4,0.0
197209,83.4,1.0
197309,83.6,1.2
197409,75.6,-6.8
197509,76.8,-5.6
197609,78.9,-3.5
197709,82.2,-0.2
197809,84.5,2.1
197909,78.5,-3.9
198009,85.3,2.9
198109,79.5,-2.9
198209,78.7,-3.7
198309,82.5,0.1
198409,80,-2.4
198509,81.3,-1.1
198609,82.7,0.3
198709,82,-0.4
198809,80.6,-1.8
198909,78,-4.4
199009,83.8,1.4
199109,81.6,-0.8
199209,78.9,-3.5
199309,80.2,-2.2
199409,78.9,-3.5
199509,79.6,-2.8
199609,78.4,-4.0
199709,81.6,-0.8
199809,88.3,5.9
199909,84.9,2.5
200009,81.2,-1.2
200109,78.9,-3.5
200209,84.5,2.1
200309,79.7,-2.7
200409,80.7,-1.7
200509,85.2,2.8
200609,78.3,-4.1
200709,85.4,3.0
200809,82.8,0.4
200909,79.5,-2.9
201009,85.3,2.9
201109,79.2,-3.2
201209,80.4,-2.0
201309,81.8,-0.6
201409,81.2,-1.2
201509,82.5,0.1
