Kentucky, Maximum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,84.5,3.7
189609,79.3,-1.5
189709,86.8,6.0
189809,83.6,2.8
189909,81,0.2
190009,85,4.2
190109,79.3,-1.5
190209,78.8,-2.0
190309,83.2,2.4
190409,82.2,1.4
190509,81.5,0.7
190609,82.2,1.4
190709,80.6,-0.2
190809,85.8,5.0
190909,79.3,-1.5
191009,82,1.2
191109,84.8,4.0
191209,82.8,2.0
191309,80.9,0.1
191409,79,-1.8
191509,81.8,1.0
191609,79.1,-1.7
191709,79,-1.8
191809,74.8,-6.0
191909,84.1,3.3
192009,80.7,-0.1
192109,84.5,3.7
192209,84.8,4.0
192309,79.9,-0.9
192409,75.5,-5.3
192509,88.8,8.0
192609,82.8,2.0
192709,84.5,3.7
192809,77.5,-3.3
192909,79.9,-0.9
193009,83.7,2.9
193109,86.9,6.1
193209,81,0.2
193309,85.7,4.9
193409,80.5,-0.3
193509,81,0.2
193609,85.3,4.5
193709,80.2,-0.6
193809,80.7,-0.1
193909,89,8.2
194009,80.7,-0.1
194109,86.5,5.7
194209,79.2,-1.6
194309,78.5,-2.3
194409,79.7,-1.1
194509,83.5,2.7
194609,81,0.2
194709,82.2,1.4
194809,81.7,0.9
194909,76.7,-4.1
195009,76.1,-4.7
195109,79.2,-1.6
195209,81.4,0.6
195309,85.6,4.8
195409,86.7,5.9
195509,86.2,5.4
195609,79.5,-1.3
195709,79.7,-1.1
195809,79.6,-1.2
195909,82.7,1.9
196009,82.2,1.4
196109,83.1,2.3
196209,76.6,-4.2
196309,80,-0.8
196409,81.3,0.5
196509,80.3,-0.5
196609,76.1,-4.7
196709,76.4,-4.4
196809,79.4,-1.4
196909,78.6,-2.2
197009,83.7,2.9
197109,80.5,-0.3
197209,81.6,0.8
197309,82.6,1.8
197409,73.2,-7.6
197509,74.3,-6.5
197609,76.8,-4.0
197709,80.9,0.1
197809,82.5,1.7
197909,77,-3.8
198009,82.7,1.9
198109,77.7,-3.1
198209,76.2,-4.6
198309,82.4,1.6
198409,78.6,-2.2
198509,80.2,-0.6
198609,81.5,0.7
198709,81.4,0.6
198809,79,-1.8
198909,77.1,-3.7
199009,80.5,-0.3
199109,79.9,-0.9
199209,78,-2.8
199309,77.4,-3.4
199409,77.7,-3.1
199509,78.7,-2.1
199609,77.4,-3.4
199709,79.5,-1.3
199809,87.2,6.4
199909,84.2,3.4
200009,78.4,-2.4
200109,78.2,-2.6
200209,84,3.2
200309,77.4,-3.4
200409,80.2,-0.6
200509,84.1,3.3
200609,74.8,-6.0
200709,85.3,4.5
200809,83.8,3.0
200909,78.5,-2.3
201009,83.9,3.1
201109,77,-3.8
201209,78.4,-2.4
201309,80.5,-0.3
201409,79.6,-1.2
201509,82.3,1.5
