Arizona, Maximum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,90.2,-1.1
189608,88.7,-2.6
189708,91.4,0.1
189808,90.9,-0.4
189908,89.5,-1.8
190008,90.1,-1.2
190108,92.2,0.9
190208,91.2,-0.1
190308,92.9,1.6
190408,88.9,-2.4
190508,93,1.7
190608,88.2,-3.1
190708,89.2,-2.1
190808,89.5,-1.8
190908,88,-3.3
191008,92.6,1.3
191108,92.4,1.1
191208,89,-2.3
191308,90.7,-0.6
191408,92,0.7
191508,92.7,1.4
191608,88.3,-3.0
191708,91.4,0.1
191808,87.9,-3.4
191908,91.6,0.3
192008,89,-2.3
192108,87.6,-3.7
192208,90.9,-0.4
192308,87.1,-4.2
192408,93.2,1.9
192508,88.8,-2.5
192608,92.4,1.1
192708,89,-2.3
192808,90.8,-0.5
192908,89.6,-1.7
193008,90.5,-0.8
193108,89.7,-1.6
193208,92.2,0.9
193308,92.9,1.6
193408,91.1,-0.2
193508,90.1,-1.2
193608,91.6,0.3
193708,94.1,2.8
193808,92.1,0.8
193908,92.4,1.1
194008,92.8,1.5
194108,89.1,-2.2
194208,91.4,0.1
194308,89.8,-1.5
194408,94.3,3.0
194508,91.2,-0.1
194608,90.5,-0.8
194708,89.7,-1.6
194808,92.4,1.1
194908,92.5,1.2
195008,92.9,1.6
195108,90.5,-0.8
195208,92.8,1.5
195308,91.9,0.6
195408,89.8,-1.5
195508,89,-2.3
195608,91,-0.3
195708,89.8,-1.5
195808,92.8,1.5
195908,88.6,-2.7
196008,93.8,2.5
196108,90.3,-1.0
196208,95.4,4.1
196308,88.6,-2.7
196408,89.6,-1.7
196508,92.5,1.2
196608,92.3,1.0
196708,91.8,0.5
196808,87.3,-4.0
196908,94.9,3.6
197008,92.6,1.3
197108,89.4,-1.9
197208,91.1,-0.2
197308,93,1.7
197408,91.9,0.6
197508,93.3,2.0
197608,91.8,0.5
197708,92.4,1.1
197808,92.4,1.1
197908,90.5,-0.8
198008,92.1,0.8
198108,93.1,1.8
198208,90.5,-0.8
198308,90.2,-1.1
198408,89.3,-2.0
198508,93.6,2.3
198608,92.4,1.1
198708,90.5,-0.8
198808,90.2,-1.1
198908,91.1,-0.2
199008,89.6,-1.7
199108,91.9,0.6
199208,90.9,-0.4
199308,90.9,-0.4
199408,95.1,3.8
199508,95.2,3.9
199608,94.1,2.8
199708,92.4,1.1
199808,94.3,3.0
199908,91.2,-0.1
200008,92.7,1.4
200108,93,1.7
200208,94.8,3.5
200308,93.3,2.0
200408,91.8,0.5
200508,90.8,-0.5
200608,90.7,-0.6
200708,93.5,2.2
200808,92.6,1.3
200908,95,3.7
201008,92.1,0.8
201108,96.3,5.0
201208,93.8,2.5
201308,91.5,0.2
201408,89.4,-1.9
201508,94.3,3.0
