Minnesota, Maximum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,36.1,0.5
189603,30.2,-5.4
189703,28.5,-7.1
189803,38.5,2.9
189903,22.8,-12.8
190003,31.9,-3.7
190103,34.1,-1.5
190203,42,6.4
190303,35.9,0.3
190403,31.4,-4.2
190503,39.8,4.2
190603,27.6,-8.0
190703,35.6,0.0
190803,34.1,-1.5
190903,32.5,-3.1
191003,52.3,16.7
191103,43,7.4
191203,29.9,-5.7
191303,29.7,-5.9
191403,34.8,-0.8
191503,33.9,-1.7
191603,31.2,-4.4
191703,32.5,-3.1
191803,45.3,9.7
191903,34.2,-1.4
192003,36.5,0.9
192103,37.9,2.3
192203,36,0.4
192303,27.3,-8.3
192403,35.2,-0.4
192503,40,4.4
192603,32.2,-3.4
192703,39,3.4
192803,38.1,2.5
192903,38.7,3.1
193003,37.1,1.5
193103,36.3,0.7
193203,26.9,-8.7
193303,35.2,-0.4
193403,34.6,-1.0
193503,37.1,1.5
193603,33.6,-2.0
193703,31.8,-3.8
193803,44.5,8.9
193903,34.8,-0.8
194003,28.7,-6.9
194103,33.2,-2.4
194203,40.2,4.6
194303,29.1,-6.5
194403,29.8,-5.8
194503,45.7,10.1
194603,46.4,10.8
194703,32.7,-2.9
194803,32.5,-3.1
194903,32.4,-3.2
195003,29,-6.6
195103,27,-8.6
195203,30.3,-5.3
195303,36.1,0.5
195403,32.5,-3.1
195503,30.8,-4.8
195603,30.9,-4.7
195703,35.7,0.1
195803,37.9,2.3
195903,39,3.4
196003,27.1,-8.5
196103,40.5,4.9
196203,32.2,-3.4
196303,41.5,5.9
196403,32,-3.6
196503,25.4,-10.2
196603,40.1,4.5
196703,36.7,1.1
196803,46.2,10.6
196903,30.4,-5.2
197003,30.7,-4.9
197103,33.2,-2.4
197203,32.5,-3.1
197303,44,8.4
197403,33.1,-2.5
197503,29.3,-6.3
197603,35.6,0.0
197703,42.2,6.6
197803,35.5,-0.1
197903,31.6,-4.0
198003,32.6,-3.0
198103,44.7,9.1
198203,32.6,-3.0
198303,36.4,0.8
198403,31.1,-4.5
198503,41.4,5.8
198603,40.4,4.8
198703,42.4,6.8
198803,37.6,2.0
198903,31,-4.6
199003,40.7,5.1
199103,39.7,4.1
199203,38.9,3.3
199303,35.9,0.3
199403,39.5,3.9
199503,38.3,2.7
199603,29.8,-5.8
199703,34.1,-1.5
199803,35.6,0.0
199903,40.7,5.1
200003,47.4,11.8
200103,34,-1.6
200203,29.3,-6.3
200303,37,1.4
200403,40.5,4.9
200503,37.4,1.8
200603,37.9,2.3
200703,41.5,5.9
200803,33.7,-1.9
200903,35.8,0.2
201003,45.6,10.0
201103,33.5,-2.1
201203,52.7,17.1
201303,31.1,-4.5
201403,30.6,-5.0
201503,42,6.4
201603,45.1,9.5
