Arizona, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,71.6,-2.8
189606,77.9,3.5
189706,72.7,-1.7
189806,75.9,1.5
189906,74.7,0.3
190006,76.1,1.7
190106,72.8,-1.6
190206,76.8,2.4
190306,74.2,-0.2
190406,74.6,0.2
190506,73.1,-1.3
190606,73.1,-1.3
190706,69.8,-4.6
190806,72,-2.4
190906,75,0.6
191006,75.7,1.3
191106,73.5,-0.9
191206,74.5,0.1
191306,71.8,-2.6
191406,74.2,-0.2
191506,72.8,-1.6
191606,74.2,-0.2
191706,74.9,0.5
191806,79.1,4.7
191906,75.2,0.8
192006,72.6,-1.8
192106,74.8,0.4
192206,76.1,1.7
192306,70.7,-3.7
192406,77.1,2.7
192506,73.4,-1.0
192606,75.9,1.5
192706,73.5,-0.9
192806,74.4,0.0
192906,74.4,0.0
193006,75.3,0.9
193106,74.9,0.5
193206,73,-1.4
193306,75.2,0.8
193406,71.7,-2.7
193506,75.9,1.5
193606,77.8,3.4
193706,74,-0.4
193806,75,0.6
193906,75.1,0.7
194006,77.7,3.3
194106,71.1,-3.3
194206,73.8,-0.6
194306,73.1,-1.3
194406,70.4,-4.0
194506,70.9,-3.5
194606,76.3,1.9
194706,72.8,-1.6
194806,73.5,-0.9
194906,73.8,-0.6
195006,73.4,-1.0
195106,72,-2.4
195206,73.4,-1.0
195306,74.5,0.1
195406,73.6,-0.8
195506,72.7,-1.7
195606,77.3,2.9
195706,76.1,1.7
195806,76.5,2.1
195906,77.9,3.5
196006,77.9,3.5
196106,77.9,3.5
196206,73.2,-1.2
196306,71.6,-2.8
196406,72.7,-1.7
196506,69,-5.4
196606,74.5,0.1
196706,71.5,-2.9
196806,75.1,0.7
196906,72.5,-1.9
197006,74.7,0.3
197106,73.9,-0.5
197206,74.3,-0.1
197306,74.4,0.0
197406,78.9,4.5
197506,72.8,-1.6
197606,74,-0.4
197706,76.2,1.8
197806,76.3,1.9
197906,74.2,-0.2
198006,75,0.6
198106,78.6,4.2
198206,72.2,-2.2
198306,72.4,-2.0
198406,74.1,-0.3
198506,76.9,2.5
198606,76.6,2.2
198706,76.3,1.9
198806,76.2,1.8
198906,75.6,1.2
199006,78.3,3.9
199106,71.6,-2.8
199206,73.5,-0.9
199306,74.2,-0.2
199406,79.2,4.8
199506,72.1,-2.3
199606,78,3.6
199706,73.8,-0.6
199806,71.8,-2.6
199906,74.5,0.1
200006,77.8,3.4
200106,77.5,3.1
200206,78.8,4.4
200306,76.3,1.9
200406,75.9,1.5
200506,74.4,0.0
200606,79.5,5.1
200706,77.3,2.9
200806,77.3,2.9
200906,73,-1.4
201006,75.9,1.5
201106,75.7,1.3
201206,78.7,4.3
201306,79.5,5.1
201406,77.7,3.3
201506,78.5,4.1
