Minnesota, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,62.9,-0.8
189606,65.1,1.4
189706,60.8,-2.9
189806,63.8,0.1
189906,63.7,0.0
190006,64.8,1.1
190106,63.8,0.1
190206,59.8,-3.9
190306,61.3,-2.4
190406,61.6,-2.1
190506,61.2,-2.5
190606,62.4,-1.3
190706,62.3,-1.4
190806,61.6,-2.1
190906,63.9,0.2
191006,66.8,3.1
191106,68.5,4.8
191206,61.3,-2.4
191306,66.1,2.4
191406,63.5,-0.2
191506,58.1,-5.6
191606,59,-4.7
191706,59.4,-4.3
191806,63.1,-0.6
191906,66.7,3.0
192006,63.7,0.0
192106,68.9,5.2
192206,65.5,1.8
192306,67.3,3.6
192406,60.1,-3.6
192506,62.7,-1.0
192606,59.7,-4.0
192706,61.3,-2.4
192806,59.1,-4.6
192906,61.8,-1.9
193006,64.2,0.5
193106,68.2,4.5
193206,67.3,3.6
193306,71.4,7.7
193406,66.3,2.6
193506,59.9,-3.8
193606,62.7,-1.0
193706,62.8,-0.9
193806,63.8,0.1
193906,64.3,0.6
194006,62.9,-0.8
194106,64.9,1.2
194206,62.1,-1.6
194306,64.4,0.7
194406,64.6,0.9
194506,58.6,-5.1
194606,63.2,-0.5
194706,60.2,-3.5
194806,62.6,-1.1
194906,66.2,2.5
195006,63.5,-0.2
195106,60.2,-3.5
195206,65.8,2.1
195306,65.2,1.5
195406,65.3,1.6
195506,64.3,0.6
195606,68.2,4.5
195706,62,-1.7
195806,58.5,-5.2
195906,66.4,2.7
196006,61.7,-2.0
196106,66,2.3
196206,63.5,-0.2
196306,67.1,3.4
196406,64.1,0.4
196506,63,-0.7
196606,64.9,1.2
196706,62.8,-0.9
196806,63.4,-0.3
196906,57.3,-6.4
197006,66.7,3.0
197106,67.2,3.5
197206,63.8,0.1
197306,65,1.3
197406,63.3,-0.4
197506,63.8,0.1
197606,67,3.3
197706,65,1.3
197806,63.7,0.0
197906,62.9,-0.8
198006,64.2,0.5
198106,63.2,-0.5
198206,58.9,-4.8
198306,63.8,0.1
198406,64.9,1.2
198506,60,-3.7
198606,65.1,1.4
198706,67.8,4.1
198806,70.4,6.7
198906,63.2,-0.5
199006,65.4,1.7
199106,68.1,4.4
199206,61.3,-2.4
199306,60.7,-3.0
199406,65.8,2.1
199506,68.5,4.8
199606,65.3,1.6
199706,67,3.3
199806,62.1,-1.6
199906,64.4,0.7
200006,61.5,-2.2
200106,65.1,1.4
200206,67,3.3
200306,63.6,-0.1
200406,60.7,-3.0
200506,67.4,3.7
200606,65.7,2.0
200706,67.2,3.5
200806,62.9,-0.8
200906,62.3,-1.4
201006,63.8,0.1
201106,63.4,-0.3
201206,66.8,3.1
201306,63.9,0.2
201406,65,1.3
201506,64.7,1.0
