Georgia, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,78,0.6
189606,78,0.6
189706,81.2,3.8
189806,80.6,3.2
189906,80,2.6
190006,76.6,-0.8
190106,77.7,0.3
190206,79.6,2.2
190306,74.7,-2.7
190406,77.5,0.1
190506,79.1,1.7
190606,78.9,1.5
190706,76.4,-1.0
190806,77.9,0.5
190906,78.7,1.3
191006,75.2,-2.2
191106,80.8,3.4
191206,75.6,-1.8
191306,77,-0.4
191406,82,4.6
191506,77.9,0.5
191606,77.1,-0.3
191706,77.6,0.2
191806,78.7,1.3
191906,77.2,-0.2
192006,77.4,0.0
192106,79.7,2.3
192206,78.5,1.1
192306,76.4,-1.0
192406,79.4,2.0
192506,80,2.6
192606,77.3,-0.1
192706,77.6,0.2
192806,76.3,-1.1
192906,76,-1.4
193006,75.7,-1.7
193106,79.7,2.3
193206,77.9,0.5
193306,78.4,1.0
193406,78.9,1.5
193506,77.9,0.5
193606,78.8,1.4
193706,79.2,1.8
193806,75.7,-1.7
193906,79.2,1.8
194006,77.6,0.2
194106,78.2,0.8
194206,78,0.6
194306,80.4,3.0
194406,80.3,2.9
194506,78.5,1.1
194606,76.2,-1.2
194706,76.5,-0.9
194806,78.6,1.2
194906,76.6,-0.8
195006,78.5,1.1
195106,78.3,0.9
195206,82.1,4.7
195306,78.7,1.3
195406,78.7,1.3
195506,73.7,-3.7
195606,76.6,-0.8
195706,77.4,0.0
195806,77.6,0.2
195906,77,-0.4
196006,76.7,-0.7
196106,74.6,-2.8
196206,76.7,-0.7
196306,76.2,-1.2
196406,78.8,1.4
196506,74.4,-3.0
196606,73.6,-3.8
196706,74.8,-2.6
196806,76.7,-0.7
196906,78.3,0.9
197006,75.6,-1.8
197106,77.7,0.3
197206,73.6,-3.8
197306,76.8,-0.6
197406,74.1,-3.3
197506,76.3,-1.1
197606,74.4,-3.0
197706,78.9,1.5
197806,78,0.6
197906,74.8,-2.6
198006,77.3,-0.1
198106,80.5,3.1
198206,77.2,-0.2
198306,74.7,-2.7
198406,77.2,-0.2
198506,77.8,0.4
198606,79.7,2.3
198706,77.5,0.1
198806,76.4,-1.0
198906,77,-0.4
199006,78.2,0.8
199106,76.4,-1.0
199206,75.2,-2.2
199306,78.1,0.7
199406,77.7,0.3
199506,75.5,-1.9
199606,76.7,-0.7
199706,73.5,-3.9
199806,80.9,3.5
199906,76.3,-1.1
200006,78,0.6
200106,76.4,-1.0
200206,77.4,0.0
200306,76.1,-1.3
200406,78.1,0.7
200506,76.6,-0.8
200606,77.4,0.0
200706,77.7,0.3
200806,79.4,2.0
200906,79.8,2.4
201006,81,3.6
201106,81.1,3.7
201206,75.6,-1.8
201306,77.8,0.4
201406,78.3,0.9
201506,79.3,1.9
