Montana, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,15.3,-6.0
189602,26.5,5.2
189702,17.7,-3.6
189802,25.6,4.3
189902,6.5,-14.8
190002,16.7,-4.6
190102,16.4,-4.9
190202,21.4,0.1
190302,14.3,-7.0
190402,12.5,-8.8
190502,14.3,-7.0
190602,25,3.7
190702,22.5,1.2
190802,21.9,0.6
190902,21.1,-0.2
191002,12.2,-9.1
191102,13.7,-7.6
191202,23.1,1.8
191302,14,-7.3
191402,16,-5.3
191502,24,2.7
191602,18.6,-2.7
191702,12.8,-8.5
191802,17.9,-3.4
191902,17,-4.3
192002,22.2,0.9
192102,27.7,6.4
192202,7,-14.3
192302,14.3,-7.0
192402,28.7,7.4
192502,27.1,5.8
192602,30.3,9.0
192702,20.2,-1.1
192802,22,0.7
192902,10,-11.3
193002,30,8.7
193102,30.2,8.9
193202,21.4,0.1
193302,14.2,-7.1
193402,29.2,7.9
193502,27.3,6.0
193602,-3.9,-25.2
193702,14.8,-6.5
193802,15.8,-5.5
193902,12.6,-8.7
194002,21.1,-0.2
194102,24.6,3.3
194202,17.6,-3.7
194302,24.5,3.2
194402,21,-0.3
194502,22.3,1.0
194602,24.2,2.9
194702,19.2,-2.1
194802,17.2,-4.1
194902,11.8,-9.5
195002,23.9,2.6
195102,20.4,-0.9
195202,21.8,0.5
195302,26.5,5.2
195402,33.4,12.1
195502,16.5,-4.8
195602,16.6,-4.7
195702,19.9,-1.4
195802,22.2,0.9
195902,13.6,-7.7
196002,18.3,-3.0
196102,30.7,9.4
196202,19.8,-1.5
196302,29.6,8.3
196402,26.2,4.9
196502,20.7,-0.6
196602,19.4,-1.9
196702,25.7,4.4
196802,25.7,4.4
196902,16.9,-4.4
197002,26.5,5.2
197102,22.7,1.4
197202,19.9,-1.4
197302,24.6,3.3
197402,28.5,7.2
197502,15,-6.3
197602,28.2,6.9
197702,30.8,9.5
197802,16.3,-5.0
197902,14.4,-6.9
198002,23.7,2.4
198102,26.5,5.2
198202,18.3,-3.0
198302,30.9,9.6
198402,31.3,10.0
198502,17.1,-4.2
198602,19.3,-2.0
198702,29.8,8.5
198802,24.4,3.1
198902,9.5,-11.8
199002,23.9,2.6
199102,33.9,12.6
199202,32.3,11.0
199302,15.1,-6.2
199402,15.2,-6.1
199502,27.8,6.5
199602,23.1,1.8
199702,26,4.7
199802,30.4,9.1
199902,30.2,8.9
200002,26.9,5.6
200102,16.5,-4.8
200202,26.4,5.1
200302,21.4,0.1
200402,24.1,2.8
200502,28.9,7.6
200602,23.4,2.1
200702,22,0.7
200802,24.2,2.9
200902,25.1,3.8
201002,21.1,-0.2
201102,16.4,-4.9
201202,24.9,3.6
201302,27.5,6.2
201402,14.7,-6.6
201502,26.9,5.6
