Tennessee, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,64.7,-1.4
189605,72,5.9
189705,63.1,-3.0
189805,69.1,3.0
189905,70.7,4.6
190005,66.3,0.2
190105,64.9,-1.2
190205,71.2,5.1
190305,67.4,1.3
190405,65.2,-0.9
190505,69.2,3.1
190605,66.3,0.2
190705,62.7,-3.4
190805,67.6,1.5
190905,64.9,-1.2
191005,62.9,-3.2
191105,69.1,3.0
191205,67.1,1.0
191305,66.7,0.6
191405,66.7,0.6
191505,68.4,2.3
191605,68.9,2.8
191705,60.2,-5.9
191805,69.5,3.4
191905,64.8,-1.3
192005,65.9,-0.2
192105,66,-0.1
192205,67.7,1.6
192305,64.3,-1.8
192405,61.2,-4.9
192505,63.3,-2.8
192605,66.5,0.4
192705,67.7,1.6
192805,64.5,-1.6
192905,65.5,-0.6
193005,67,0.9
193105,63.4,-2.7
193205,65.8,-0.3
193305,70.1,4.0
193405,67.7,1.6
193505,66.2,0.1
193605,69,2.9
193705,66.9,0.8
193805,67,0.9
193905,66.1,0.0
194005,62.9,-3.2
194105,68.8,2.7
194205,66.5,0.4
194305,68.8,2.7
194405,69.7,3.6
194505,62.8,-3.3
194605,64.2,-1.9
194705,63.8,-2.3
194805,65.4,-0.7
194905,67.4,1.3
195005,68.9,2.8
195105,65.5,-0.6
195205,66.9,0.8
195305,69.4,3.3
195405,61.1,-5.0
195505,68.8,2.7
195605,68.4,2.3
195705,67.7,1.6
195805,66.3,0.2
195905,69.5,3.4
196005,63.3,-2.8
196105,62.4,-3.7
196205,72.5,6.4
196305,65.6,-0.5
196405,67.6,1.5
196505,69.5,3.4
196605,64.1,-2.0
196705,63.6,-2.5
196805,64.6,-1.5
196905,66.3,0.2
197005,67.2,1.1
197105,62.1,-4.0
197205,65.1,-1.0
197305,62.5,-3.6
197405,67,0.9
197505,68.5,2.4
197605,61.1,-5.0
197705,68.8,2.7
197805,64.8,-1.3
197905,64.7,-1.4
198005,65.6,-0.5
198105,62.6,-3.5
198205,69.2,3.1
198305,63.4,-2.7
198405,63.1,-3.0
198505,66.5,0.4
198605,67.2,1.1
198705,71,4.9
198805,64.5,-1.6
198905,62.8,-3.3
199005,64,-2.1
199105,70.2,4.1
199205,63.4,-2.7
199305,65.4,-0.7
199405,61.9,-4.2
199505,66.2,0.1
199605,68.6,2.5
199705,61.5,-4.6
199805,69.5,3.4
199905,65.8,-0.3
200005,68.8,2.7
200105,66.9,0.8
200205,64.2,-1.9
200305,66.5,0.4
200405,70.1,4.0
200505,63.3,-2.8
200605,65.1,-1.0
200705,68.7,2.6
200805,64.8,-1.3
200905,66.4,0.3
201005,69.1,3.0
201105,65.7,-0.4
201205,70.5,4.4
201305,65.1,-1.0
201405,67.3,1.2
201505,68,1.9
