Michigan, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,24,0.7
189612,24.2,0.9
189712,20.5,-2.8
189812,19.9,-3.4
189912,23,-0.3
190012,23.8,0.5
190112,19.8,-3.5
190212,21.7,-1.6
190312,16.5,-6.8
190412,18.9,-4.4
190512,25.7,2.4
190612,22.5,-0.8
190712,24.6,1.3
190812,22.5,-0.8
190912,20.1,-3.2
191012,18.9,-4.4
191112,27.8,4.5
191212,26.3,3.0
191312,29.7,6.4
191412,18.8,-4.5
191512,22,-1.3
191612,18.8,-4.5
191712,15.3,-8.0
191812,28.2,4.9
191912,15.3,-8.0
192012,26.8,3.5
192112,24,0.7
192212,21.3,-2.0
192312,31.2,7.9
192412,17,-6.3
192512,21.1,-2.2
192612,19.1,-4.2
192712,21.7,-1.6
192812,26.6,3.3
192912,20.9,-2.4
193012,23.3,0.0
193112,30.3,7.0
193212,23.2,-0.1
193312,20.8,-2.5
193412,20.7,-2.6
193512,20.3,-3.0
193612,26.3,3.0
193712,20.5,-2.8
193812,24.7,1.4
193912,28.7,5.4
194012,25.8,2.5
194112,29.6,6.3
194212,20.2,-3.1
194312,22.4,-0.9
194412,20,-3.3
194512,19.4,-3.9
194612,24.6,1.3
194712,23.2,-0.1
194812,25.1,1.8
194912,25.7,2.4
195012,19.6,-3.7
195112,22,-1.3
195212,28.2,4.9
195312,27.3,4.0
195412,23.7,0.4
195512,20.4,-2.9
195612,26.5,3.2
195712,26.6,3.3
195812,15.6,-7.7
195912,28.4,5.1
196012,19.5,-3.8
196112,23,-0.3
196212,21.1,-2.2
196312,17.7,-5.6
196412,21.8,-1.5
196512,29.4,6.1
196612,23.3,0.0
196712,25.7,2.4
196812,22.5,-0.8
196912,23,-0.3
197012,23.4,0.1
197112,27.2,3.9
197212,22.1,-1.2
197312,23.1,-0.2
197412,26.9,3.6
197512,23.8,0.5
197612,14.9,-8.4
197712,21.8,-1.5
197812,22,-1.3
197912,27.8,4.5
198012,20.2,-3.1
198112,24.7,1.4
198212,31.2,7.9
198312,15.7,-7.6
198412,27.1,3.8
198512,17.7,-5.6
198612,26.9,3.6
198712,28.9,5.6
198812,23.7,0.4
198912,13.4,-9.9
199012,25.9,2.6
199112,25.9,2.6
199212,26.6,3.3
199312,25.1,1.8
199412,30.3,7.0
199512,20.2,-3.1
199612,25.7,2.4
199712,29,5.7
199812,29.8,6.5
199912,26.9,3.6
200012,15.9,-7.4
200112,31.9,8.6
200212,26,2.7
200312,28.6,5.3
200412,23.5,0.2
200512,23.1,-0.2
200612,31.5,8.2
200712,24.1,0.8
200812,20.8,-2.5
200912,23.6,0.3
201012,22.8,-0.5
201112,29.9,6.6
201212,30.5,7.2
201312,19.3,-4.0
201412,28.2,4.9
201512,35.7,12.4
