Virginia, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,72.6,1.7
189606,70.6,-0.3
189706,71.3,0.4
189806,72.3,1.4
189906,73.7,2.8
190006,72.1,1.2
190106,71.5,0.6
190206,70.7,-0.2
190306,66.9,-4.0
190406,70.8,-0.1
190506,71.9,1.0
190606,72.3,1.4
190706,65.6,-5.3
190806,70.1,-0.8
190906,72.6,1.7
191006,68,-2.9
191106,72.3,1.4
191206,69.4,-1.5
191306,70.6,-0.3
191406,73.6,2.7
191506,68.7,-2.2
191606,68.2,-2.7
191706,70.1,-0.8
191806,69.1,-1.8
191906,71.3,0.4
192006,69.3,-1.6
192106,72.3,1.4
192206,72.3,1.4
192306,73,2.1
192406,70.6,-0.3
192506,74.7,3.8
192606,68.7,-2.2
192706,67.6,-3.3
192806,69.3,-1.6
192906,69.4,-1.5
193006,70.7,-0.2
193106,71.3,0.4
193206,71.6,0.7
193306,72.7,1.8
193406,74.6,3.7
193506,70.6,-0.3
193606,71.4,0.5
193706,73,2.1
193806,69.3,-1.6
193906,74.2,3.3
194006,72.2,1.3
194106,71,0.1
194206,72.7,1.8
194306,76.2,5.3
194406,73.6,2.7
194506,71.6,0.7
194606,70.3,-0.6
194706,69.7,-1.2
194806,71.3,0.4
194906,72.3,1.4
195006,70.7,-0.2
195106,71.2,0.3
195206,75.4,4.5
195306,72.3,1.4
195406,71.5,0.6
195506,66.6,-4.3
195606,70.8,-0.1
195706,72.6,1.7
195806,69,-1.9
195906,71,0.1
196006,70.6,-0.3
196106,69.1,-1.8
196206,69.9,-1.0
196306,70,-0.9
196406,71.7,0.8
196506,68.8,-2.1
196606,69.9,-1.0
196706,69.2,-1.7
196806,70.6,-0.3
196906,72.2,1.3
197006,71.2,0.3
197106,71.9,1.0
197206,66.6,-4.3
197306,72.7,1.8
197406,67.3,-3.6
197506,70.7,-0.2
197606,70.6,-0.3
197706,68.7,-2.2
197806,70.7,-0.2
197906,67.4,-3.5
198006,69.2,-1.7
198106,73.6,2.7
198206,69.4,-1.5
198306,70,-0.9
198406,72.6,1.7
198506,69.8,-1.1
198606,72.7,1.8
198706,72.8,1.9
198806,69.9,-1.0
198906,72.9,2.0
199006,70.8,-0.1
199106,71.8,0.9
199206,67.5,-3.4
199306,71,0.1
199406,73.6,2.7
199506,70.6,-0.3
199606,72.1,1.2
199706,68.7,-2.2
199806,71.7,0.8
199906,70.7,-0.2
200006,72.6,1.7
200106,71.5,0.6
200206,72.9,2.0
200306,68.9,-2.0
200406,70.8,-0.1
200506,71.8,0.9
200606,70.7,-0.2
200706,71.9,1.0
200806,74,3.1
200906,71.7,0.8
201006,76,5.1
201106,73.4,2.5
201206,70.2,-0.7
201306,72.2,1.3
201406,72.5,1.6
201506,73.7,2.8
